,NIA
01/2019,
02/2019,-0.056592047524911
04/2019,0.3649669394604864
05/2019,0.1247510375308875
06/2019,0.8081756548065553
07/2019,0.3611382274002088
08/2019,-0.481450264534951
10/2019,0.3284731196380226
11/2019,0.7080300920777258
12/2019,0.1214168190109357
01/2020,-0.4887310463046768
02/2020,-0.046732883056442
03/2020,2.209081971247521
04/2020,-0.7175717398509058
05/2020,-0.0759970692241781
06/2020,0.8714893142463909
07/2020,-0.3839160937506327
09/2020,0.1591831350755095
10/2020,-0.0224731709338449
11/2020,-0.0506584577319592
01/2021,-0.4858417727826376
02/2021,1.931023345744515
03/2021,0.4629684443994752
04/2021,-0.5553238230273243
05/2021,-0.3347252690190326
07/2021,0.2209768317774603
08/2021,-0.6140748687844882
09/2021,0.2413877093082479
10/2021,0.0325259139748181
11/2021,1.248199086697645
01/2022,0.389533568801391
02/2022,-0.1331523893239227
05/2022,-0.1921497088484847
06/2022,0.7275646698941396
07/2022,-0.4192107283142274
08/2022,0.2512543501719475
09/2022,3.157326758827791
10/2022,-0.7642392465081692
11/2022,0.5818419726369561
12/2022,0.3553468588067672
01/2023,-0.6784388242144934
02/2023,0.8690036904948322
03/2023,1.070588895242905
04/2023,-0.5543464146713633
05/2023,0.6582091389203599
06/2023,-0.1883872628179891
07/2023,-0.3732671355312761
08/2023,0.0525219167624857
10/2023,-0.4811137883311021
01/2024,-0.6911181602237201
02/2024,0.0537031120410733
