Unnamed: 0,pivdennyi bank,fuib,ukrsibbank,credit agricole bank,universal bank,otp bank,raiffeisen bank,cb privatbank,oschadbank,kredobank,sense bank
01/2019,,,,,,,,,,,
02/2019,-0.0662189786715107,-0.0472136039406957,0.0420478785382421,-0.0285333244635555,-0.039391894999475,-0.0162925135883088,0.0382799320031324,-0.0006771015922032,-0.023122247594889,-0.149830122134328,0.0301169228246751
04/2019,0.0228717456566465,-0.0088316512727666,-0.0767321185908087,-0.0010918099368192,-0.070265018667411,-0.0550671965739028,-0.0465876268021968,-0.003917926817885,-0.0019469227196025,-0.4911702187041601,0.2393856078808895
05/2019,-0.0939215085855297,-0.0353591168968583,-0.126065416848752,0.0039342213763098,0.0280726043329746,-0.0489113228038078,0.0120825729914437,-0.0004706059101253,0.0062988920609439,0.9152702490844024,-0.2093365983581329
06/2019,-0.0385869770401267,0.0066688779393815,0.1135968884511784,-0.1374235011579,-3.101051923792841e-05,-0.0263045207208364,-0.046715636849541,-0.0020838031016824,-0.019393787245504,0.0116244764905306,0.0624256699433249
07/2019,-0.0266685165879728,-0.1205552968835527,-0.1029807769633394,0.0657485784675211,0.1819311693774652,-0.007403822931098,0.0074744905203361,0.0014437590258971,0.025404364720811,0.0789062355498533,-0.0408396933037128
08/2019,-0.0222155697098164,-0.0073150119148817,-0.0125025070967518,-0.160733956049105,-0.0360124956761811,0.0416198983703941,-0.0249149795612397,-0.0005997033604832,-0.0392135528365216,-0.0268919878445941,-0.0173692385273804
10/2019,0.3978161443882477,0.0535400130294934,-0.0371284290591915,-0.0453731665857362,-0.1361138974328376,-0.122703950450873,0.0504852016962766,-0.0006867409331782,0.0035026992166566,0.0689755032353323,1.057805716384256
11/2019,0.1022823740689846,-0.030881759317011,-0.0305081959453373,-0.0616180149424623,0.0131155894071248,-0.0333933261835606,-0.0312026940001556,-0.0022908636394557,-0.0028536719023116,0.0105644481863269,-0.1692380557410921
12/2019,0.0538612872088954,-0.1288642459359901,-0.8215225742844269,0.089139966408249,-0.1514955581528378,-0.0789706200829257,-0.0746481596714176,4.975924305528068e-05,-0.0172727571386039,-0.0176853359415195,-0.0583689218428903
01/2020,0.0192188653155482,0.0174874782513552,0.049615533946431,0.0102820148444895,-0.0092637986305362,0.090958792249985,-0.0600124173460551,0.002763450151727,0.0117628738409432,0.0441954602178722,0.0289574846310707
02/2020,-0.0476335637764223,0.0042731338494406,0.01226006920762,-0.0049688286038899,-0.049527534048322,-0.0163992363192116,0.0247720069902201,-0.0015787443429239,-0.0023221049085431,0.0620729092173422,-0.0517947588767175
03/2020,-0.0292727335381151,0.0756222416129157,-0.3468973681574255,-0.0907435828637857,-0.0181205652510307,0.0152494799874145,-0.0776473815517361,-0.0017085809054513,0.0150846930214363,-0.0260119274541409,-0.0179498982683505
04/2020,0.0320772076789741,-0.0129902268656149,0.3208344958332758,0.0260118257727433,0.0566493891420876,0.041449896783742,0.0045023477963903,0.0016293205696458,-0.0040871664497482,-0.0936062234586304,-0.0051883957261325
05/2020,-0.0093081653953029,0.1060498054851968,0.0752917912941744,0.2194618622519677,-0.005071228197059,0.0704440393547527,0.0282833552787933,0.0010407566722629,0.0095470236959205,-0.0084189934005008,0.0018437953220948
06/2020,-0.1529741118869686,-0.0521957610184332,0.2038703393282932,-0.0296762177886892,-0.0273999635109938,0.0857241659197352,0.0146245267245794,0.0003063829434339,-0.1770781828155064,-0.0588779735566776,-0.0539399168407266
07/2020,0.0241327354383726,0.0105163480096142,0.0238441660205663,-0.1164311678375331,-0.0451323308230936,-0.0244563161263914,0.0081469393913307,0.0026168743698813,0.061462759759794,-0.0139345697437917,0.0107301840990288
09/2020,-0.334933487409358,-0.0658035519595303,-0.2011526391175216,-0.5987746247385333,-0.2948464400530666,-0.044313781245555,0.0051316841903348,-0.002059472506767,-0.0992867435768551,-0.0555709963766677,-0.0256922866039068
10/2020,-0.1343715504982414,-0.0909762938825995,-0.2184353216158114,-0.2725980807647228,0.0951585849592973,0.1795071153679688,-0.0207192560523197,-0.0064887445324945,-0.0373860792230962,0.0337114014963022,-0.2976956399849719
11/2020,0.2609092365386389,-0.0258282618261365,0.2552372116349855,-0.056891012413335,-0.1804954788121907,-0.2352960629165854,-0.2509893076541091,-0.0106506125484687,0.0342792074058821,-0.0593627843669225,-0.043830122620449
01/2021,0.0904139721203602,-0.2556199777134451,0.3998732095725934,-0.0179328356842251,-0.0916824675900783,-0.2336587246858371,-0.4680793789650488,-0.0001021096155566,-0.1607520313165606,-0.0282147828444853,-0.1388300632637166
02/2021,0.0125826918654232,0.0075338672038456,-0.0659336104650742,-0.0449143335762414,-0.0449859709461525,-0.0484790525934194,-0.1358327786781706,-0.0017521588783897,0.0006617514084246,0.1192804385476189,-0.4385695487760966
03/2021,0.0324513631019294,-0.1137603964336919,-0.2314048452015658,0.1197458026532469,0.1499664366727717,-0.0023237665531615,-0.0486941417214847,-0.0081283734298274,0.0076631859696398,-0.0547255087287656,-0.0445190320119998
04/2021,0.1742911742412103,-0.0411972921366045,3.688412609138351,0.5912302981722264,-0.0560166586415308,-0.1189923958041757,-0.0558301079261933,-0.0058276778051568,-0.0026652810099738,-0.0220238257825517,-0.072785586746954
05/2021,-0.2446220979330196,-0.0330845971612412,-0.7934818438087026,-0.1756961657777367,-0.1427257617938137,-0.0599364420658081,-0.0798359402129819,-0.0003844325839622,-0.040871082963239,-0.1316675232659271,-0.0311755622430068
07/2021,-0.485387713891014,-0.0250343007497574,-0.0332906731226416,-0.1533414158894818,0.0359319444498336,0.1032597745427779,-0.0532211317570447,0.002512487668044,0.0020906145161301,-0.0413036924634699,-0.0020174544322475
08/2021,0.0028896548539794,-0.0319960194895194,-0.0824467941098684,-0.0998828134216334,0.2336712479196954,-0.2362685960283483,0.212328379058073,-0.002405416095922,-0.0643748084564997,-0.0880509926239644,-0.0583320334696694
09/2021,-0.02981402640468,-0.0275337478651709,0.4147059365298176,-0.1307957388429687,-0.0843513921262324,-0.1712624638863409,-0.2398191519408022,-0.0022074278228204,-0.3357460299170757,-0.157320872542347,-0.2360904857288186
10/2021,-0.1639179931432544,-0.048359155505451,0.1264423289621432,-0.0235876128249434,0.0025447862407288,0.0152464605130031,-0.0972523561742888,0.0016994366230298,0.0181670194994096,-0.0812648195635301,-0.0622643739837297
11/2021,-0.1715724465585734,0.0103100802987414,-0.0769734561825061,-0.0838853303545256,0.0375999551598935,-0.1495074170078379,-0.0598975844037349,-0.0038233109447552,0.0041531686915823,-0.0709635047152726,-0.034066287578177
01/2022,0.0384251013645031,0.0302013408136001,-0.0521238375335146,-0.0026209438405547,0.3228198981923633,-0.0754437860486892,-0.0033798965688808,-0.0061352839360735,0.0108390259716786,0.2561585747453276,-0.0144279158498994
02/2022,0.8017183843480269,-0.0433297120863144,-0.1361342774624295,-0.1602277234705764,-0.2740457263259606,-0.0570927566167999,-0.0905385572325699,-0.0025476675799496,-0.0401319968683692,-0.0302599191486533,-0.0815637985254668
