Bank,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01
a-bank,421484.38357,501242.73973,561124.38356,451311.78082,381104.65753,150000.0,200308.90412,350739.72606,341009.31436,210632.46578,270397.80808,230175.47944,270381.50685,531482.78688,722163.93433,750909.83606,900775.9562799999,900565.57377,750614.7541,740349.72678,680404.3716,680668.8524600001,800389.34426,600393.44264,585165.9836,350053.42466,350049.31506999995,237083.4528,407036.24071000004,507350.5508,590174.93152,800161.64383,841348.7671599999,1002078.7670700001,1201091.77995,1753231.50614,2321746.78528,1813939.97615,1364552.47661,2461832.8074000003,1662208.21477,2362926.37308,2814379.97771,4064980.3304500002,4065670.98795,4066311.88045,5067617.879930001,5604772.83428,6309870.191450001,5160630.017980001,7351155.6342899995,7294997.66365,7977640.745320001,8801348.3314,9629341.1121,9125245.392879998,8992524.69221,8622676.338440001,9011276.41721,9373952.55401,9217954.72935,8376451.53959,9633470.49496
alpari bank,197675.20127999998,213159.06754000002,198863.21636000002,192842.35472,149734.42108,225018.08707,196897.48701,202020.29676,184730.73657,181885.43101,175761.82444,139833.08380000002,134494.41077000002,191314.74490000002,166158.289,149328.23979999998,170898.55894999998,210558.89268,133279.43582,126173.42542000001,121050.39579,73599.84203,119878.55218,87196.41626,136407.1213,146127.64935,136329.23493,123958.4038,140173.41956,127759.8745,142510.59812,221258.02327,189019.92132000002,195737.27990000002,191561.61070000002,188442.70679,179679.32369000002,179597.38476,114528.675,121319.50806,122610.97320000001,171711.56996,172897.93468,170168.52977999998,171721.96966,169883.38258,169757.92523999998,164223.69413999998,165025.04927000002,164848.908,167464.27398,167105.23338,167274.52128,163089.31584999998,164089.8638,164080.87660000002,162079.8903,161141.15031,161070.57596000002,161070.57596000002,160197.26080000002,160065.5744,160065.5744
altbank,350033.04517,241407.80946999998,308393.5636,325255.40935,309144.72166,306059.89798999997,280282.71965,389502.16416000004,364948.7494,226018.84043,262011.97511,147306.45005999997,863336.44598,383274.70988,430904.65694,98001.6094,306033.51147,249887.54145000002,467963.09045,518231.59116999997,315393.3880200001,355709.3952,407572.79902000003,442759.83799,912585.48306,356564.33708,437054.59066,247738.28243999998,345594.4278,300730.45254,180141.50927999997,271087.47887,251762.95662,285224.54273,255056.29913,493791.76104,797479.58987,417654.44704,167644.79491,642189.40631,552722.2226099999,457828.29435000004,332119.74216,272206.48964,296882.67134,368431.38529999997,404812.28232,666349.98958,1102159.2208999998,646219.8682200001,747088.60846,580185.1603100001,506153.39168999996,665135.4199,702106.77639,723449.63625,576372.70764,614939.65038,508895.5873,618599.58237,768310.5345999999,652601.45994,569704.84705
ap bank,390729.1536,360819.5102,490846.5961,360942.9267,240812.8376,170076.9757,195347.24895,130196.1276,160350.18779999999,230616.9612,305886.8182,270215.8233,369000.79413999995,475332.68517,444687.62938999996,221621.47857,427618.59497,418594.52595000004,375595.67821999994,341443.08355000004,315949.50865,342702.12398000003,472927.79562000005,497953.20573,609024.8501,406304.4888,400094.21537000005,286180.91251,325434.22096,314955.73368999996,274017.35446,288260.38139,333322.96076,339213.21302,380168.00101,378142.44238,491271.54785,327784.29678,475879.06873999996,495294.87321,439750.95616,295199.34997000004,365491.19131,262283.58322000003,266999.20515,447365.80932000006,516775.22610999993,677779.3498799999,995271.97537,1020863.34877,788809.6520100001,695138.61225,817240.69143,900159.8319100001,867656.12518,701097.6081,872578.65028,691182.7035299999,762242.1413199999,984870.7084499999,1086307.38282,960874.4730000001,1105836.0041200002
asvio bank,281742.68496,342722.52113,338198.49188,291492.40114,283489.63896,190697.65993999998,194794.0822,143016.44664,193360.82195,119276.04108,163417.82178,248195.50686,254532.43112000002,226193.7317,302693.99530999997,175265.90503,214439.0696,226510.14566,230601.41239,224503.09159,282714.69791999995,426807.47589,407789.77064000006,414388.13298,511513.14531999995,510369.58252000005,713301.75294,517361.42945000005,400339.32088,463361.06605,472954.29037,509825.50826,431402.92659999995,382881.2271,384374.12756,700563.53596,531567.7049,431456.43771,74480.37635,14443.895559999999,414781.22785,357476.26326000004,372720.71067999996,283534.98603000003,173109.01422,218137.37052,240151.2336,235148.08289999998,377475.12555999996,320201.6448,330207.9462,490308.7686,349115.06999,379669.17958,379606.16601,427611.69854,494168.98581,524116.71134999994,966463.72951,852483.78374,993790.30426,1122947.8710599998,995136.54644
b concord,127167.01364,66028.93176,0.0,41053.91787,73155.00029,40018.08217,90152.8767,57023.42472,30024.657600000002,20099.452100000002,70025.89020000001,0.0,175165.26038,200319.67171,145292.62279,195157.37724,155031.96718,150093.44229,260083.3329,90013.93446,210054.64445999998,320162.2946,300092.89638,380103.82451,690085.75211,1122233.65638,1115489.10144,1370056.91811,1832383.9617,2815482.55019,2371766.4570299997,2957236.52006,2956847.54402,4245215.30437,1940323.3517399998,1936821.14247,1714748.32182,1603343.48348,2029403.45986,3142851.218,2002107.39567,1895975.5259,1220163.6238000002,1066656.4763,1385307.44,1554955.4837,1573498.24257,2531594.2542,3354221.91567,2891821.1046,3001890.4200000004,1961235.06787,2279569.8727700002,2554901.9367400003,2560347.8422100004,,,,,,,,
b industrialbank,,,,,,,,1007561.43403,1035604.98038,912892.25548,889302.07986,691259.28592,1124162.2384799998,944421.3922799999,1236340.7888299997,677659.65743,673361.8378,1410841.78129,1154114.8771399998,1270330.0789,1069175.93708,786179.81622,1039249.20095,1269341.1309600002,1375058.9304300002,1275544.0729,1309301.3482599999,1287524.92624,1309491.0563200002,1316625.761,2009595.5076000001,1596358.2738,1611778.11516,1866932.88242,2215601.11614,2443317.06434,2904107.54361,2937669.49027,2779205.5657599997,2559347.5932299998,2562707.22836,2399218.2434699996,2206216.5269500003,2127721.3291100003,2087427.94705,2113700.13836,2083822.0107400003,1507332.96776,1572254.3902800002,1467477.8933,751429.6180799999,464416.92893,532023.4696,632938.7154999999,645230.3468,773208.2191,781493.4445999999,793143.4116,777042.97515,720447.57419,773439.89525,918982.62595,1407256.91534
b lviv,389392.42809,354061.21187,340631.35788,284663.57318,359241.66454,409117.71204,375336.34329,414745.39959,472745.4632,556910.45226,503709.77614,521150.1121600001,640336.63555,526601.0037700001,584690.65886,399356.62061,441217.91263,516271.33722999995,613940.76425,711924.99655,544224.62035,515834.42761,201272.63702,387300.3347,847599.94135,666237.4675,663362.27407,664511.50551,288055.1517,537080.18368,732094.7337800001,635468.15971,545261.72063,686630.16399,761979.47174,719096.36712,1054633.83619,803539.98189,601148.58859,490377.02426,502074.22542999993,513530.54341000004,676276.2651399999,690809.48674,747271.26646,1005001.00178,1313355.92493,1078266.14414,851461.75383,,,,,,,,,,,,,,
bank 3/4,322883.186,228231.42035,356947.10194,307148.05066999997,382738.24158,400442.11662,538942.72173,588896.51518,497047.12854,431064.20716000005,435153.65009999997,404555.02123,447643.55315,398974.2904,399667.55853,633804.96691,709109.7957499999,715149.61912,761655.48421,723789.85785,855778.98525,862854.0829800001,802216.2554599999,817067.7946200001,972774.30222,1013268.18673,1010936.8941599999,827162.89336,825665.40019,821882.9371199999,1231165.99115,1406037.93111,1238423.395,1178436.88193,1242701.9188599999,1330168.6574699997,1273974.36142,1187388.7341,1201398.06675,1208302.46332,1211677.21974,1243391.04518,1287763.37166,1244148.78565,1097402.55126,1357806.8440299998,1027725.59086,1054041.6873899999,1257109.51793,1045452.0430300001,1104203.43927,1181074.29754,1349095.8460999997,1191225.3324,1112529.57892,1181713.46677,819752.35071,734800.80459,981482.48721,1094853.4726099998,1126323.55221,1109517.93913,1132212.67659
bank alliance,297794.69188,46471.16229,52263.65958,108354.56436,103484.5745,135331.83184,212376.11229000002,189843.00202,50298.56948,158414.26131,287058.51836,595299.18246,562403.83205,583610.59261,549286.42821,392079.91261,302179.79386,275043.84167,312988.64886,757036.63965,593922.36902,1281723.58788,1387764.54096,1710928.76038,3529340.28188,3943068.2427,3131548.47618,4096211.85359,4225833.08878,4658315.83414,4564234.65817,5637367.822480001,5297518.076710001,4332191.59495,4312321.5942,5495532.52578,6163444.74643,5124466.44482,4623439.16789,4479849.5678900005,4455377.33,4424090.390000001,4457622.16,4464480.65,4819998.23235,4784247.44446,4920853.06828,5429323.68324,4026772.09732,3205623.52699,4139428.7953199996,5698198.69981,5983173.91005,5953521.929049999,4710824.059590001,4198463.90529,4891426.947579999,4990570.06342,5410472.74219,5431991.47433,6089543.6585,5039655.45591,4947882.84839
