,RA
12/2018,1.1120436049333267
01/2019,1.154533307741902
02/2019,1.187801253205981
03/2019,1.222530505759907
04/2019,1.151347573888385
05/2019,1.1310523416052398
06/2019,1.1386855573228378
07/2019,1.205446788684211
08/2019,1.237669915883904
09/2019,1.2669061396089663
10/2019,1.2561332130095026
11/2019,1.2961459068609598
12/2019,1.2718728238245358
01/2020,1.2866195392405582
02/2020,1.2960727335753688
03/2020,1.2327412860976419
04/2020,1.2706728764181534
05/2020,1.2425543599422653
06/2020,1.22466003872346
07/2020,1.1967815309957475
08/2020,1.226584163729186
09/2020,1.177407814664404
10/2020,1.1940321348139895
11/2020,1.2026077182592987
12/2020,1.1459043157227022
01/2021,1.1618607846745441
02/2021,1.1726017119579595
03/2021,1.1828957983602004
04/2021,1.1697478168471673
05/2021,1.162636504479575
06/2021,1.1638620994447118
07/2021,1.1757119936320042
08/2021,1.2085132180541875
09/2021,1.2187583284562562
10/2021,1.2436410092618044
11/2021,1.2480489906009193
12/2021,1.2287512459045107
01/2022,1.248292723367217
02/2022,1.2552714482971774
03/2022,1.1595149232204474
04/2022,1.1133218978219261
05/2022,1.1517525734732437
06/2022,1.17894320168499
07/2022,1.1210680984132106
08/2022,1.1252194384893892
09/2022,1.089341393061981
10/2022,1.0771014368222405
11/2022,1.0598298703944413
12/2022,0.98548902151365
01/2023,1.0377919162234472
02/2023,1.0538679528756156
03/2023,1.0751592189382526
04/2023,1.0506395779541446
05/2023,1.0934762224924357
06/2023,1.12116843516027
07/2023,1.181885460964026
08/2023,1.2200615560870696
09/2023,1.2744636953005608
10/2023,1.3176240029273911
11/2023,1.3228959571008136
12/2023,1.0899247320963057
01/2024,1.152503415648941
02/2024,1.1689623611460391
