,OE
01/2019,0.0488379779478695
02/2019,0.0585543512306274
03/2019,0.0509457592506708
04/2019,0.05828688498731879
05/2019,0.0563647642594552
06/2019,0.05750978129050241
07/2019,0.055413232654102994
08/2019,0.0572520524985571
09/2019,0.0579544751782593
10/2019,0.0601468673498902
11/2019,0.059017425075933994
12/2019,0.08252581758543169
01/2020,0.0550117704081109
02/2020,0.0569750212882942
03/2020,0.06119961170486941
04/2020,0.0541647330318317
05/2020,0.0533045584658999
06/2020,0.055364745594094496
07/2020,0.0553417711585959
08/2020,0.0467728763174985
09/2020,0.0534802208151539
10/2020,0.0534565319946999
11/2020,0.0542679316392234
12/2020,0.0689093511989057
01/2021,0.0443344004868121
02/2021,0.0465506889128118
03/2021,0.051054544880784605
04/2021,0.050415106012552904
05/2021,0.050031820966308
06/2021,0.053127263661925404
07/2021,0.048525162411965195
08/2021,0.04827907697170031
09/2021,0.0527661081461466
10/2021,0.0501751851668231
11/2021,0.053343140909900603
12/2021,0.0753736933973633
01/2022,0.045461491582614505
02/2022,0.049553379786263396
03/2022,0.0583686876028263
04/2022,0.04066737343752821
05/2022,0.038728524636730995
06/2022,0.0423797308783009
07/2022,0.0432313151299125
08/2022,0.0395609193702952
09/2022,0.052185306884652005
10/2022,0.0452439515926375
11/2022,0.044373078909376695
12/2022,0.0638088634153764
01/2023,0.0403412278928216
02/2023,0.0440546709815699
03/2023,0.047808592427793506
04/2023,0.04440572553212099
05/2023,0.044331374732698596
06/2023,0.044552243901708505
07/2023,0.0422590296273577
08/2023,0.0410327813392535
09/2023,0.0314077106553725
10/2023,0.04449022684970389
11/2023,0.0429769781845125
12/2023,0.062043387576627196
01/2024,0.0359347933074605
02/2024,0.039188436936658105
