,CDR
12/2018,7.52925832269554
01/2019,7.3931461491242665
02/2019,7.292187721888379
03/2019,7.554170533341238
04/2019,7.546661662499382
05/2019,7.490548202772995
06/2019,7.327782690073848
07/2019,7.251440763996053
08/2019,7.37155760275841
09/2019,7.418665555788751
10/2019,7.391015116850434
11/2019,7.441042445240688
12/2019,6.9637387750064885
01/2020,6.568082397493136
02/2020,6.475889211842186
03/2020,6.716934900552128
04/2020,6.54187245244486
05/2020,6.286819025748539
06/2020,6.228913579141198
07/2020,6.177492948466865
08/2020,6.248688337900136
09/2020,6.197605491098157
10/2020,6.25276893553635
11/2020,6.300107483365811
12/2020,5.911122320133026
01/2021,5.89805960965337
02/2021,5.98073679351477
03/2021,5.910791518800034
04/2021,6.077810461150081
05/2021,6.2039018612771635
06/2021,6.26122099703358
07/2021,6.274072868011344
08/2021,6.563562193007124
09/2021,6.530126334445557
10/2021,6.695585699930596
11/2021,6.777709395757779
12/2021,6.308964417000527
01/2022,6.490988680590091
02/2022,7.095130710673407
03/2022,6.731381814267341
04/2022,6.4082138308527234
05/2022,6.384652878612858
06/2022,6.016356273855395
07/2022,5.7704855812540075
08/2022,5.605624997832461
09/2022,5.401924789096026
10/2022,5.114513523288708
11/2022,4.785642940780933
12/2022,4.238590729102283
01/2023,4.12143342505087
02/2023,3.924931591893595
03/2023,3.8127688382385077
04/2023,3.6659509704340016
05/2023,3.570148434780169
06/2023,3.4457173005988806
07/2023,3.4016450706136836
08/2023,3.401291052161416
09/2023,3.45003973576748
10/2023,3.41372237995387
11/2023,3.4219984830672656
12/2023,3.1905129888805686
01/2024,3.20681103444371
02/2024,3.1682195716183585
