,pivdennyi bank,fuib,ukrsibbank,credit agricole bank,universal bank,otp bank,raiffeisen bank,cb privatbank,oschadbank,kredobank,sense bank
01/2019,16670264.822799996,24613790.89136,20600290.23467,21857077.87894,1216728.85864,17933083.69431,43105458.16459001,227541991.74256,117114610.42904,5880175.23018,24385702.94021
02/2019,16474486.99891,23855515.34145,19726130.73975,22084123.09932,1228442.60417,18005284.421,42088313.97448999,226771975.58919,115347442.65542,6153115.51473,22343667.16026
03/2019,16465879.91659,25020612.1426,19722248.34479,23060950.35698,1072693.76748,18591960.54997,42856075.18428,228333143.36906,119510666.62637,6332812.37379,23617219.61238
04/2019,16114353.15004,25156976.30019,21028803.02549,22584539.76638,1087012.55178,19315494.72101,44601231.93848,228478127.40874,117154229.89376,6450638.4176,23771698.55471
05/2019,15544654.971609998,25933629.01119,19302093.11515,21514974.15895,1071432.06224,19707427.08763,44242631.76302,228884796.76565,117554684.41584,6480223.07107,24001149.82808
06/2019,16086352.528999995,25499332.969510004,17849470.01691,22499724.675949994,1058491.62546,19679623.79058,43349994.33711,228451210.76491,117783606.95389,6649126.670089999,23634675.56134
07/2019,16092755.88106,26502055.09018,19423064.40198,21013853.25792,992542.82909,19281291.27154,42230540.76889999,226576188.89348,113300086.94129,6451240.21739,22875459.88128
08/2019,16258001.34031,27449437.69658,19248638.338200003,21702840.89972,1018075.82474,19396305.35781,42743960.60173,227215446.50102,113678769.63934,6509966.067130001,23601735.33522
09/2019,16843129.30783,25494832.93639,17500764.921490002,23801208.61588,1081800.57381,19914371.83905,41036974.56515,225551466.98293,110665609.68015,6605042.714540001,20024703.54242
10/2019,16910518.435060002,25946998.3986,18593347.49965,23979339.565,1280678.3056299998,20712099.30901,41261538.52693,227614945.50862,114256650.8931,6421924.86637,25995161.02115
11/2019,15203234.59077,25729330.44263,18716704.61073,22502433.93126,1227074.68577,21122691.13543,42457138.23209,226719204.9915,111064492.13038,6262952.39048,26716327.71541
12/2019,14261938.02097,25357545.47679,16819252.73776,20160222.53788,1373838.52934,19247141.29992,43586805.39792,225806215.33845,109578217.5936,6573535.74104,24943694.08873
01/2020,14341631.68691,23871488.37686,14863547.54445,20139423.47519,1401502.66878,18222622.35197,40219780.45356,228008800.30445,113115796.59656,6283183.41749,25338466.13369
02/2020,14900136.55965,23669177.16597,15050445.3625,20050659.8008,1424014.7283899998,18391856.74739,39260328.977120005,227767125.24058,112030925.11475,6231732.12907,24539198.03135
03/2020,16959664.016259998,25471412.86503,20002267.87257,23276165.34344,1608651.91677,20229133.0907,43118662.93103,234420833.83301,124109022.7623,6818538.82878,27653786.96546
04/2020,16142328.50342,24753412.72594,18419795.38173,22329819.71007,1483464.76392,19590682.06862,42200141.19577,232363903.61213,119732939.47128,6517704.27267,24190609.23681
05/2020,16310564.46353,22660627.8126,15341427.9096,19956527.17432,1493083.5981299998,18349902.37937,41109526.62313,232414096.08435,119170866.54485,6615370.18681,24232321.872
06/2020,17224657.64687,23039614.70988,14815427.09199,19380976.12964,1542874.96872,18116795.10548,40073118.93359,232315250.33278,93617852.69036,7045550.25001,25904240.01031
07/2020,17357249.74361,23659730.38857,16776292.60687,22038299.72612,1677871.95476,19010321.30106,40459201.23731,233945590.68309,90871313.12366,7369658.32847,28241370.44596
08/2020,18371443.7485,24227994.67468,17658047.951419998,21878590.95308,1784211.59403,19297965.3099,40034370.2597,234154157.75281,91233674.34634,7440003.59951,27519113.95495
09/2020,18585598.57679,25787355.1872,17866036.55438,22448010.61427,2322958.2862,20328941.19526,40151987.53694,233361064.13214,78835678.04984,7888716.1938,28761439.52841
10/2020,18990756.74485,26109842.53941,18231217.98065,22088739.14911,2134958.0072500003,20811378.43922,40608890.21292,208195826.70517,81979013.32801,7676256.82888,29411058.09544
11/2020,19621170.86373,26588464.91966,16805174.08647,23826241.1539,2649452.41029,21772455.11304,42091433.81051,187651024.87317,79597524.60369,7628415.14311,28852511.89015
01/2021,18113470.38515,26733089.08967,17018607.96948,22581998.51417,2878051.36931,21551471.8183,39970098.04236,181710870.95094,77370385.01411,7634786.1121,33181272.29385
02/2021,18536542.87584,27167193.04323,16884118.413990002,22811080.62691,2984112.79493,22268645.58301,40294371.01563,181785152.67527,76957019.53528,7571263.19251,29262097.77049
03/2021,17574519.9958,27426800.96823,17501948.08913,21004639.75119,2573418.93999,22253574.72366,42594154.57981,180950719.98331,74781179.28308,8214545.44139,29395586.19799
04/2021,18350031.91422,28139466.71239,18603696.48803,22321839.2985,2620883.1040600003,23442477.69689,45790508.45938,182097676.61116,73411187.52988,8478896.77253,31616294.39073
05/2021,19629771.48033,29131313.79544,18409141.72287,21987975.38639,3050021.95853,24256737.32252,47504272.36603,182153737.41459,74853386.91991,8824154.00317,32472074.39356
06/2021,19787285.3461,30608000.82666,16108426.4361,22438101.39811,2759948.97726,25804884.69954,49581702.32157,182561445.87516,73860760.78694999,9408794.4248,31841251.96549
07/2021,19342627.56197,31482978.21463,16843712.18728,25119189.61533,2650677.09715,26317695.29174,50479433.11661,182072637.32169,73098525.15073,9644562.80223,32009297.17075
08/2021,20050494.82998,32211992.74947,17800880.77983,27456204.31309,2144566.62413,28215915.27338,51986042.55207,182616940.44171,71943770.41062,9811511.01538,34479652.76201
09/2021,20326103.07344,33761578.33082,20059532.31381,30920460.68457,2206042.71977,29094558.24742,54168593.77332,181918875.57991,61741198.48554,10031833.25302,34736137.04991
10/2021,21327290.52604,34924988.97331,20206684.45082,30483583.26656,2179908.20945,30373623.33461,57756273.66382,181357934.58679,61339801.01484,9976503.25965,36104712.90311
11/2021,22686542.01903,35689795.50368,22226631.37796,32707756.0856,2239880.04615,31609392.57988,61181584.30086,182576164.55809,61353452.54319,9995118.83174,38467641.95784
12/2021,21089468.96253,36148712.40901,22233049.20176,29545120.59015,2401264.2675,32850431.92698,62428135.193160005,182733184.03065,59601217.46124,9111803.03528,37168629.72779
01/2022,21790868.79915,35903565.72842,22119096.51365,33117452.03492,2505470.34392,35157083.45131,62752777.60195,184622740.88469,59735807.91272999,9232615.34413,39243732.10889
02/2022,23397087.12538,38688224.50835,23182684.13893,35456918.25487,2621181.0964,37585823.29027,65453761.39384,185379358.41017,62853350.71958,9444479.07188,41197033.16472
05/2022,21786655.32954,38907242.54935,21834838.16814,32033389.5391,2734008.0144100003,34115859.01398,65227006.05148,193282381.62405,67524560.8677,9274711.2668,36624469.1051
06/2022,21205914.61329,38330811.46943,19996396.32797,30371267.71132,2987212.31378,33221944.35603,64507557.54899,193494753.0107,67496248.21661,9172949.57063,35952051.78853
07/2022,22876266.23471,41066377.78508,19268738.03068,32833054.32684,3644404.40646,35636768.034210004,68776021.30645,197259526.48778,75938218.85487999,9453178.08808,41562047.4497
08/2022,23003062.73032,40943625.43368,19086726.53442,31952601.04938,3607462.31486,34364327.9779,68651488.05461,197465858.32009,76559164.66243,9389140.03102,40437999.33141
09/2022,22029344.67095,41562377.70089,18296456.21408,31408892.77864,3529744.8412200003,33488556.40684,67553215.61845,197659306.2887,78767412.79255,9435410.27511,39229926.9527
10/2022,21418367.9071,41699333.32026,17310162.52656,30551970.07805,3567466.84157,32720541.47056,66972659.77763,197348270.84276,79037165.87405,9113360.04102,38024840.45276
11/2022,21085038.87569,40871999.24687,16658124.04891,29442044.70962,3285078.855,32180265.6732,66919644.56285,198021652.66049,80270704.97962,8761291.34758,37473360.28336
12/2022,19233916.56093,40549183.83462,15374509.34893,29302119.16527,3341933.85107,31533572.799470004,64642731.52257,198715650.11867,81693528.10261,8432350.37556,35429678.91429
01/2023,18589052.82086,40408281.70171,14634576.38248,29109104.73585,3371313.54023,29835159.69918,64020926.35584,199349039.70516,80848614.67182,8095238.26587,35208453.52931
02/2023,17490960.916360002,40680541.30193,13889024.87448,28153260.31173,3738897.71599,29651808.05996,63656421.88762,198666349.88124,80630300.19581,8052242.9459,33612650.45056
03/2023,18124755.10582,38231159.45263,14504790.12545,27244527.48797,3435794.78204,29300908.57834,61957867.66645,196942528.31298,80761119.20336,8260273.69517,33295930.0218
04/2023,17656422.266629998,38847349.33642,14413742.28509,25913082.43493,3483685.73883,27639782.03152,57930930.74058,197648965.45894,80281288.44924,8507536.10104,32919724.56981
05/2023,17497869.40315,39221164.2109,13621566.90619,23802901.36128,3333907.49464,26902761.20074,55872451.21734,198872224.04736,79820898.48791,8818837.436519999,31584679.60456
06/2023,18223372.8575,39831954.28461,11751776.34028,23373534.84456,3371129.50771,26796952.72702,55014313.92666,201821079.01242,80075810.10622,9122577.11301,31136463.8522
07/2023,18662300.29868,39980141.9807,11464324.47875,23722163.93832,3382200.89848,26536731.16888,54856052.84256,205178543.09561,80308484.01853,9171022.10576,30760768.25316
08/2023,18180128.08499,41286901.274220005,10710315.25113,24530576.77905,3346161.26776,27140189.33742,56449039.77422,207414645.43637,80768042.01846,9325906.17317,30498383.51373
09/2023,18326218.07547,42467043.69921,10413673.57432,24288170.46265,3627123.49278,27104704.81109,58321240.20503,209387438.94257,81800961.74165,9871634.2191,29753685.75678
10/2023,17937925.24788,42887858.69023,11392974.27481,24233992.01524,3629530.08923,27396033.38011,59875064.39499,209004820.1151,81856765.95428,9621273.07737,29694900.4902
11/2023,19276028.5623,44129681.39951,11821189.41286,24362399.32903,3784880.99203,27719115.96209,61365572.68597,209275659.62878,83994755.47716,9775781.09815,29664660.00896
12/2023,20046832.92126,46139394.65154,12107328.44934,24289191.81709,3978409.21471,27545286.18638,57743797.6149,207666673.64983,87220018.59207,10403783.46038,31089002.09144
01/2024,19991353.54588,46130980.42542,11026070.35059,23063496.31254,3890129.14021,27169389.35931,56731162.30305,205757118.94175,85979416.01218,9751468.43144,30991755.83843
02/2024,19942177.5253,46016513.53253,11013298.24852,21956063.18039,3887112.66719,27068174.52155,56601621.09295,204026309.71129,86536969.3928,9814453.31744,31667373.34961
