,b industrialbank,mtb bank,pivdennyi bank,poltava-bank,fuib,bank grant,mega bank,sky bank,bta bank,asvio bank,ukrsibbank,idea bank,cominvestbank,ukrainian bank for reconstruction and development,pravex bank,credit agricole bank,arkada bank,ukreximbank,metabank,city bank,unex bank,kib,ibox bank,universal bank,kb land capital,piraeus bank icb,bank credit dnipro,ukrgasbank,radabank,clearing house,bank alliance,first investment bank,ing bank ukraine,otp bank,citibank,procredit bank,sberbank,bank for investments and savings,bank vostok,bank trust-capital,ukrainian bank for reconstruction and development,kb financial initiative,bank for investments and savings,bank forward,cb accordbank,credit europe bank,creditwest bank,raiffeisen bank,ukrainian bank for reconstruction and development,motor-bank,cb globus,ap bank,mib,cb accordbank,bank 3/4,eib,vernum bank,deutsche bank dbu,altbank,seb corporate bank,cb privatbank,sich bank,policombank,alpari bank,bank avangard,oschadbank,tascombank,bank portal,crystalbank,bank familny,rws bank,kredobank,lviv bank,okci bank,a-bank,sense bank
2019/02/01,425041.32207,48883.72634,1591674.28444,143233.5748,7362084.343060001,103388.34062,690787.77748,15915.94193,51869.19357,59458.62583,1497388.6906599998,86414.21973,196565.58408,110433.06554,35262.80334,2282671.67265,0.0,78698698.60214,7838.44487,410148.07595,117089.15089,89905.83475000001,88969.20233,110503.44707,29380.69589,25998.27667,4263725.7748,5396851.58934,259399.42522,444276.0138,0.0,171619.87379,1000230.31205,2680134.20714,2389.20854,492009.79819,42506490.48169,43529988.02822,354440.27398,20461.68194,,11243882.07,736704.34357,7355.47965,59677.99329,576102.65998,123960.92459,3044971.8444000003,80640.50574,14445.60292,125086.84218,6146.272290000001,986365.01012,10430.44318,13260.33632,53629.34751,241473.25432,0.0,548.4999,0.0,217498058.1328,161109.82776,160907.33514999997,92.49427,50512.51553,74645022.75968,1125461.52629,78306.90067,98611.7315,123.80027,1117.88063,476328.66615,365351.03761,36602.67936,26822.42004,4122628.5317
2019/03/01,427302.77098,54691.93633999999,1468820.22338,137856.85917,6798398.72715,98417.91412,691064.84763,15915.77448,48244.85958999995,59900.97856,1494138.27301,84527.30178,215266.72601,94772.92536,34336.54035,2240574.64174,0.0,55618464.23977,6184.5949900000005,372843.39409,115471.33951,90255.91526,83189.40218,107172.44370999998,59115.64346,25502.53018,4182087.57602,4781778.094419999,261714.20975,445373.58002,0.0,171312.14044,988145.4584,2647082.81806,4499.20425,518139.50886,39612727.80927,37782667.82107,348385.65274,28588.92938,,11137746.62036,710704.31545,7355.47965,59184.98168,562283.25636,122557.70787,3086931.58421,81359.21262,14445.60292,124976.96752,6092.53183,945094.32006,10644.96673,13743.00274,54006.08426,242253.89331,0.0,548.9205400000001,0.0,216615261.35459,141100.97481,155931.9859,2179.24445,46776.02449,71818770.50896001,1335721.16721,84951.88464,100172.14752,123.80027,958.61261,423757.33857,371750.72263,36190.07293,27304.279980000003,3891167.27397
2019/04/01,454762.25149,68304.27311,1209524.85869,127720.91455000002,5767808.84509,97781.62215,743982.59646,15910.94594,47590.76001999999,60251.62266,1520874.4196100002,85314.70868,229336.31159,110122.37711,34662.19018,2216310.56684,0.0,70940670.386,6147.5823900000005,375861.03352,116015.16734,92221.32554,83681.31181,102203.92444,50153.59197,25864.06785,4086261.60623,5359110.34011,229091.26661,446511.92901,0.0,275153.8478,1004783.99209,2432059.66595,5341.997289999999,714963.1516,39863251.45475,38179802.71787,353016.62363000005,28639.327370000003,,11432256.46143,599224.39035,7355.47965,44682.58745,560437.0204,130300.95173,3107678.13685,76637.76834000001,14445.60292,111738.62377,6023.72772,958398.18791,13638.54957,13518.13074,54802.17706,230282.67118000003,0.0,549.38625,0.0,217569018.96190995,148166.33941000002,129623.86678,2543.6841,45290.98384,72858989.0291,1541754.5428900002,85563.0848,108506.8684,123.1336,1259.05054,454058.76393,383840.05303,33955.44142,68164.62708,6254225.19107
2019/05/01,467537.30198,72200.84385,1210776.30809,124968.50995,5748026.924079999,95434.28082,843433.37827,15907.55632,46528.96496999997,60520.84009,1497197.91206,83052.22078,267754.12515,102736.86113,33861.50562,2168154.5433400003,0.0,70002250.40983,6147.553610000001,370458.41419,114680.5268,41776.48221,84230.62595,96290.96641,50276.98143,25524.24455,4304960.45792,5543393.78955,219331.51155,452103.2483,49843.38813,275012.27327,988581.65251,2387568.26661,3073.00752,693698.43219,36486693.92973,37482115.51141,319108.4962,28191.6949,,11645241.4375,627639.16189,7355.47965,73762.10192,451798.68702,130303.98005,3083551.99274,70832.56728,14445.60292,126514.55928,6084.313169999999,941523.24871,4688.03368,13490.37059,138775.84688,212020.24783,0.0,520.95284,0.0,216854207.38397,145685.6957,188848.07937,2527.7023,43761.57002,71283347.06285,1586485.38422,86665.07199000001,109160.94698,121.55356,944.56517,235337.24357,388856.01873,28437.4207,62953.23732,7802098.15224
2019/06/01,446423.34443,121949.8171,1058273.5588,119538.65889,5715961.71206,95744.59733,816220.05121,15912.37212,45541.97653000004,60849.173570000006,1201013.7834499998,82458.0903,281496.20678,100180.3607,0.0,2073600.44462,0.0,57820993.40467,6147.539220000001,368590.93067999993,115217.62546,44292.16036,84687.83972,97575.19127,49288.83207,25881.86257,4341376.67089,5516329.181430001,213755.32736,453655.57723,54951.8366,275104.33716,1005015.66911,2316865.92247,4377.5996000000005,656417.75955,37036725.28233,37072703.37213,325135.69644,28330.94596,,0.0,644318.7191,7355.47965,77725.03235,453846.5224500001,124536.96808,3095717.48975,62190.59284,14445.60292,117189.53728,6204.68418,1046358.51869,28203.36946,13477.93132,139462.01247,,0.0,485.2523,0.0,217137952.75169,90896.59398,128282.67865,2496.947,41435.81888,71977547.43603,1571187.9751199998,87837.23899999999,109817.07424,120.66598,973.31842,452801.63071000006,418631.75355,58976.39378,63266.157170000006,6228376.82032
2019/07/01,448817.9585,119233.91978,1052893.49125,123548.85874999998,5657720.37714,63682.37915,766992.6673,16013.73756,48838.360809999984,61100.19305,1236792.71842,79260.86005999999,294897.76064,130191.05322,0.0,1870505.86287,0.0,56947676.79822,6100.539220000001,379006.08879,113670.22398,91910.8841,85151.68566,96393.71791,48515.15499,25469.9653,4188247.89277,5432612.82619,243090.3626,439972.59816,50062.41903,274855.09714,994444.63759,2252739.21348,8517.96163,657881.7701,36153497.15899,36296216.78173,321049.81602,27952.82247,,,630317.9123900001,7355.47965,76284.41912,436629.88857,124583.71524,2891557.8283299995,67643.85233,14445.60292,122582.36311,6220.77283,1029059.74328,34382.82236,13261.79085,153027.69223999995,,0.0,523.92214,0.0,216275003.68519,142232.47007,121672.48065,446.53048,39863.03978,70719078.78718,1573656.84491,89413.3052,117308.05822,120.66598,990.49899,470004.44097,453782.50419,22354.86775,69692.69493,6516149.3855800005
2019/08/01,447605.95864,117993.4214,1025222.32251,123014.42034,5171312.10187,61493.29669,735964.77642,15998.21982,48060.09639000002,61289.61276,1207232.98826,77229.72204000001,291192.22659,101690.63074,0.0,1861839.87457,0.0,56053576.76206,6100.52483,351123.20675,111378.33553,93123.60284,85679.95878,106832.34143,64520.42557,30786.962609999995,3529952.80334,5919544.318039999,212324.30288,440447.44387,46666.18194,274661.87659,926060.67709,2190800.54609,10078.5171,569780.07468,34741140.97482,34956440.33448,318757.97416000004,18261.5593,,,593130.29317,7355.47965,77076.23138,183302.86952,121912.00651,2837942.1497500003,67449.84703,14988.28222,104575.72138,6231.590520000001,1001916.74545,51119.96198,13270.74444,92175.38867,,0.0,393.31529,0.0,214809604.68293,135711.74764000002,120544.32004,425.63692,38288.36847,69755290.19013,1466361.79297,66554.42207999999,118624.18763,120.66598,1008.25224,491999.05831,454421.03798,21125.29125,69998.6736,6049262.33549
2019/09/01,452027.10337,176400.33168,1012739.85849,121118.27414,5316993.18361,61072.33291,703009.1425900001,15955.20096,47391.05924999999,61651.35053,1181433.70981,77350.43592,292697.61053,100921.90661,0.0,1613811.7417199998,0.0,64805918.35804,6100.495910000001,347842.2213,118635.55395,89877.9948,86609.1813,105634.31491,98450.06341,30556.91945,3553978.2122,5746000.74992,247069.17898,441614.58152,46454.12387,274482.99735,939401.54674,2295593.60158,7190.941870000001,496710.53512,35010650.42192,33409560.37508,321159.70051000005,18334.89899,,,504341.39472,7355.47965,79701.70134999999,182019.77006,121961.27491,2800877.67038,69319.91144,14923.13184,118424.74055,6405.157869999999,1014174.57021,39041.81194,13401.66855,81991.03778999999,,0.0,454.52377,0.0,215286478.7832,128863.02294999998,120756.2299,404.37292,36428.87131,67243938.06154001,1358803.18986,67713.70021000001,128505.20041,118.77303,1029.0339,483126.46836,483269.18238,18830.45135,74804.37509,6132914.02718
2019/10/01,468500.82837,177699.83792,1021020.70634,113615.32602,4714835.9879,58871.043410000006,801013.72674,16007.9075,50179.89849999995,61686.80777,1151065.9273700002,72857.76385,288896.12738,88437.13096,0.0,1559610.726,0.0,54773399.40154,5579.250910000001,325543.74298,103252.34212,92829.40964,86462.76411999999,96748.42832,97879.61689,29449.65542999999,3427574.93166,5952053.80979,235206.85062,442077.35621,117713.98708,266565.41025,916159.06918,2502127.91052,7374.015230000001,652243.4491500001,33349851.99278,32215596.2261,277290.4972,17629.300750000002,,,477518.68781,7355.47965,83996.2462,177496.84062,120531.92971,2965258.25463,99604.78651,302.648,137013.69733,5973.52112,985029.69294,39024.89567,13287.63886,131658.91422,,0.0,355.23272000000003,0.0,213623303.02194,125963.04871,122549.33761,382.84901,34788.81289,63958924.76464,1300268.73535,68782.15761,130393.70091,118.77303,1041.76672,470562.86425,481702.99494,33939.149430000005,74201.41077,2938708.84757
2019/11/01,363258.76914,181288.5149,1432909.43143,101646.99461,5055365.71723,60838.73201,805418.18617,16245.69279,49641.076500000025,62244.58524,1177522.23801,75750.57589000001,299256.27699,87529.24629,0.0,1499988.9431800002,0.0,54962097.87112,17215.516079999998,335375.82966,89187.5595,97166.16643,51095.4354,98944.86298,97261.05825,29910.3705,3384538.31635,6467135.82615,208743.72436,443626.28576,40574.51839999999,264219.76472,933546.53698,2283038.25618,12030.2287,651971.42026,34662911.85734,33107456.4366,272045.48403,18002.98688,,,475885.14519,7355.47965,87216.09161999999,171512.71918999997,121046.67429,3132005.70786,143790.88485,262.20408,153481.70314,4611.47686,1020422.14404,69482.81556,12895.92678,134069.10728,,0.0,330.85605000000004,0.0,215429609.63236,132384.5598,122066.68773,353.91718000000003,0.0,66265656.95128,1277609.96936,69883.94008,111241.22729,118.77303,8391.235999999999,489074.47041,529331.0997199999,32810.97497,72304.82363,7850319.75369
