,a-bank,alpari bank,altbank,ap bank,asvio bank,b concord,b industrialbank,b lviv,bank 3/4,bank alliance,bank avangard,bank credit dnipro,bank familny,bank for investments and savings,bank grant,bank portal,bank trust-capital,bank ukrainian capital,bank vostok,bta bank,cb accordbank,cb globus,cb privatbank,citibank,clearing house,cominvestbank,credit agricole bank,credit europe bank,creditwest bank,crystalbank,deutsche bank dbu,eib,first investment bank,fuib,ibox bank,idea bank,iib,ing bank ukraine,kredobank,metabank,motor-bank,mtb bank,okci bank,oschadbank,otp bank,piraeus bank icb,pivdennyi bank,policombank,poltava-bank,pravex bank,procredit bank,radabank,raiffeisen bank,rws bank,seb corporate bank,sense bank,sky bank,tascombank,ukrainian bank for reconstruction and development,ukrconstinvestbank,ukreximbank,ukrgasbank,ukrsibbank,unex bank,universal bank
2019/01/01,55886.55764,335.8402,944.14207,464.91049,5881.86611,1664.55774,,2480.19699,19.89168,296.5148,0.0,6778.34008,205.38678,1343.911,1390.26255,15.962,,,21424.44534,3489.31466,657.64134,2207.86263,85055.84141,458.61325,5918.686,2249.38934,20363.58304,4755.06816,5913.51665,2519.87896,0.0,,14548.28736,31990.94815,158.47814,2837.58613,1663.9817,1652.60677,5382.06808,4640.82949,601.42015,25052.01117,229.49043,88048.94196,34792.73749,11456.28782,5822.1557,447.83352,2258.77797,,22243.91646,456.69367,175466.48206,3085.52339,0.36522,225243.03207,3190.24055,14954.41841,11.88572,,59280.11051,35279.28331,222619.19374,179.72226,84641.53344
2019/02/01,4937.18699,8.06544,0.0609,0.0,6.32513,1.28741,,478.93842,0.0,48.3229,0.0,726.17925,6.1335,17.9871,69.60458,0.0,,,11.83705,132.7244,44.03715,76.03328,6669.62402,81.216,6.05439,54.296,3706.20038,1.98206,0.0,29.38319,0.0,,30.31082,1495.98443,1183.41182,78.40668,92.84296,0.19382,459.24347,86.75111,12.33927,1715.37988,54.25783,4094.64813,3402.94288,277.90561,171.40125,75.09981,51.16594,,499.10444,29.04459,13965.1377,77.93398,0.0,14996.61148,3920.44508,1492.72757,0.90909,,309.98686,2191.84952,20222.7426,1.79462,8308.16558
2019/03/01,10369.66352,0.53226,0.0609,2.75433,6.57781,5.44703,,559.89739,0.0,77.2613,0.0,2770.46819,11.7081,23.59874,162.25102,3.541,,,54.97155,155.52502,44.41215,105.96578,17663.05142,82.565,287.85251,54.296,3997.99293,6.61795,0.0,116.55914,0.0,,51.21621,6302.78815,1224.63304,145.23728,164.23096,0.41264,1148.1038,193.64507,52.44821,3993.48471,767.66408,24401.09789,8579.88206,1288.9082,340.68641,113.36333,371.20489,,1851.87693,87.88223,31905.25534,147.62627,0.0,35356.18506,4905.52884,4995.46221,1.90909,,28685.92954,53756.08815,38243.45493,1.79462,13264.53421
2019/04/01,22529.14513,0.87047,1.2609,2.75433,510.82406,6.10654,,615.16661,0.0,108.3576,0.0,4049.16575,61.26018,29.1168,713.10674,3.541,,,2435.99673,221.37911,44.96214,378.85644,35187.5524,82.565,428.96542,384.06079,6937.53996,16.71401,0.0,123.85201,0.0,,1603.65958,8570.83716,1232.1991,199.38565,233.0514,601.78154,2930.18594,2586.88328,72.10143,4674.49523,875.46224,27133.23085,11606.67515,1539.50868,484.82474,145.5864,639.26784,,2060.98368,116.15789,46635.75968,205.39183,0.005,37129.7411,4906.41122,5955.72133,2.97273,,34524.70448,77151.44625,149454.86373,2.64462,26422.71193
2019/05/01,27619.55036,1.13371,1.4609,22.17193,634.10706,649.21767,,798.44416,0.0,145.50023,0.0,4711.93067,66.7939,33.77881,923.73164,3.541,,,3207.77021,439.94349,44.96214,436.23238,43624.38261,82.565,690.23948,609.06079,9124.7464,1360.44517,0.29167,197.43142,0.0,,1626.89761,13136.60608,7428.9991,235.41072,371.12805,710.972,4115.72824,2803.6109,113.33392,9597.05667,1539.48386,29957.77665,13928.74943,9037.54024,730.52014,161.61343,813.01553,,3116.64044,288.58298,59534.7104,322.15764,0.005,39630.79845,5806.41122,8649.69012,4.0091,,34952.9416,419751.62204,165398.76752,17.6809,31814.53412
2019/06/01,32002.37001,1.25505,1.8494,22.17193,762.48934,716.81459,,820.59599,0.194,180.82803,0.0,5322.08345,72.18216,143.77686,1029.13418,3.541,,,3248.20328,475.92918,44.96214,448.19614,52630.12276,102.5346,796.30165,609.06079,11643.62541,1365.22691,0.39167,645.22091,0.0,,1718.86895,16029.69732,7539.27222,271.53993,399.81547,711.16246,5271.28701,5415.09374,170.57778,10099.49798,2484.86348,33463.15145,16575.67572,10303.20253,896.13486,172.24519,1020.9195,,4516.83015,383.56198,81718.90918,354.52596,0.005,44424.54689,5806.41122,11149.86573,5.04547,,35346.36927,423236.74879,180134.42164,17.6809,41791.51263
2019/07/01,33053.73062,1.35906,2.9394,22.17193,1041.73287,718.18126,,2373.44965,185.91314,366.02241,0.0,6296.77648,120.73559,158.19533,1141.10849,3.541,,,3344.87968,486.06871,45.14547,460.92958,59204.88129,102.86498,3299.40474,609.06079,14011.3057,1441.39381,0.55834,651.21761,0.0,,1755.91781,18460.19869,7539.27222,293.01303,480.25371,711.39459,7334.39717,5595.90965,183.1914,11799.46141,3151.49597,36682.23235,18087.63572,10650.1877,1210.5348,178.61019,1167.4246,,4682.59023,480.65156,91999.81476,387.51686,0.005,57122.43086,5809.74778,18863.32863,20.7559,,82188.17783,437194.45488,194167.47621,17.6809,80347.89011
2019/08/01,34642.24346,1.49196,5.80645,22.17193,1118.01841,720.97242,9470.81845,2438.73364,360.71829,378.02023,0.0,134731.92934,124.79294,263.27436,1212.22234,3.541,146.06994,400.51397,3497.04019,904.31194,150.71579,479.64429,94737.9513,1324.49831,3308.5585,609.06079,20302.08038,1474.51101,0.55834,656.21915,0.0,8.5,2159.59558,22329.71183,7713.38425,330.15437,547.70872,711.61951,12555.18523,5687.76572,202.71377,22776.25162,3607.08147,48802.91093,19746.32788,16386.79424,2645.04146,189.31999,1314.74569,33744.76634,4872.61546,703.28756,107005.18854,418.41141,0.005,62201.29368,5821.81778,25473.48284,22.84682,3090.04672,85483.75008,439279.60471,208820.93524,22.87051,118845.93012
2019/09/01,36239.08034,1.6133,24.9342,22.17193,1179.96095,721.84819,10289.051,2972.14207,360.71829,438.38709,0.0,135224.11953,133.82703,316.60361,1447.94811,3.541,166.33806,529.53035,3520.0341700000004,1150.30645,235.15744,505.72346,186332.57607,1324.4983100000002,3681.73697,609.06079,22818.32394,1481.33781,0.5583400000000001,660.91142,0.0,8.5,2187.85064,29870.00693,7716.02725,350.93724,3730.55657,711.61951,13499.44985,6162.63799,245.08667,23207.99084,4578.66074,52485.39968,21849.30947,16916.59966,2921.53444,195.68499,1486.18055,37983.20838,7842.8332,7294.69659,119882.98905,451.03594,0.34275,82586.13438999999,5823.20882,26629.47129,23.90137,3504.86853,86518.88855,440770.18737,217747.33957,24.06264,135569.17857
2019/10/01,38555.56206,1.73464,40.73981,22.17193,1240.50209,724.10272,11272.8451,3058.67277,360.71829,574.9244199999999,0.0,135767.2878,142.18475,385.86607,1648.08911,3.814,186.60618,563.70625,15605.67855,1153.90391,319.25835,573.1808900000001,207156.95836,1324.4983100000002,3687.7471,609.06079,23354.44855,1492.59798,496.05707,689.35145,0.0,8.5,2230.87677,65909.44086999999,7779.780030000001,377.43145,4860.07732,721.28414,14662.23108,6445.33255,284.02223999999995,30082.02614,6225.1203000000005,55387.7397,23589.01925,17124.22176,3859.83351,198.99404,1935.66884,41737.7123,8681.58411,7437.36868,132070.86781,481.81895,0.34275,91633.3545,6542.8389,27600.61609,24.95592,3966.29052,91843.6171,446734.47462,230251.56777,28.85464,138042.21553
