,a-bank,alpari bank,altbank,ap bank,asvio bank,b concord,b industrialbank,b lviv,bank 3/4,bank alliance,bank avangard,bank credit dnipro,bank familny,bank for investments and savings,bank grant,bank portal,bank trust-capital,bank ukrainian capital,bank vostok,bta bank,cb accordbank,cb globus,cb privatbank,citibank,clearing house,cominvestbank,credit agricole bank,credit europe bank,creditwest bank,crystalbank,deutsche bank dbu,eib,first investment bank,fuib,ibox bank,idea bank,iib,ing bank ukraine,kredobank,metabank,motor-bank,mtb bank,okci bank,oschadbank,otp bank,piraeus bank icb,pivdennyi bank,policombank,poltava-bank,pravex bank,procredit bank,radabank,raiffeisen bank,rws bank,seb corporate bank,sense bank,sky bank,tascombank,ukrainian bank for reconstruction and development,ukrconstinvestbank,ukreximbank,ukrgasbank,ukrsibbank,unex bank,universal bank
2019/01/01,907343.94351,226969.2349,233199.64952,314578.22538,448155.3221,292635.5908,,234497.97417,530206.45104,401044.11838,322213.44023,1045953.62215,185784.11075,543807.64603,550065.67492,210292.83873,,,710410.02647,349272.922,248513.0554,323672.31994,31462233.3963,2297694.32007,525614.22069,325042.18561,4201247.36672,336241.99491,398745.84885,272636.74077,365523.30912,,294202.79125,6317868.76504,230140.67817,718449.24972,348305.19594,4086936.33375,2038280.09358,272709.27466,310085.97715,688224.37082,205946.52319,18542714.66986,5254806.13519,607602.58428,2511581.1219,259957.16169,716137.99998,,2983983.70575,270014.81399,11622970.30281,212661.14786,538187.70857,5041087.72661,209495.89497,2121317.027,198065.1418,,8441247.27751,5756015.48052,6725328.4242,268641.83755,876823.643190001
2019/02/01,1084747.98659,225531.08197,235044.61553,316993.7592,448516.19396,295687.98876,,241471.64658,528216.99974,407390.84636,325516.62273,864716.66134,189813.04896,544853.30996,554621.6673,210989.2317,,,717837.99879,390608.12885,249414.33686,341628.2471,35195957.52935,2498848.9462,520981.56151,325472.47901,4341989.30568,347733.71986,403623.25786,273996.30131,376142.02058,,295899.94667,6627878.04619,229627.50413,745480.87888,353791.11892,4164202.40836,2067880.06107,274245.72258,313599.35849,691744.29782,206237.89721,18642024.53612,5502279.3637,613760.78588,2581736.23953,260048.91075,725345.954,,3022876.72204,271808.8656,12161165.88414,216530.11914,546659.01499,5269538.49773,217057.23168,2159407.69762,198553.09532,,8824020.45143,5903056.7182,6942519.13733,268689.16383,867809.211510001
2019/03/01,1083288.75409,224740.43429,235062.19929,319640.23793,449581.67409,299400.07243,,242308.00926,514687.26562,411866.69692,327174.61665,860468.80208,190884.99259,544906.71843,557686.30336,211179.32828,,,727160.47912,390424.27878,250344.529,347038.63037,37768697.85502,2625103.59081,537093.1331,325712.56683,4477283.85554,346729.82448,406374.59773,273879.14692,380541.34907,,297224.50523,6856932.43697,230309.98126,771152.23274,359324.01192,4248963.89185,2076374.24935,278229.53391,316009.38851,691821.49911,206294.93986,18467157.47645,5731333.84819,616496.57591,2589700.66763,260198.47749,732859.85915,,3048907.49903,273397.34632,12303638.19122,209823.71404,553074.32969,5435996.86052,216737.67817,2163651.27349,198712.70162,,8866040.91586,5894707.40051,7150179.46466,267702.56825,937631.646490001
2019/04/01,1006760.09256,223371.16842,235108.68503,325803.40665,449472.93627,299680.56563,,235508.93316,537083.77756,419668.1682,325536.71271,937389.44634,191505.09567,545147.75633,563638.98143,211248.34925,,,733766.21499,353343.86475,244105.69566,344659.92281,38837847.12435,2804463.76516,553208.18239,325325.71957,4655692.83802,344057.42649,409870.19798,274714.67673,380633.80465,,296622.98019,7107179.44652,230425.57415,627973.24815,364153.11673,4327007.85818,2110338.09191,282696.25488,317539.10103,695682.03996,206338.27205,18659366.40363,6035619.37107,619047.770099999,2596041.12259,260809.25024,700231.93887,,3093533.51507,275563.83663,12721251.59051,207643.07245,557898.84644,5570119.43521,214856.21141,2163391.59686,199017.57699,,8718341.63512,5893277.96396,7348255.46673,268707.41535,996205.37491
2019/05/01,801658.67854,220553.07545,235746.09288,326991.8623,449521.5278,299797.40132,,235315.92052,560916.22853,422310.24642,356217.98268,980733.5423,192720.9658,545370.62722,567268.42583,212501.86962,,,742869.64121,353330.59758,247825.07011,324427.52416,29796664.36895,1631376.21606,555002.89024,325221.70484,4759815.79915,364940.16712,413297.53084,275029.2207,385563.11833,,305194.30837,7297255.21993,230426.93178,665201.49767,369630.11589,3893665.39377,2138146.2063,284414.82492,319128.16078,677602.77387,206354.21119,18722148.40965,6114256.42378,623796.72946,2618283.51322,261481.71369,709126.0258,,3161561.67276,277775.29427,13104675.72566,385035.43237,563243.51627,5715123.20687,217405.179,2200433.98219,198152.53105,,8306745.3178,5816071.21483,4960700.21822,268006.05005,1013745.17958
2019/06/01,837417.9503,219347.23239,236532.41426,327949.13837,415014.97582,230325.0784,,236096.93619,506006.19163,426403.63341,355034.19506,952016.8523,195279.47208,547535.37535,537937.7692,212312.32916,,,751404.78718,354891.39702,251461.62808,329078.73855,32860638.89941,1823192.3757,563080.50136,308239.29485,4066444.02018,356765.53845,416808.78873,280205.59753,352433.98279,,305299.2938,7457713.48398,230513.77925,691725.86253,375244.62508,3951304.44761,2208006.66939,288159.75385,321295.46713,693274.53028,206389.7948,18824396.52875,6359649.68017,626651.56995,2649955.86347,261039.96081,718196.93776,,3233561.71768,281503.14763,10051822.97284,338131.83881,568658.49591,5824801.56674,202021.04572,2214868.95201,198723.64741,,8563203.5781,6046278.76989,5412195.32517,265039.37278,1047111.29246
2019/07/01,829966.65559,216553.10751,236705.49068,329524.81259,450013.9908,231999.94265,,237665.16897,496988.26826,426820.56178,328548.8409,1073766.40059,197315.67085,541409.65825,541641.42434,214419.8451,,,760117.85886,359959.43949,252350.71351,322473.00984,37904900.38746,2007769.44472,540099.29702,305484.2665,4209213.19713,361430.06426,420918.88499,278332.20956,353311.46461,,297299.26512,7620513.12622,230570.11902,717834.97234,381097.67165,3942437.68455,2250503.04085,289937.54109,322749.04013,715578.28619,206413.88055,18204336.60807,6532163.86429,627481.67286,2664213.57826,260924.7086,728283.95798,,3304981.37935,285024.90487,10481935.34768,316731.51717,574532.45473,5953709.56969,170612.82187,2250245.20166,198493.50661,,8078166.71831999,6031545.17546,5656066.62185,263986.5705,1136482.73355
2019/08/01,854153.59918,216216.57631,237348.66129,333028.54052,451579.99602,233418.95475,1288092.64136,240093.69767,506283.8226,430947.35397,327915.60542,1084566.68038,196488.76608,546536.46488,546066.79929,215398.00499,240611.0109,250061.82407,779810.80998,358100.97342,255439.45607,337256.04074,40772094.58806,2218186.21406,549577.97096,305615.78659,4429547.92992,378341.27941,413801.97583,277810.07854,360425.29862,247220.33779,298566.40073,7913690.3984,230631.48474,760921.77181,386971.50159,4008724.46002,2305687.76685,294774.60797,325412.66439,724642.47322,206453.99263,18441701.35828,6735941.43329,631592.2407,2712177.16639,261207.21268,739371.79424,1976581.92118,3381657.42971,290997.04546,10956376.73827,322545.08664,580687.17421,6175184.75737,165587.37015,2322308.69961,197996.11572,223154.66282,8630671.63555999,6174154.42376,5900383.42075,262478.21133,1547788.92405
2019/09/01,896682.17611,213724.11979,238143.28071,338286.07137,452163.5707,241144.48004,1292187.7854300002,304785.1069,507230.41848000005,439267.07628,330699.89625,1079812.69356,198863.2277,548696.2202900001,551161.3352099999,215219.34498,240941.05637,250405.44634,812180.90925,358090.28467,259289.58572,333207.86269000004,45480521.3953,2412629.96313,548126.74289,302321.19152,4609421.98537,383176.11747,415531.43304,278524.20341,365414.64869,263053.24031,307851.99253000005,8160310.45583,230676.96202,793971.35716,392902.73773,4047275.83897,2348736.36275,299809.61198,327526.07595,727621.83393,206504.25552,18656712.92728,7016867.65874,634950.0007699999,2733027.17088,261140.28874,749099.22571,1968619.88751,3438896.26391,297172.65597,11295329.65632,298746.04652,587589.1457100001,6330247.96488,161937.06253,2420718.2015,197680.30518,223264.33138,8915823.84876,6273325.40699,6177286.76377,261979.46886,1607059.67736
2019/10/01,913647.39823,213495.2786,238195.9354,341484.48465,452332.55232,246868.21213,1289903.65792,351851.66543000005,507717.02621,449616.92186,332057.45818,1059475.41561,201209.82229,550844.79648,556678.3116799999,214865.82621,239853.11643,257430.39618,832966.3726799999,360134.68717,262025.98159,333804.1812,47195457.54843,2618636.32539,556198.05596,302946.28293,4741005.40239,388892.48612,419787.07511,281426.96371,367499.1759,246980.81493,317107.94072,8414840.2544,230729.39986,834403.7028,398834.79756,4107943.86941,2384409.03234,303640.11284,329742.26631,739118.3787700001,206528.64609,18749806.13233,7290013.87624,635853.79234,2765914.63879,263780.30017,759954.3637,1956934.94105,3514842.7679000003,302992.38626,11674412.3614,292831.51833,592541.82824,6531158.361,167992.60433,2456600.93593,197184.72843,223636.10651,9977015.2623,6418741.629600001,6271489.17988,262597.93580000004,1678194.2594100002
