,SCTA
01/2019,
02/2019,
04/2019,
05/2019,
06/2019,
07/2019,
08/2019,0.00027378310430453353
10/2019,0.0006142359545828837
11/2019,-0.001826361176466039
12/2019,0.0027808188248788345
01/2020,-0.0007292186813645744
02/2020,-0.0018667375383100153
03/2020,0.00013438428155700078
04/2020,0.0015830578948632281
05/2020,-0.0007844518828981008
06/2020,0.000890920203321276
07/2020,-0.0005212855513074039
09/2020,-0.0021606076371399334
10/2020,-0.0017180278618109598
11/2020,0.0023023124120156732
01/2021,0.0006010533602825677
02/2021,0.00038033326791637155
03/2021,0.0033752441718375905
04/2021,0.003850469221193468
05/2021,-0.003281407716805095
07/2021,-0.000556615454420098
08/2021,0.0016453321238348718
09/2021,0.0012312277129437293
10/2021,-0.0013303976577735044
11/2021,0.0017554572280296592
01/2022,0.0025165650112783863
02/2022,-0.0012986185631834446
05/2022,0.0007788914844710948
06/2022,-0.0027817933270094363
07/2022,-0.0022666667246872465
08/2022,-0.0016043729170976827
09/2022,0.0035263822010338642
10/2022,-0.0006470836746573603
11/2022,-0.00048152147515100096
12/2022,-0.0017427891504792352
01/2023,0.0022310419748666783
02/2023,0.0007845091748960443
03/2023,-0.0005665085660576003
04/2023,-0.0011121181157007522
05/2023,0.0009522280194267368
06/2023,
07/2023,
08/2023,
10/2023,
01/2024,
02/2024,
