,CDR
01/2019,
02/2019,
04/2019,
05/2019,
06/2019,
07/2019,
08/2019,0.0033872058000906473
10/2019,-0.0006803760371050689
11/2019,0.02277362620973952
12/2019,0.0035857332310678955
01/2020,-0.007733323337676557
02/2020,-0.0016623460201171756
03/2020,0.012548923290436472
04/2020,0.0036310831748371164
05/2020,-0.010610499165466625
06/2020,-0.0006169890589830607
07/2020,-0.009022755044741471
09/2020,-0.013373181865139278
10/2020,-0.01274101207865454
11/2020,-0.019810787848782808
01/2021,-0.01684353845252332
02/2021,-0.007134232695354319
03/2021,-0.005056628100144945
04/2021,-0.008505035925943769
05/2021,-0.015613257562933329
07/2021,-0.008507425072889159
08/2021,0.009503594986437446
09/2021,0.015476273056434724
10/2021,0.02330000016916268
11/2021,0.032052186695251034
01/2022,0.026713230752293076
02/2022,0.05185115826165383
05/2022,0.005205841255356138
06/2022,0.0017519249836994441
07/2022,0.010993376957234523
08/2022,0.008370807465473964
09/2022,0.0012677597919098793
10/2022,0.0030797674174650657
11/2022,-0.0006896703015577995
12/2022,-0.01665585847803864
01/2023,-0.01607381960500819
02/2023,-0.02047557931069874
03/2023,-0.01975485711451182
04/2023,-0.033755427016548586
05/2023,-0.013531361653354976
06/2023,
07/2023,
08/2023,
10/2023,
01/2024,
02/2024,
