,NIM
01/2019,
02/2019,
04/2019,
05/2019,
06/2019,
07/2019,
08/2019,-0.00017746504752845453
10/2019,0.0002166762890510646
11/2019,8.48185474201994e-05
12/2019,3.273125032594618e-05
01/2020,9.617215090049772e-05
02/2020,8.95643458300179e-05
03/2020,-0.00018294846510938763
04/2020,-0.0002015340238312947
05/2020,-0.00026859813164599466
06/2020,-0.00024468047058118523
07/2020,-0.00023054167954337701
09/2020,-5.817511987893587e-05
10/2020,-8.772908446881287e-05
11/2020,0.0001261138873435972
01/2021,0.00020881757875117852
02/2021,-9.794858683948658e-05
03/2021,3.572456576237667e-05
04/2021,6.281759563316641e-05
05/2021,-0.0001284052491257836
07/2021,-1.5479158255832096e-05
08/2021,-5.2414230419383094e-05
09/2021,-7.167029660011445e-05
10/2021,-0.00011398846753607236
11/2021,0.00033863214257820294
01/2022,0.0002924601745379836
02/2022,-0.00017663472127415648
05/2022,-0.00032928041345168775
06/2022,5.120665820572995e-05
07/2022,-0.00014590739497068482
08/2022,-0.00016639261977099477
09/2022,0.0002973430359273608
10/2022,0.00020300250377931636
11/2022,0.00030700168375756727
12/2022,0.00030234008887348925
01/2023,0.00033051946877163895
02/2023,-0.0002944677010070775
03/2023,-4.59469469511301e-05
04/2023,-0.00018483635953091924
05/2023,1.6963382869895978e-05
06/2023,
07/2023,
08/2023,
10/2023,
01/2024,
02/2024,
