,CR
01/2019,
02/2019,
04/2019,
05/2019,
06/2019,
07/2019,
08/2019,0.0008760302338255734
10/2019,0.006243574451752432
11/2019,0.0025538341449782183
12/2019,-0.0007054488165626491
01/2020,0.008421887700382286
02/2020,0.007711798568009741
03/2020,-0.0021554023138109883
04/2020,0.0034961875917349037
05/2020,0.01987858588847491
06/2020,0.016185110429473848
07/2020,0.02313689367354867
09/2020,0.02045004596527757
10/2020,0.004916199839728162
11/2020,-0.004422782974823802
01/2021,-0.015252898428954175
02/2021,-0.007306973138324958
03/2021,-0.0015603065162098464
04/2021,0.0015918798890642285
05/2021,0.005222385314322526
07/2021,-0.0018169672599132238
08/2021,-0.009939159834141233
09/2021,-0.02078015945504702
10/2021,-0.02353120251878286
11/2021,-0.0225899498664278
01/2022,-0.017364069554411745
02/2022,-0.022755162731002598
05/2022,-0.008189515994146756
06/2022,0.008057444969055694
07/2022,-0.006816558170004355
08/2022,-0.009258655442905883
09/2022,-0.0030219599863434525
10/2022,-0.001634197317653593
11/2022,-0.009894403040165591
12/2022,0.00464007203974126
01/2023,0.0004393318594022762
02/2023,0.0021849269153183144
03/2023,0.011631870166415457
04/2023,0.020994401939631414
05/2023,0.02094861096368016
06/2023,
07/2023,
08/2023,
10/2023,
01/2024,
02/2024,
