,NIA
01/2019,
02/2019,
04/2019,
05/2019,
06/2019,
07/2019,
08/2019,0.0012638564599761742
10/2019,0.003752730433595892
11/2019,0.02354530464033841
12/2019,0.003362939959737618
01/2020,-0.013991185336781198
02/2020,-0.0013453060516080244
03/2020,-0.0018367268947603321
04/2020,-0.0026058358995453453
05/2020,-0.0015650868235043578
06/2020,0.0018615078184309045
07/2020,0.0004852330192301642
09/2020,-0.005487495445782923
10/2020,-0.003565527281535417
11/2020,-0.0027336567879212128
01/2021,-0.012936823773100299
02/2021,0.00943280583062497
03/2021,0.030944011831412502
04/2021,0.005051322450779345
05/2021,-0.019328846550840002
07/2021,0.005754613274365317
08/2021,-0.004676745801543787
09/2021,-0.0014544331446201457
10/2021,0.004329764960333519
11/2021,0.013756601800896365
01/2022,3.0790883595194565e-05
02/2022,-7.627749296152796e-05
05/2022,-0.018220588820525373
06/2022,-0.010345179811746137
07/2022,-0.01450226051601485
08/2022,-0.001255450420554867
09/2022,0.023616139424216788
10/2022,-0.0006982113962035168
11/2022,0.008692398603664598
12/2022,0.002043491304805696
01/2023,-0.00236443200094723
02/2023,-0.005818540376496988
03/2023,0.005538301242785988
04/2023,0.002324625152108784
05/2023,0.010879529258109205
06/2023,
07/2023,
08/2023,
10/2023,
01/2024,
02/2024,
