,pivdennyi bank,fuib,ukrsibbank,credit agricole bank,universal bank,otp bank,raiffeisen bank,cb privatbank,oschadbank,kredobank,sense bank,CR
01/2019,0.0954798439832257,0.2991040419395234,0.0726877472891093,0.1044362693537102,0.0908201085930643,0.149451943281254,0.0706400528854919,0.9558589887833818,0.6373672976089314,0.0810058624962812,0.1690592451572158,0.0021925831586871586
02/2019,0.0891572662309413,0.2849822621663295,0.0757441128583402,0.1014563553944775,0.0872425324115254,0.147016995464545,0.0733441493066462,0.9552117751401548,0.6226299331447324,0.0688687442248668,0.1741507893964135,-0.0012152770932266216
04/2019,0.0751365131951942,0.2284863989809692,0.0711974861453206,0.0960017147025319,0.088583122846486,0.1236089627056238,0.0691360273858186,0.949124582923532,0.6084573056174968,0.0364827833052776,0.3282095359859816,-0.0007414616859430373
05/2019,0.068079578526045,0.2204073216900589,0.0622219453758275,0.096379406700677,0.0910698818047347,0.1175630848292852,0.0699713684830462,0.9486779192853628,0.6122899125092741,0.0698743894683913,0.259503268173975,-0.00012027980294364304
06/2019,0.065452593392559,0.2218771912153559,0.0692901647639007,0.0831346111923488,0.091067057680413,0.1144706442283878,0.0667026114431268,0.9467010612946584,0.600415292213501,0.0706866426660568,0.2757029335422177,-0.0029947516644240474
07/2019,0.0637070698199437,0.1951287205566999,0.0621546097605964,0.0886005936996958,0.1076349939759756,0.1136231238477121,0.0672011794800401,0.9480678694967288,0.6156684612808452,0.076264259542493,0.2644433102934196,0.009457677489381464
08/2019,0.0622917809693506,0.193701351640892,0.0613775213109687,0.0743594697660443,0.10375878922081,0.1183521067147806,0.0655268634668037,0.9474993100094254,0.5915259135446288,0.0742133620018993,0.2598501313599631,0.006677979205302595
10/2019,0.0847348020069685,0.1948343172327311,0.0633302980021303,0.0625533884748589,0.0772597322411317,0.1102272745084247,0.0759061784818287,0.9464651328188004,0.5799719879176137,0.0761569904019213,0.3019915801753595,-0.012983970713855791
11/2019,0.0934016787225066,0.1888174907412557,0.0613982048614047,0.0586989728491134,0.0782730391669108,0.10654641917644,0.073537701221939,0.9442969102600132,0.5783169381515654,0.076961546981049,0.2508831122963015,-0.002675530661436165
12/2019,0.0984324133659725,0.164485667177358,0.0109581935472209,0.0639313973170821,0.0664150214100007,0.0981323823864612,0.0680482471592547,0.9443438977594872,0.5683278101297323,0.0756004561681101,0.2362393355229776,-0.0010153448616609245
01/2020,0.1003241726611375,0.1673621067047817,0.0115018901711546,0.0645887408933253,0.0657997660256157,0.1070583853689474,0.063964507351066,0.9469535450470332,0.5750129784605879,0.0789416531211408,0.2430802324506386,0.005352516592370314
02/2020,0.0955453747843664,0.1680772673880556,0.0116429041406714,0.0642678105100853,0.0625408658734104,0.1053027096073288,0.0655490365742926,0.9454585474947784,0.5736777380008286,0.0838417911887963,0.2304899504231613,0.0015437365108904103
03/2020,0.0927485004875043,0.1807876471121138,0.0076040113365633,0.0584359191215893,0.0614075900324953,0.1069085211701063,0.0604593255210598,0.943843155073633,0.582331490571803,0.0816609045987681,0.2263526792611884,-0.0009937521819879044
04/2020,0.0957236133995554,0.1784391745616267,0.0100436404800401,0.0599559440686502,0.0648862924965239,0.1113398683379097,0.0607315344320908,0.945380978140714,0.579951404840906,0.0740169357150619,0.225178271987511,-0.0025942954874979413
05/2020,0.0948326021737963,0.1973626143148263,0.010799844162897,0.073113987207031,0.0645572393004129,0.1191830984048584,0.0624492259970599,0.9463648897015444,0.5854882146454046,0.0733937876217515,0.225593454632039,-0.0026737125728784478
06/2020,0.0803256690783296,0.1870611224640764,0.0130016120570795,0.0709442405992757,0.0627883732992111,0.1293999701073446,0.0633625163715832,0.9466548397620138,0.4818110255361011,0.0690725101349336,0.2134249624493746,0.0022830212035955463
07/2020,0.0822641471991072,0.1890283223269777,0.0133116246535035,0.0626841198149551,0.0599545876636272,0.1262353235316538,0.0638787269521447,0.9491321165493112,0.5114244608482466,0.0681100144250796,0.2157150515877847,0.005977598258765655
