,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank,OE
05/2020,0.0022657762518082,0.0035095086830781,0.0053492197808145,0.0058678198591218,0.0027821905889407,0.003567061967062,0.0056008299556592,0.0041342740458347,0.0053025119942831,0.0049777140368016,0.0090791101687274,-0.0006045344823218321
06/2020,0.0021803296268254,0.0036788785871152,0.0052277913077328,0.0051770421220802,0.0050143734187823,0.0030284661983073,0.0053841555965584,0.0043733108947283,0.0053612161078239,0.0051137531261342,0.0099377227611795,0.00047974378755252095
07/2020,0.0021906036264502,0.0033836876801033,0.0048871291269938,0.0052369447937799,0.0035662828540087,0.002994682664163,0.0065794122113711,0.004895853104559,0.0047510163906912,0.0044284584386696,0.0098242160957898,0.0006427863869661772
09/2020,0.0024855689287423,0.0035265006225413,0.0047379217277602,0.0049477480852159,0.0039449637573254,0.0029324048394787,0.0063486669199656,0.0045253308989922,0.0052106083983617,0.0045500831470017,0.0088670197006394,-3.403568846495862e-05
10/2020,0.0027874337903667,0.0033303178408334,0.0053848078474587,0.0049994790228218,0.004675877094867,0.0030306023630981,0.0057569774957248,0.0045266839322804,0.0050269641600004,0.0043072686035831,0.0090016717228682,0.00036377375662749976
11/2020,0.0025908919932146,0.0030124201718154,0.0057151646504741,0.0051961013039634,0.0041332994029624,0.0031455053800315,0.0056260892849039,0.0049813629057301,0.0056063810185826,0.0047140132648436,0.0087495928229314,0.00036413995310269516
01/2021,0.0020680509399576,0.0031715582684656,0.0047257564911734,0.0040015876698826,0.0029785712987374,0.0029977756756204,0.0044855329631222,0.0038051816813953,0.0043087024516106,0.0043733447540453,0.0067424647699159,-0.0014290986935864298
02/2021,0.002468024048031,0.0031604675520295,0.0047018675834663,0.0043395039385572,0.0036479988963597,0.0029810795330076,0.0044152931188879,0.004258626512748,0.0048547813432602,0.0043640523615733,0.0074017503302968,-0.000601707523431934
03/2021,0.002819180250426,0.0032085577049935,0.004753609645018,0.0047941128700449,0.0035252092734051,0.0030833194346584,0.0044846444569871,0.0047057371136436,0.0047855257605213,0.0063553639101715,0.0079855529081559,-4.6465275606288534e-05
04/2021,0.0028890731568209,0.0033887555618989,0.0047912991802041,0.004625650928619,0.0034381147649732,0.0031584520598872,0.0042175117500992,0.0044392344099345,0.0048705481013109,0.004540411489089,0.0092685539396805,0.0009841391273157276
05/2021,0.0028937955853798,0.0031583227934391,0.0048395045100292,0.0045000164960686,0.0034849447732055,0.0028963305341586,0.0050920998776458,0.004329055534992,0.0045655495080781,0.0042721531094702,0.0094470245493204,0.0007459644914468867
07/2021,0.0027973365916086,0.0031127604803289,0.0042318827762616,0.0044463224097164,0.0035362439199656,0.0031592407569077,0.003704759574094,0.0045139961031566,0.0046294323200304,0.004592183153031,0.0084343248310407,-0.0008996822508385276
08/2021,0.0025161824295814,0.003207441730591,0.0044816165964416,0.0041359258360146,0.0034664626185917,0.0030527591962843,0.0044057343225034,0.0046013299867084,0.0045958283750869,0.0044928606841189,0.0092595672955769,-0.00038469175633724755
09/2021,0.0028157222070193,0.0033412064520591,0.0042749883294923,0.0044078566107947,0.003702442814867,0.0033952871538937,0.003878089658555,0.0045566889517394,0.0060002748917453,0.0045103688462544,0.0102023456238218,0.0006118003010552233
10/2021,0.0031094452156982,0.0029980177859765,0.004929249776985,0.0044360306311204,0.0041482694681025,0.0032427627995154,0.0039513175103518,0.0042971614933364,0.005110407723875,0.0042045658043984,0.0094055038587648,-7.534857633782754e-05
11/2021,0.0030681595822045,0.0031866237607961,0.0046013315270063,0.0044018849404523,0.0041135625164695,0.0033359238995412,0.0050134851631,0.0047457267088755,0.005461878968916,0.0043065502283474,0.0098548268118627,0.0006804039835868175
01/2022,0.0022824161300108,0.0027539930368375,0.0041384591610057,0.0037837560222257,0.0035790119872425,0.0026106973951901,0.0035781813987488,0.0043287676754492,0.0046896784937582,0.0044429063433062,0.0090483605184692,0.00032821184149036363
02/2022,0.0030299307721554,0.0028602562880433,0.0047319445947985,0.0038052425239713,0.003871564394498,0.0024828147423526,0.0057456574750049,0.0042787356994766,0.0055812359111828,0.0039807115530996,0.0093281509868319,0.0012008028562593108
05/2022,0.0023868460102267,0.0026113786009045,0.003618855262263,0.0034555155838666,0.0040395835061247,0.0021541949574004,0.0032910782124412,0.0037538364380255,0.0054632341489995,0.003936489442821,0.0043300854637368,-0.0029181305736042107
06/2022,0.0033520248580126,0.0031224702606415,0.0031894620165888,0.0035585715224013,0.0047099135733714,0.0022012821906653,0.0036689897910415,0.0044038255739206,0.0047734157322336,0.0044002364569748,0.0050863367877746,-0.0009937671582520048
07/2022,0.0015610036854883,0.002398446959861,0.0034593945765424,0.0042456382588924,0.0059385124588394,0.0021930272927969,0.0034692302053303,0.0034522861081784,0.004320409528265,0.0034225201386038,0.0055653949904755,-7.583007512403529e-05
08/2022,0.0022649875486476,0.0023931434267571,0.0033281434493024,0.0036650656355306,0.0040450933333495,0.0025063000721463,0.003862480995833,0.0036349269023725,0.0053614927027842,0.0034121596674624,0.0048405621447972,-0.0011532474419888626
09/2022,0.0027186327974744,0.0025953239523309,0.0036334569376632,0.0034992179515262,0.0040442427735918,0.0025013460881311,0.0046123424695309,0.0043139569228005,0.0082221022187798,0.0037072796843731,0.0115668216518905,0.004926909096807702
10/2022,0.0027911959261668,0.0023745528411882,0.0033637181173982,0.0032695510307822,0.0050111977945801,0.0022464273695928,0.0031049356473177,0.0036511592214983,0.0069454659947213,0.0036241784491178,0.0080536093104194,0.00020411091881800993
11/2022,0.0027721251623865,0.0022159807128321,0.0034594463406718,0.0032701841478653,0.0039239535600581,0.0022821704778824,0.0032467794125371,0.0036001854121372,0.0061687266354292,0.0042652736724318,0.0079202656305682,-0.0005416011389493269
12/2022,0.0043624125990175,0.0024238314046434,0.0047722486286971,0.0047051084590616,0.0063558338354844,0.0027381841605857,0.0042407403708962,0.0051915757231444,0.0141877941353983,0.0059553245939242,0.0060361630048476,-0.00233842348486156
01/2023,0.0018675408485617,0.002449606931177,0.0037952769195568,0.0028377696815493,0.00303024438502,0.001908197659546,0.0034562729712564,0.0034524500972987,0.0055881539252106,0.0040593168349308,0.0080776878920736,-0.00030199514828790734
02/2023,0.0021640615679027,0.0021982050942442,0.0037959995582422,0.0027965216164405,0.0036755931889715,0.0022688486075368,0.0030166747095811,0.003622527752883,0.0067246260098135,0.0039275537427867,0.0090156640907756,0.0008288345281828504
03/2023,0.0026757521676167,0.0022916995868083,0.0040023860354978,0.0033003237889254,0.0047521410080241,0.0025578221530339,0.0034598582294539,0.0040014958219498,0.0066185026027232,0.0047941671258332,0.0087084226537942,0.0005253719235903398
04/2023,0.0027296154887699,0.0021942646266936,0.0040029035269944,0.0030569777894113,0.0044352428306298,0.0019510011000119,0.0030908138248451,0.0037134274185304,0.0063973938771962,0.003636413434424,0.0080022685883937,-0.00045796977770440686
05/2023,0.002459894502038,0.002132759449408,0.0037615746292578,0.0030625774008959,0.0037294242719533,0.0023466632995873,0.0030327931804752,0.0043875673206686,0.0078375418007047,0.0033125318512223,0.0081860925253014,-0.0004124531984783259
06/2023,0.0030539519017864,0.0021847906434083,0.0039015331165028,0.0028839646404906,0.0037157322218476,0.0021997952592012,0.004320074084981,0.0037703830250653,0.0034828914051797,0.0037179522940996,0.0100251188534564,0.0013226560840318546
07/2023,0.0023445830792197,0.002268338319951,0.0041348606697885,0.0029665527953311,0.0035792895824723,0.00235215692998,0.0031303844152149,0.0036009422106598,0.005925494902366,0.0033882306270649,0.0077499527526566,-0.000861020529533049
08/2023,0.0025394941002617,0.0021732893949298,0.004148151739082,0.0029308018860157,0.0035219353717005,0.0024108567731112,0.0029705983012053,0.003538897045946,0.0050584377460131,0.003035008001013,0.0082663958246162,1.2936956784771053e-05
10/2023,0.0023288113902795,0.0021765578783139,0.0046193430913182,0.0034192011577875,0.0037996746383912,0.003545524165621,0.0037740356579962,0.0041551501977122,0.0044163853294831,0.0035002405673862,0.0078588079030507,7.627262140698018e-05
01/2024,0.0020400784378355,0.0017988149073505,0.0040161216783788,0.0025530038152964,0.0037239733847134,0.0020122160213439,0.0031677878922834,0.0034274171227374,0.0035797952429644,0.003382722732801,0.0067476831696618,-0.0003855559102875763
02/2024,0.0021752178807842,0.0018154804485301,0.0038717295560981,0.0028900970428181,0.0041275269155422,0.0022575163283847,0.0035427957525161,0.0038822975853103,0.0039910893623985,0.0033112536464943,0.0069176710062204,0.00017911052915303618
