,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank,OE
01/2019,0.0014632119054004,0.0036662832028662,0.0051986342345953,0.0051793213185004,0.0020155037163691,0.0037761097102296,0.0036851005591891,0.0051087545247757,0.0047053506435387,0.0048648214874422,0.0090577194334848,-0.0003099792602660953
02/2019,0.0017662405890881,0.0035956646123607,0.0050941311450719,0.0057484236470692,0.0073354052173964,0.0037031848757644,0.0042879256302491,0.0053516735278618,0.0074732566434254,0.0048467785216074,0.0089950512510969,-0.0006898740300509357
04/2019,0.0020567500593576,0.0037586418370401,0.0060597555825482,0.0052022345883816,0.0033594450493009,0.0040194920368026,0.0060129798803546,0.0052419383787214,0.005896959259456,0.005097304630516,0.0101805942554344,0.0002987885441858521
05/2019,0.0022414015556123,0.003791106463858,0.0055722198617546,0.0050851590740976,0.002696130633843,0.004130660252448,0.0063884709756604,0.0053550504621574,0.005861821256685,0.0057387181078055,0.0094320626182273,-0.0004615237524605003
06/2019,0.0021620091374564,0.0038058968708472,0.0053789474872907,0.0058566972492136,0.0028210771984739,0.0038674218220441,0.0048582213511159,0.0045650974810632,0.0056547729938745,0.0053798011975279,0.0114458634762503,0.00142406010822951
07/2019,0.0020424437497785,0.0040340928532525,0.0054593340410366,0.0056386226648654,0.0028922830533436,0.0036110270804342,0.0048609044323327,0.0052783309249773,0.0056254011206854,0.0054849981638186,0.010246844297809,5.970210252364411e-05
08/2019,0.0021230529906034,0.0035433865014056,0.005321581845756,0.0057230682699876,0.0026695811270401,0.0037130268719426,0.0053641386338198,0.0057098414539373,0.006263334988457,0.0049735181253641,0.0111933950973981,0.0008595451231346463
10/2019,0.0021721535524837,0.003489820441678,0.0059124349611235,0.0059624985830561,0.0031027302370289,0.0036708473983337,0.0058528799440687,0.0059188230180218,0.0053874427678708,0.0054382595534253,0.0098926520173353,-0.0005999734815746779
11/2019,0.0022527994619399,0.0037182999390338,0.0062251773011479,0.0062914586942156,0.0032637019484421,0.0040591872401583,0.0057824852230569,0.0055586609092993,0.0068938079004234,0.0058706867063962,0.0089695545065318,-0.001659780193697927
12/2019,0.0047045885817335,0.0039887350920715,0.0085618663500362,0.0071741116907921,0.0034163024564551,0.0050842114279093,0.0084206921614324,0.005419677560244,0.0117709703642447,0.0097138164857507,0.0109604475367295,0.00022177517835297
01/2020,0.0017706802409661,0.0039912545645131,0.0056225732756348,0.0049056257970887,0.0024848717588741,0.0032186450806271,0.0047080641916567,0.0048126529232408,0.0053120276736136,0.0057591195364957,0.0113353037651768,0.0006015472897350892
02/2020,0.0024715431081694,0.0037904577201125,0.0055157269237786,0.0052889685982523,0.0027919507310389,0.0034028109725011,0.0062460528966308,0.0051017280735631,0.0055698185426784,0.0055333052848351,0.0102235609291891,-0.00037088699186596
03/2020,0.0025946188485322,0.003739961940951,0.0052361347893939,0.0055717198182814,0.0030798156960457,0.0033909282222029,0.0058117381472889,0.0049883857395838,0.0054842745220844,0.0067237088672812,0.0113533855118039,0.0009971348057220275
04/2020,0.0023563373790001,0.0037954336491192,0.0050059528344645,0.0057590392716126,0.0028633113100817,0.0036269587518585,0.0058264894663108,0.0054977842595028,0.0058505165497202,0.0053541784819845,0.0092649272861635,-0.0007217711181629442
