,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank,NIM
01/2019,0.0032408215043413,0.005587058156477,0.0064173220196206,0.0071453151613874,0.0026018020856567,0.0080642648847952,0.0046384049956241,0.0077888829318315,0.0052607689117166,0.0072177231879994,0.0057070144683182,8.94763973360805e-05
02/2019,0.0027702017020015,0.0051859746588231,0.0073294643169042,0.0065597811296076,0.0060542070682191,0.0073039570264164,0.0044030940264307,0.006983996880222,0.0046274595108542,0.0062920748124268,0.0052246408335351,-0.0005415965626368036
04/2019,0.0030694098662921,0.0053039781208463,0.0071432351294324,0.0062748891311655,0.0017624854727444,0.0072194379614361,0.0033859347034819,0.0070442167585132,0.0044797181609583,0.0067381861984259,0.0061087639383038,0.00011581218161533288
05/2019,0.0032916955172445,0.0052172773445914,0.0070607671657917,0.006199220268766,0.0015338236146877,0.0075183694876536,0.0041428631783426,0.0077691340011531,0.0046401101834873,0.007202407602595,0.0066071302768303,0.00034556710228767634
06/2019,0.0030943230004551,0.0046620543296106,0.0070530924457829,0.006878516491259,0.001417700580523,0.0068053295787248,0.0032993250651178,0.0068594382437855,0.0046703947994209,0.0062770022716095,0.0067420433282442,1.775343239571788e-05
07/2019,0.0031610886042733,0.0050739066573652,0.0080850139294583,0.0070768222623532,0.0016188754380334,0.006854317431566,0.0039307846036716,0.0073565691445848,0.0043713127934147,0.0065470173405113,0.0072453685076813,-0.0001272596638469698
08/2019,0.0030923575162818,0.004861203246201,0.0077487780202916,0.0072461357008693,0.0011694094831011,0.0065541562020745,0.0036079905358765,0.0074508545764046,0.0043713869373225,0.0062345674841476,0.0077834258272461,1.6846721881388915e-05
10/2019,0.0030575933637061,0.0053001721718265,0.0082629247505676,0.0068676415895408,0.0015821365779343,0.0069554159676816,0.0032363938165302,0.0073015633366025,0.0038354974845454,0.0060218584414837,0.0081505174761987,0.00025344286155103493
11/2019,0.0030860639672839,0.0053104424324079,0.008429975901891,0.0070128326366577,0.0015285293587752,0.0066556435942926,0.003497627134523,0.0069977780740143,0.0040322538280931,0.0058881561388415,0.0077166989244969,-0.00025799920834269734
12/2019,0.0030620829632903,0.0086459480958134,0.00621137983098,0.0068621410032258,0.0013612347603872,0.0067939997156712,0.0039763290286211,0.0067354897108368,0.0027118360325468,0.005924792207591,0.0074429219700384,-0.00044911707153637466
01/2020,0.0032339802248005,0.0054424246294861,0.0089671499746979,0.0072768538231963,0.0015703370701157,0.006173827185702,0.003678405815508,0.0070507402662766,0.0046344431551297,0.0058936485467643,0.0084832882284507,0.0007168692121896844
02/2020,0.0029006009638706,0.0047605327434227,0.0083761387136621,0.0066620853673656,0.0014120417340304,0.0056882916455868,0.0039725277735322,0.0064662700762903,0.0064546409925343,0.0051419726144711,0.0075603578145252,-4.6997619494055023e-05
03/2020,0.0031379453157876,0.0043865272402969,0.0085870320869489,0.0067456451044502,0.0016376139586102,0.0062135439720244,0.0038308402472662,0.0063754578798805,0.0039448339020971,0.0050198975564343,0.0068744137987247,-0.00039100719571658147
04/2020,0.003134459453112,0.0047324631981932,0.0084001878447266,0.006803653180679,0.0018384024280276,0.0057376657827726,0.0037194201742077,0.0062859497939622,0.0040888738903368,0.0051319901039987,0.0068527944406928,9.413598979120252e-05
05/2020,0.0031188060268606,0.004193679621841,0.0077468025131488,0.0069279834130721,0.0019976832574097,0.0052063796143564,0.004649092900211,0.0063633996796863,0.0040290580921887,0.0046928259472282,0.0066647526366573,0.00011665709385384315
06/2020,0.0029320708522467,0.004021384822751,0.0073504509652232,0.006448028804379,0.002582608969555,0.0048185707325823,0.0056380796854991,0.0059782161228815,0.0040584267435893,0.0038974634553801,0.0066859209156531,3.595573686236177e-05
07/2020,0.003033689537428,0.0041294652811281,0.0075143790175525,0.0068943584317964,0.0030501525855831,0.0051312327756423,0.0052848467905233,0.0059203470847255,0.0039050722518872,0.0036616790016858,0.0068271428612377,-2.300916033402215e-05
09/2020,0.0029240455462348,0.0039244703427281,0.0078002014955156,0.0063679902393993,0.0021811846944335,0.0046262957324661,0.0041861070424742,0.0052613282023368,0.0040824725506905,0.0037443945060285,0.0072112249964558,-5.490682213502365e-05
10/2020,0.0032349860021928,0.0041276084757768,0.0080195385157733,0.0066666322035158,0.0026824953359444,0.0049392357000733,0.0045975107333994,0.0054681870123708,0.0042971669880851,0.0037201030602145,0.0077388299479864,0.0001736067306757098
11/2020,0.0033946740049381,0.0038823662887354,0.0077454254258974,0.0063425772984361,0.0029225391188711,0.0051527422774235,0.0046177689095639,0.0053902896336963,0.0041314191234157,0.0034996397069544,0.007796221547092,7.540147090534782e-05
01/2021,0.003725825703628,0.0042551476965732,0.0081588954805839,0.0064429146206965,0.0036564495091187,0.0054782841172518,0.00405791113644,0.0052299877049044,0.0042759283667996,0.0036913464628482,0.0079473925439149,-4.7935161449495084e-05
02/2021,0.0035821336942,0.0040254965105192,0.0076361141890799,0.0056985739145589,0.003122262283988,0.0046520853347813,0.0038500721730097,0.0048114269418003,0.0040944920692212,0.0035908034199503,0.0076090138850896,-0.0007035760778945129
03/2021,0.0040511562017966,0.0043366611135684,0.0075161244532439,0.0059455645455821,0.0034882136111858,0.0056162223550272,0.0043074300054801,0.0055228840574312,0.004416096795777,0.0038973723528833,0.0087688159078235,0.0001404765827595269
04/2021,0.0040624299495812,0.0046625038419474,0.0076539805812557,0.0058102871009408,0.003400465118773,0.0056235372710767,0.0043171411973232,0.0054502350979697,0.0041578856861377,0.0039534711144925,0.0090181161881824,5.1088692249014536e-05
05/2021,0.0042780653789617,0.0044378179090741,0.0081813363857251,0.0059111133132268,0.0036952101290153,0.0057758941836675,0.004341687911361,0.0057774914513511,0.0042939968524471,0.0040639759215508,0.0096718944618268,0.00037750711937960084
07/2021,0.0045414032942605,0.0048189112399177,0.00689026528527,0.0059917982744127,0.0043837997375574,0.0061809797719699,0.0044947725590009,0.0055788401875217,0.0044762011986488,0.0043527437076537,0.0097491509128711,0.00014424425468586265
08/2021,0.0046906773900157,0.0047107162677501,0.007778235851705,0.0056327529468275,0.003937225919338,0.0061353188778202,0.0038915592657453,0.0056458641817058,0.004770040266406,0.0045298580460583,0.0094235754048518,-0.00029879187849454064
09/2021,0.0047440118285114,0.0043024472257486,0.0073069207657268,0.0053847403834594,0.0043384885014908,0.0059769745761167,0.0035551383638228,0.0056438292171268,0.0047052188773624,0.0043919646340881,0.0093369190908067,-0.00028007271905060825
10/2021,0.004809176532911,0.004565072322891,0.0078098453617917,0.0056011515344379,0.0044316371468123,0.0062929732047364,0.0041011347812461,0.0056350839643773,0.0048230707900227,0.0047623785020338,0.0096021495495353,0.00023753146139410437
11/2021,0.0049475994376814,0.004588471068885,0.0080910144300108,0.0054340551610442,0.0045621087406544,0.0061808138578816,0.0033407192588909,0.005776464039939,0.0050514544616886,0.0045243736648644,0.0093553728870257,0.0004490279488056619
01/2022,0.0052126710579631,0.0047778564714557,0.008320339464348,0.0060749236004648,0.004982359686135,0.0067071322924094,0.0037462063027948,0.0059431507820531,0.0052314735342165,0.0051125981790347,0.0102885020045606,0.0015632870192067126
