,OE
01/2019,
02/2019,
04/2019,
05/2019,
06/2019,
07/2019,-0.0007651203440081
08/2019,0.0029879153013392
10/2019,0.0011095248512962
11/2019,-0.0004853558426079
12/2019,0.0030755623079406
01/2020,0.0017490806909673
02/2020,0.0008497501352578
03/2020,-7.249829234996135e-05
04/2020,0.000112820121111
05/2020,0.0002132918976115
06/2020,0.0004013544087989
07/2020,0.0027455720673357
09/2020,-0.0010939294818647
10/2020,0.001124946772465
11/2020,0.0014642416124502
01/2021,-0.001931591195701
02/2021,-0.0027962271049331
03/2021,-0.0040952732531999
04/2021,0.0021867712058415
05/2021,0.0024627287005831
07/2021,-0.0008734782473338
08/2021,0.0008140138028218
09/2021,-0.0009487219297898
10/2021,-0.0017746258339287
11/2021,0.0015057527873491
01/2022,0.0011421309321696
02/2022,0.0025156613335461
05/2022,-0.005643754222116
06/2022,-0.0037743004242501
07/2022,-0.0008725550217717
08/2022,-0.0019948418549793
09/2022,0.0054787636512869
10/2022,0.0004852671522677
11/2022,-0.0015395256150911
12/2022,-0.0025920739934295
01/2023,-1.4507485335641876e-05
02/2023,0.0003759285782294
03/2023,-0.0008356428315566
04/2023,0.0034136344948493
05/2023,0.0039128465660216
06/2023,0.0016280751488735
07/2023,0.0009469727234033
08/2023,0.0022127373673665
10/2023,
01/2024,
02/2024,
