,a-bank,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,ukrsibbank,universal bank
2019-01-01,3473990.79382,52019975.38405,21686096.88117,27244296.98451,9624869.76445,67543176.38502,21880185.38463,15665415.6769,47602786.78944,26137961.9049,4976809.61476
2019-02-01,3753240.71932,53063681.54065,23439473.27309,27112390.10443,9686099.43371,62725346.66305,21759735.6696,15088260.47325,46000327.16414,23659646.00209,5187915.73645
2019-03-01,3798464.37151,53374631.93077,23730175.3794,26422769.32726,10014140.99954,63938507.49681,21900727.43393,14957716.45405,45009969.63069,22776774.37833,5482322.48271
2019-04-01,3802046.88237,54775624.21035,24789771.23655,27775020.20494,10267826.6739,67217332.1508,22767566.77429,15162192.18362,45939315.42554,22806646.91155,5755660.9741
2019-05-01,3947608.13746,55421038.11299,24414979.39129,28246574.01719,10463667.68237,66901451.47315,23543783.761,14838258.89049,47713220.54881,24086462.80794,6037395.53849
2019-06-01,4044085.87287,57089449.05871,23431510.96103,29079185.71744,10601701.40313,66159886.21546,24068279.27828,14290432.93084,47498035.3464,22623703.20583,6539900.01438
2019-07-01,4057344.5788,57312291.59378,24688545.94454,28913832.46164,10845014.85816,66389720.94646,24208290.90625,14844893.33991,46801082.26877,21142956.21735,6995179.45994
2019-08-01,4094354.98571,58268635.30257,23459598.34924,30758349.70168,10749786.61293,64686703.9072,24013145.73327,14833378.70462,45844836.34477,22769512.25477,7238991.73757
2019-09-01,4174962.93316,59528390.46198,24297429.08325,32020303.55007,10926259.62286,64653022.54022,24351467.5809,14995082.20647,46468318.28119,22706815.87153,7708006.403679999
2019-10-01,4425659.439319999,59766848.66859999,26549236.3133,30726648.10627,11153598.15128,65145552.64964,25109874.79483,15541328.85781,44838813.7397,21028630.14972,8020038.767739999
2019-11-01,4569362.630249999,60535047.59157,26848963.35331,31624589.00143,11178357.14836,66835705.072390005,25986351.702270005,15607128.74633,45092293.04496,22129765.5889,8560677.33014
2019-12-01,4657866.15737,60931795.4209,25563860.47269,31842294.22653,11167917.40475,66006304.51741,26526157.14279,13924774.94261,46497691.77408,22266806.54944,9053384.180379998
2020-01-01,4868111.5197,61033320.77621,23223939.87609,32886478.91717,11684083.06514,65168344.131780006,25311393.23126,13059114.55033,47878523.45515,21371167.57733,9743127.69628
