,a-bank,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,ukrsibbank,universal bank
2019-01-01,3672973.89247,224951854.05554,26524106.3911,40328419.42136,11722945.45847,151447721.39528,26355271.17178,17368761.88462,58159939.35064,40188680.4616,6939181.69666
2019-02-01,3855097.36512,221414454.66209,28183562.0904,38707304.84448,11824753.16717,149508714.55296,26882012.18799,17278511.56461,55844308.45669,39111309.9962,7512733.44224
2019-03-01,3939255.7558,219251313.76464,28831527.18766,38467766.11583,11554206.81955,157236370.65905,26547628.6523,17815291.24239,56847868.76405,38931641.63439,8184296.68848
2019-04-01,4046485.80654,221233248.35709,28481514.69216,37526743.53229,12119314.32853,156225001.17026,26823524.1159,16983030.14066,55571235.29853,37572625.35032,8911141.52536
2019-05-01,4114403.75155,214788057.2837,29264648.37262,38359642.46462,12539467.14457,161776101.69784,26790536.16681,16866705.18086,58579569.39472,37839758.28489,9234091.97124
2019-06-01,4175605.72167,211618258.96499,29497935.33511,38776145.39006,12770108.66417,160120722.07361,27755986.33901,16395176.99869,57188189.99339,38137682.53991,9586339.3481
2019-07-01,4257116.4278,219324554.96898,30776414.82132,40041651.46479,12608455.39673,165532873.33279,28618458.65529,16939918.08665,61106971.94745,40991939.03157,10159892.12257
2019-08-01,4363010.21854,215636003.66071,29829759.51955,41984165.72394,13140424.26121,161546828.01877,30682016.31034,17082632.80716,62311092.29441,40152913.48187,10320332.8196
2019-09-01,4447866.76943,219051883.98472,30319351.30994,41171682.71603,12998645.43686,167587719.71265,30540129.061910003,17344472.83356,60992535.28220999,41129294.74339999,10697555.56076
2019-10-01,4489638.87501,218962476.37391,29395146.61326,40058582.39311,12982781.02466,161350720.83749,30846958.91479,18370075.50339,61878160.34194001,40769619.75155,11067123.09416
2019-11-01,4630279.31602,224452031.15063,30753173.72386,41240912.29213,13110269.80666,167759833.56987998,32348881.886050005,19080892.05243,63496949.33843,41795935.39677,11929890.47099
2019-12-01,4811892.635410001,227331619.96393,30604687.27492,39614719.65692,12970868.777600002,167247421.12262,32450640.38663,17169711.267799996,62924010.22121,41883241.78159999,13052368.53852
2020-01-01,5167803.96165,231386431.88014,28284331.38492,42553686.82432,13725490.56034,198808732.51641,35179411.06615,19601164.61115,66615718.58682001,44355785.89283,14339420.28735
2020-02-01,5657059.321520001,235169108.02675,31491442.47886,44389170.94046,13854025.692249998,218548367.73465,36086680.0966,20276967.91845,68423769.54076,45342084.04581,15534439.0963
2020-03-01,5977739.79246,237888430.31553,33147972.8406,45755306.088690005,13859215.41122,198627896.63096,38322630.84731,20737325.65945,69051932.72382,45889556.97534,16690405.00116
2020-04-01,6142117.16183,247673701.7256,35488331.408,47758680.08604,15085474.223689998,195531216.41828,38849113.63542999,20527351.48613,73270243.79881,50130978.99781,17711716.082679998
2020-05-01,6210075.52106,253215920.94322,34901006.28031,46761885.33788,14451310.69759,193779545.58689,36013947.575550005,19365168.578750003,75150829.5663,49668871.59308,18489053.04896
2020-06-01,6316856.50501,257963808.89401,34479150.54553,47810965.9198,14494189.101240002,192467523.38433,36779604.32775,19110170.67422,75738886.95744,50474406.24533,19032324.30363
2020-07-01,6503460.652469999,263845032.80181003,34520108.27182001,47941515.196940005,15053805.93697,179789412.58844,38554817.3374,19749071.60552,78921595.28102,53028683.11469,19397562.73187
2020-08-01,6649032.87836,269661858.6256,37021360.47724,51511324.8412,15275275.638529995,180743175.47094,40925031.55384,20734024.778890003,80347046.76337,56721524.12758,21042817.43648
2020-09-01,6781696.69134,272250945.38302,37610917.4593,52304232.63437,15326693.94416,176085493.24407998,42642138.13357,21178873.90518,80895307.13500999,55126746.49285,21398017.20202
2020-10-01,7121544.458710001,281899048.70887,39529029.70099,58185059.48163,16031232.95371,182615982.1934,44171047.45824,21962237.12444,84059356.3796,57211121.47531,22569289.5927
2020-11-01,7316448.673119999,286847268.50318,40916484.16598,58234807.32481,16356755.5337,187616938.9783,44038716.92071,20629144.28504,85521712.90151,58187423.70674,23594322.15946
2020-12-01,7502286.2577,290998501.01780003,43044045.77607,57705601.15196,16854863.711420003,183772586.86545,44512927.96211,21158350.54202,84554127.38657,60252411.691860005,24425656.87926
2021-01-01,7588331.980049999,309536165.80741,42352596.83502,57307480.32863,18110379.37844,184886207.47488,47617137.837560005,26598610.76774,88163375.95824999,62247489.16977,27375256.31967
2021-02-01,7925724.76504,301150479.64829,42626648.42645001,61289827.89811,18016280.05825,194253955.46931,46753991.91544,25541340.52809,89834157.95132999,59866345.26138,28060155.55433
2021-03-01,8061546.97283,302321979.93754,41966280.2913,60692474.66769,17778250.970870003,195958463.02735,49072607.73685999,23938497.31973,90694845.89217,57407557.30046,29047394.11309
2021-04-01,8292080.05124,300277598.7167,42819880.5331,66780047.21908001,18050045.2255,207928347.51226,49068606.20815,23799526.86594,91197448.70177,56671209.51348,30145472.32588
2021-05-01,8439382.75958,298522361.32706004,40593064.04742,71215472.90506,18085041.18838,209270541.8541,47950586.13721,24073123.3341,95369805.95191,57577724.69769,31433021.30703
2021-06-01,8791784.64003,298210960.0136,43409295.89368,67117502.4201,18436251.89719,209882613.83378,48854181.74502,25111749.39341,96713328.49372,59014515.59882,31089254.538280003
2021-07-01,9096277.72752,304872958.61147994,42215639.06941,70166755.03076,18730114.62883,202665630.01735,48162382.78,25886031.74906,98032103.67041,59686649.80968,32519933.49261
2021-08-01,9844010.74738,299573742.2564,43683165.85397,82153331.07197,19089703.48703,198931672.90909,48724642.95152,25065065.12811,100173311.38898,59238109.76307,33694685.32197
2021-09-01,10237797.82888,296549070.78828,43228058.80818,73899677.29263,19450443.06564,182973537.76317,49799787.00358,26345837.498790003,101087646.80058,59642162.45374001,34680686.760589994
2021-10-01,11061338.59111,298915569.49935,46820620.6456,84147765.52996,20435731.7011,188188818.49049,51859869.19775,28417713.35385,101926396.91312,64387949.65991,34638116.45301
2021-11-01,11460608.73504,297433731.72275,47639370.649,81707930.59357,20746431.800630003,180008976.79290998,51334083.798980005,27234103.91159,104655098.93314,62278273.43874999,36378295.12135
2021-12-01,11258125.680379998,299998902.64185,48593233.39689,81056857.44473,21275512.4968,180383154.56876,54201391.8337,30599824.69445,105402058.917,63725420.45663,37432338.95506
2022-01-01,11533922.165709998,321705423.81938,45741242.17555999,80648383.51662,24296006.74148,188933316.83892,56867213.26148,37014989.51506,107296761.72406,66124984.70566,42765180.07228
2022-02-01,11370047.18355,302495373.53632,50839629.23852,90961845.18418,23147565.14115,181516113.84348,54677105.31027,36170002.6725,109500888.44494,64993344.52869,42277614.02256
2022-03-01,11465532.32979,295391610.7135,49159943.37563,78603268.00134,22512172.35993,187243085.03185,55790352.02623,28453366.56148,113465579.47953,67779837.41539001,42236373.43955
2022-04-01,11683489.43082,343715311.23309,54510811.65874,74714474.93729,23736666.56928,191649538.33469,60178211.6777,24338265.70838,113254902.01366,72401410.71398,48938525.25211
2022-05-01,10991873.14373,355191559.52155995,55663806.35771,75771699.24125,23591799.332920004,205612109.20468,62196192.93082,25021966.92689,116761687.55926,73693301.66129999,48750200.92461
2022-06-01,11283730.29947,363851736.2475301,54426454.36833,74636949.47656,24567503.03494,198682057.20938,61403917.057500005,23321101.26635,118815855.49895,74736771.30282001,46834874.08437
2022-07-01,11322782.38221,382625515.63808,52062998.63882001,77484848.82149,25758881.33753,196332413.9151,61132364.07867,23936216.50867,120778477.5459,75915180.48717,48480028.4783
2022-08-01,11818659.67923,403998014.56033,56886306.65162001,82122292.28518,27670223.05331,199904867.20436004,65554179.26639,25966093.00724,128491952.93077,84541439.54434,52732184.780030005
2022-09-01,11934853.671999998,408737244.3993,57314617.82317,78980089.69875,28839452.834950004,204741905.28493,65656307.08921,25647171.59007,126869759.32565,83615256.43669,53959841.218150005
2022-10-01,12949773.33536,416148362.37939,57144594.96051,81753395.76257999,29639207.52779,206324820.9897,65429245.13057,26387541.02853,128883828.97196,82690109.08755,57839567.98535
2022-11-01,13091661.4653,425980370.21336,58623832.67044,86963001.57595001,30338858.60317,208845123.35176,70052509.81184,28358083.35234,133714228.39684,87024343.19103,60675263.87728
2022-12-01,13814572.6157,432615948.53349,59642640.38396999,87445586.90687999,31237452.05963,216997323.37347,73195618.47767001,31795816.48662,138788659.30244002,86477564.27469,63800064.041250005
2023-01-01,14579786.03424,464871500.50483,63492064.83314,90165476.80015,32820625.19606,231297542.81984,77619525.34183002,35824490.91743,143520873.34755,92671303.26617,69316352.52581
2023-02-01,15310955.00659,454005375.92101,64730161.67549,91704166.90539,33800237.19937,235204370.91564,77246622.00667,,149754342.1561,93097072.47172,69644097.55996001
2023-03-01,16220123.67691,462514845.18957,69226292.40022,92413170.86323,33507119.08702,245225290.7039,73342122.50723,,149992465.49686998,94508379.49849,72081543.46551001
2023-04-01,16091477.70507,464451555.63229,75759088.97881,93115382.13642,35207412.56874,239869458.1948,78903686.0984,,144786380.9664,97343388.72584,73688875.69715999
2023-05-01,16064453.23424,467764414.1435101,75860856.38804,95227582.12211,36684837.73145001,247216026.60704,81499505.56583,,147174549.60082,107247233.73996,74120967.89425
2023-06-01,16801160.18728,469200137.26932,78734575.16141,98406473.03624,37940237.05316,250764348.28717,75168395.44111,,144792245.02841,109183186.21955,74296473.20912999
2023-07-01,16803091.087599996,481702465.27962005,82280888.92072,104355305.24015,39315330.241720006,257097846.89892,75547803.57596,,146291912.34444,114305636.36146,77319654.71068999
