,a-bank,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,ukrsibbank,universal bank
2019-01-01,421484.38357,179115025.21424,2101223.54668,11619074.28123,4033733.55521,113640699.83462,4975302.09976,3396585.43461,8822461.62565,5041313.31858,895589.4185
2019-02-01,501242.73973,179306213.84159002,3454225.11402,11796226.2732,3795205.95156,113214959.27846,5478041.35603,3600677.33533,9453838.71641,5460224.56243,1312060.85488
2019-03-01,561124.38356,177267932.93074,2142832.1298700003,12258526.63028,3499313.78805,102038007.13997,4307502.18515,3220872.85474,10719660.8053,5663104.46577,1693317.41273
2019-04-01,451311.78082,173906960.95887,2323744.64585,9664363.60477,3291542.25189,105073035.15684,3810282.91259,2541128.18889,8186933.818779999,5987083.05945,2334557.18395
2019-05-01,381104.65753,168163428.10127,2321411.85347,7944140.89904,3520169.86076,104102892.71532,3146685.09605,1750026.24839,8051898.462169999,2936186.48435,1728357.19846
2019-06-01,150000.0,169565367.92524,3634662.06824,8971568.93804,3663890.03055,101463740.94923,3332078.17849,1953669.90736,7958263.14521,4080651.61575,1550100.01648
2019-07-01,200308.90412,165316594.74345002,2043060.51128,9112972.5459,3412815.624,95486999.36776,3748006.73935,1792022.1261,6653161.21425,6330568.68311,1768245.25916
2019-08-01,350739.72606,162153351.5816,2750516.18944,9487653.20443,3052068.47952,100443009.95041,4010473.31618,1997451.69432,11857502.13061,3655456.38348,1748613.97431
2019-09-01,341009.31436,162417983.07769,2661537.08501,6434151.584770001,2884025.8887,98354994.81656002,3176851.24002,1235100.83611,7513824.99303,3506206.5517899995,1303330.7896
2019-10-01,210632.46578,164654700.43159,3853103.04198,9954325.1613,3007503.6925,99477288.3662,5320321.53044,2099225.69535,12192996.46202,6206436.64504,2354929.88962
2019-11-01,270397.80808,163753645.85726997,3970911.98184,9272375.74524,3342282.14959,101484502.55694,6745449.821180001,2629138.9256100003,12099544.35941,6164429.30353,2219280.61958
2019-12-01,230175.47944,164116174.64659,3290549.92565,10148714.43528,2791462.9084,96793929.31612,6038761.911529999,3863047.53331,12517569.61648,4647339.236690001,3124693.21988
2020-01-01,270381.50685,178323676.26498002,3961543.992240001,12123074.83815,3523400.6584900003,111388508.37715998,10824031.73833,7547627.01382,13853207.991920002,10917658.53463,3550311.4958
