,a-bank,alpari bank,altbank,ap bank,asvio bank,b concord,b industrialbank,b lviv,bank 3/4,bank alliance,bank avangard,bank credit dnipro,bank familny,bank for investments and savings,bank grant,bank portal,bank trust-capital,bank ukrainian capital,bank vostok,bta bank,cb accordbank,cb globus,cb privatbank,citibank,clearing house,cominvestbank,credit agricole bank,credit europe bank,creditwest bank,crystalbank,deutsche bank dbu,eib,first investment bank,fuib,ibox bank,idea bank,iib,ing bank ukraine,kredobank,metabank,motor-bank,mtb bank,okci bank,oschadbank,otp bank,piraeus bank icb,pivdennyi bank,policombank,poltava-bank,pravex bank,procredit bank,radabank,raiffeisen bank,rws bank,seb corporate bank,sense bank,sky bank,tascombank,ukrainian bank for reconstruction and development,ukrconstinvestbank,ukreximbank,ukrgasbank,ukrsibbank,unex bank,universal bank
01/2019,43452.42434,1533.37726,28996.97584,5769.00234,25261.41834,198822.13731,,66405.79837,34881.39614,123225.44108,0.0,151307.90006,2240.91279,201773.32955,23843.87706,11741.65663,,,687082.62575,11225.86002,231965.61796,74087.56356,16117359.58207,14329.85086,44922.64583,91916.64426,554143.99309,2147.31901,15863.49198,120246.73756,564.62816,,61003.18464,1943214.8139,136312.7081,73837.31647,130532.56102,35563.99679,467283.91203,30114.27002,78146.58294,183099.23115,32574.64436,5667991.35661,733150.34611,93333.33675,1045653.76319,40942.62202,81198.57139,,209905.19214,45001.49322,6770026.37868,215435.27515,5484.3906,1078305.02904,10127.61802,479956.86682,2478.65163,,1194270.36777,1696291.47206,2332173.65468,43632.10807,213535.32847
02/2019,64201.09329,1572.29934,36829.17201,5771.45755,36299.4172,194729.58339,,92186.72775,102640.29174,120737.07427,0.0,159018.94768,9335.4509,223494.48318,34555.8383,8719.34497,,,730000.06045,10802.29482,328127.38849,69651.9735,12969214.79232,13795.33857,42320.52752,71110.56592,606059.3671,2918.37006,18579.4183,177122.87237,539.17315,,71174.37407,1538568.26266,50906.10552,81259.78737,164328.58729,32662.9902,664235.04739,34111.06662,95442.39413,275318.99517,45370.36323,5472185.09305,986264.13368,107988.56933,1134616.44289,58571.56757,92520.64271,,214172.97344,68923.88284,4654310.55508,106630.46192,5449.77292,1024404.04265,13697.16667,639173.67408,2939.57297,,1409109.94752,2218304.62187,2684146.07617,53636.00854,255407.467
03/2019,68945.50389,1650.22802,28535.56028,7697.38983,32342.50842,186186.15636,,81245.9151,31903.01935,184042.83199,0.0,153357.9197,8323.75372,177981.11037,29344.8309,8054.44861,,,692380.79099,11488.23999,302304.70902,68529.91929,13721778.95533,9740.69784,42406.80064,74050.30537,595659.82316,2433.75162,13008.63188,122814.80457,763.40513,,72363.80778,1380152.73661,53183.76278,66602.47867,158131.67284,30653.64872,605417.0259,30631.55357,93919.55677,275942.06004,30575.13251,5410141.29406,966922.90854,102383.33671,1238184.81706,67275.36628,87948.04036,,200282.8916,83590.44678,4225276.00818,52010.16943,2536.4252,1034642.7326,11749.07697,554212.75402,1644.17197,,1308605.10761,1840335.95132,2547008.54868,56704.75511,221667.21848
04/2019,58588.74038,830.11564,35977.98307,8389.68506,39307.03958,192363.58243,,82374.86932,31212.89757,203724.98376,0.0,175321.99468,2589.18382,188078.20717,45468.90467,30821.35665,,,675509.75024,9411.02758,320889.94106,76869.45938,13720224.45991,9460.15744,38774.35807,85323.43531,594596.75254,2485.41558,17333.1328,86876.66654,635.03799,,52846.92405,1566010.25997,43584.97276,73042.10109,86736.71985,24724.37758,480396.19548,27734.60151,92331.45144,223744.45607,28990.5387,5475419.86862,969665.10613,95636.5603,1152949.20274,45721.31542,70422.471,,182254.13687,67016.99618,4985372.1734,86248.13802,2330.33673,1003060.96349,11354.72613,512525.73861,1712.15752,,1423407.2464,1639232.36921,2086583.22903,52953.26158,202468.70839
05/2019,67573.72861,5135.431,29414.21018,10130.37952,33129.45918,194200.01421,,83425.90006,26107.79671,164723.78926,0.0,173655.69625,1665.25296,188674.21708,45788.68195,41962.83008,,,688190.37372,8511.53697,268404.11149,65432.29117,20201883.85073,15580.40131,38584.28639,93765.56597,828062.69458,1814.95971,11661.96627,81256.54145,573.51451,,46051.56587,1452861.13721,36991.30064,76269.94491,117849.37564,22502.12141,678465.33141,32121.7789,78137.27779,305558.41552,28140.8966,7386345.60524,1115077.96438,110353.47146,1386801.41631,56065.3457,103129.13734,,202672.96863,69858.13782,7226636.96476,46693.92371,2678.631,1083823.24074,11153.6552,484590.07725,1816.26994,,1582393.63071,1574360.6748,2762555.63709,45191.23579,217873.20374
06/2019,54929.84538,881.16207,34337.5404,10406.99876,39743.63713,201768.99841,,81435.78042,33648.78453,188404.35241,0.0,149120.40862,1693.23036,218261.51126,36258.09629,60790.35518,,,640385.88411,8969.72556,324698.66654,71043.82554,14583284.80612,16647.74549,42603.77624,82858.7027,672039.30727,1609.57567,16478.93811,107483.77344,458.93603,,50967.14613,1487594.39513,49452.76536,84851.83515,187715.57324,31338.09316,666292.27252,26276.45821,102516.06236,249790.61542,41017.61468,5678704.03717,1024119.81272,106093.70318,1272169.42304,53113.15004,68439.20234,,208037.48015,76180.5769,4919103.26925,53924.79107,3508.88966,812680.22339,15254.62991,534332.96202,1997.33966,,1433420.57968,1678660.0279,2210548.18859,46291.20212,291423.54069
07/2019,80721.13682,5259.77315,26355.9645,12364.49844,41743.36609,151657.81459,,97285.35873,33426.9311,212153.43159,0.0,165978.37902,1136.77562,176646.87983,35147.76752,13852.56538,,,733943.49121,8537.36957,321664.3328,57305.90907,18389397.23806,14151.08063,43871.14619,82462.47973,726630.35781,2067.07565,21143.94567,131940.17783,412.59355,,57490.95559,1567861.74301,38215.72926,83896.79756,170100.93441,29559.88401,684788.51148,32693.0737,81627.23417,325230.74816,43123.24414,5013112.93591,1120297.14238,112456.41593,1136543.11956,39587.27459,72084.63328,,136491.99783,82679.57725,6417633.85097,116278.05283,5702.27973,852207.97312,14828.48245,520594.63113,2031.91716,,1492652.55081,1644281.34828,1856876.27395,49030.6318,277936.50973
08/2019,70323.06902,4843.40969,24394.1437,11715.15709,36751.90094,128565.55495,169564.48718,89794.73026,27779.22842,218035.21191,0.0,148244.42786,429.40246,175331.92745,38429.60922,25137.20716,9803.78845,23582.84972,687175.65887,7327.41216,326888.79785,105354.23984,16716795.75814,13787.88986,43422.22332,79923.85279,663068.90346,1977.10347,18416.54251,140724.25288,351.1547,8720.73496,62849.14015,1316993.78618,38650.80049,71539.04061,142388.75733,27668.89102,677291.06139,28301.17689,94971.1454,243829.97752,30615.56361,6099496.12852,1037357.13049,107035.30623,1348721.46626,48660.32869,81384.75956,267288.90927,129848.56879,65724.21257,5284090.76006,68325.92256,6186.93405,927746.98553,12923.05188,564510.31359,2033.0736,185559.45477,1416455.03116,1473107.80335,2451777.57938,48207.26902,304456.20052
09/2019,78773.09156999999,3119.57812,25061.55569,14892.87042,35950.200639999995,140675.80902000002,195220.65675,83267.60316,30242.9359,221097.59459,0.0,159188.47634000002,2697.0597700000003,258716.42704,33193.86005,26031.46678,15861.07708,31458.76867,725731.41661,9021.5453,402235.17978,66775.31576999999,17070691.64403,11373.44211,54922.6281,83675.11514000001,745174.88831,2029.75944,17581.26919,171982.55717,318.23744,7776.65265,65145.22694,1559652.19095,60952.82601,78423.64452000002,111410.14406,20873.52934,728915.34415,27332.44842,136182.60792,243828.37211,27390.54433,6166311.004470001,1079256.41776,91159.29196,1348043.01855,55084.67752999999,85320.65229999999,286992.82225,124117.84132,83323.0512,5220558.89149,190078.9735,2621.42968,967037.91875,14223.4656,557084.9909099999,2141.58807,197617.96938,1425514.0652299998,1533447.41266,2275505.08542,47073.049320000006,263188.89503
10/2019,76052.85363,7076.86701,29001.99697,14886.21578,56417.10189,199289.92909,182280.75423,105502.37997,39052.46951,201733.8697,0.0,155004.32666,2302.4793,198977.34908,27927.53053,25828.85732,12844.812789999998,28710.38593,755172.18451,9452.42934,353929.38275,82621.58080000001,16596134.23392,9928.32286,45064.72543,73000.62699,664251.08467,1986.00433,16458.884939999996,196793.204,1224.49734,10132.47972,71356.35404,1542914.67165,67305.53456,80454.10599,95917.45209,18540.8756,686951.3951399999,29919.51478,92391.09367,229117.36328,51651.90623,6293763.72585,957232.25338,113730.7993,1351344.84734,57889.66879,69418.6507,314020.85658,133299.06342999998,79578.48002,5013650.6993,132234.03472000005,2976.6175700000003,827757.5014399999,12375.66761,608505.81272,2127.64575,216784.15911,1431992.98736,1667811.2517200003,2008575.20233,55815.71698,255588.12188
