,a-bank,alpari bank,altbank,ap bank,asvio bank,b concord,b industrialbank,b lviv,bank 3/4,bank alliance,bank avangard,bank credit dnipro,bank familny,bank for investments and savings,bank grant,bank portal,bank trust-capital,bank ukrainian capital,bank vostok,bta bank,cb accordbank,cb globus,cb privatbank,citibank,clearing house,cominvestbank,credit agricole bank,credit europe bank,creditwest bank,crystalbank,deutsche bank dbu,eib,first investment bank,fuib,ibox bank,idea bank,iib,ing bank ukraine,kredobank,metabank,motor-bank,mtb bank,okci bank,oschadbank,otp bank,piraeus bank icb,pivdennyi bank,policombank,poltava-bank,pravex bank,procredit bank,radabank,raiffeisen bank,rws bank,seb corporate bank,sky bank,tascombank,ukrainian bank for reconstruction and development,ukrconstinvestbank,ukreximbank,ukrgasbank,ukrsibbank,unex bank,universal bank
12/2020,7502286.2577,44448.73981,845856.6010699999,739722.45836,626494.54256,1991703.52667,2396137.25864,2673872.35622,346158.56867,4167117.31686,685967.59349,8686817.5372,57823.02421999999,3102764.73525,1208338.85598,40378.25071,69217.03633999999,600394.08244,12993810.86196,230934.51919,3325480.73048,3074808.08854,290998501.01780003,27593593.77972,2065755.26318,996159.58429,43044045.77607,245761.53528,1042593.99855,2375866.73062,3048707.76382,181231.62424,958604.33914,57705601.15196,1700884.7642400002,3661419.29487,2322882.69591,8367797.52041,16854863.711420003,593238.5251200001,1284936.8855400002,5397682.347469999,360209.38238,183772586.86545,44512927.96211,2334917.88808,21158350.54202,504597.0923800001,2065104.89707,4535802.09896,17607597.72617,2178418.0037,84554127.38657,1201394.28155,1955870.41826,330908.34148,17265472.28437,82262.78185999999,1030780.35428,106022148.36632998,135642292.49115998,60252411.691860005,426660.80925,24425656.87926
01/2021,7588331.980049999,31829.99474,1220911.37197,903515.03576,908745.67088,2022458.32418,2473639.2388699995,2775832.63124,279207.32679,5181465.7471,789621.5741900001,9421490.84852,124909.6075,3273081.09448,1259603.58056,42249.95565,133815.69806999998,706823.25659,14448222.41057,203362.98915,3894455.72846,4027876.78807,309536165.80741,25062859.44085,2077731.66292,988950.45367,42352596.83502,360774.65389,1070604.00725,2060326.02398,3836418.76903,196586.02772,987946.38664,57307480.32863,1535079.76997,3763956.77025,2152767.56209,7343166.69204,18110379.37844,641927.3994,1535407.7352099998,6867368.90786,416194.28122,184886207.47488,47617137.837560005,2452283.45079,26598610.76774,527586.56039,2254256.29295,5422863.509339999,18245120.5416,2143884.61894,88163375.95824999,1354780.80907,2525820.19517,547016.19554,17143062.9475,96760.84764,1550864.2813,114640731.71914,126570817.46599,62247489.16977,516522.28845,27375256.31967
02/2021,7925724.76504,52295.59641,679001.19863,1032361.8576600002,908501.10426,2157542.1339700003,2436650.70296,2698178.07988,283254.09035,6184667.8534,708900.8282,8542044.10909,64181.93994,3058099.84248,1225765.91833,41415.00126,94119.13668999998,695562.69719,14798780.57276,86029.52471,3665547.42495,3332191.21385,301150479.64829,25053154.71261,2364748.72244,959045.19127,42626648.42645001,298688.77823000005,1023024.57351,2580149.3585499995,3996889.97745,260122.67587000004,1157914.86433,61289827.89811,1557290.1148400002,3559745.81268,2035001.85072,7946958.03527,18016280.05825,707476.01006,1389148.34792,6131206.158009999,515730.56463,194253955.46931,46753991.91544,2674562.9304,25541340.52809,471534.47535,2097010.39855,5040853.15587,17788878.01655,1951226.84644,89834157.95132999,1358825.48019,2057843.14893,477980.52739,17112635.38825,82701.22518,1243441.00668,112671166.22074,124849925.78813,59866345.26138,515389.86025,28060155.55433
03/2021,8061546.97283,13932.65477,714122.06122,946705.22209,1120259.8119,2189854.03446,2586915.2642500005,2742187.4055500003,276624.08865,4837866.408799999,866419.0066000001,8367950.830330001,77755.99852000001,3209731.55457,1212040.71323,39889.43851,52713.65224,749468.2880899999,15179176.7952,86152.60272000001,3947659.99105,3423988.9677600004,302321979.93754,24939449.12779,2156886.24549,938393.92803,41966280.2913,319497.32667,886979.85376,2974317.23301,3496113.29943,319515.75521,1387432.86526,60692474.66769,1512188.45301,3579123.19996,2059307.56375,7152213.004110001,17778250.970870003,727594.67988,1482518.59227,6227054.510989999,469908.74191,195958463.02735,49072607.73685999,2772852.26297,23938497.31973,490778.53605,2109990.3216599994,5034355.7234,18029259.68882,1960282.651,90694845.89217,1473481.12556,2480281.12833,449428.54957,17009835.116210002,84862.34008000001,1376602.84424,118109982.49698,123968238.00266,57407557.30046,502922.06618,29047394.11309
04/2021,8292080.05124,22969.2861,571600.18725,1071566.52503,817907.02109,1882416.28157,2590601.62452,2780797.04445,308273.98176,5797530.4356,923009.48934,9026963.11112,49443.18205,3111173.13211,1237937.55816,28617.06811,55732.06459000001,870994.4074799999,14487503.2231,103431.94072,4507216.97998,3595210.49743,300277598.7167,24192716.98742,2482636.01056,943068.20042,42819880.5331,260682.04426,851056.4764600002,3033263.19185,2814714.51608,298938.93792,1716700.62033,66780047.21908001,1838426.80349,3595462.07895,2229141.7685,7118407.306380001,18050045.2255,652163.63373,1148554.47608,6261440.09365,409691.49782,207928347.51226,49068606.20815,2813268.3360800003,23799526.86594,489809.07883,2157237.66625,5308232.944150001,18366759.73572,2299275.08486,91197448.70177,1530476.6064300002,2158633.26854,449832.16528,17561537.6312,82423.84792999999,1243499.34727,124381782.83049,112984577.88301,56671209.51348,522087.10876,30145472.32588
05/2021,8439382.75958,22320.87854,637014.00407,939380.27861,697467.7799,1884738.00378,2495855.1115,2643951.62934,366222.28487999993,5697110.49873,800252.42478,9802707.01228,98917.87434,3258107.59773,1253859.4123399998,28183.633030000005,62530.93624,763623.6028000001,13992984.15884,129470.24644,4502692.79226,3598981.56012,298522361.32706004,24467453.3551,2768715.38522,929311.08524,40593064.04742,618803.04855,839503.89928,2942642.7813,3546476.62988,314990.82302,2142973.00625,71215472.90506,1852001.60467,3711861.43305,2035075.37277,8192924.212100001,18085041.18838,792594.1756900001,1174781.16301,6247094.529829999,460792.16276,209270541.8541,47950586.13721,2860751.35713,24073123.3341,476293.03761,2157771.6231100005,5320003.14311,18103157.00749,2506708.34124,95369805.95191,1355693.23339,1757128.1417,517188.50285,17661837.10329,85178.44659,1194442.26697,126681536.37845,117414353.71468998,57577724.69769,432471.14311,31433021.30703
06/2021,8791784.64003,6351.16036,636306.15534,901936.19244,782983.7973999999,1951468.06613,2462417.4308,2777006.9556,723189.49076,6903608.00168,769686.50871,9708381.36939,42850.83970999999,3309348.1591,1293189.0095600002,63440.1149,56838.74197,841824.33227,13999095.54552,118714.12430999998,4468700.48238,3655799.04392,298210960.0136,23848748.21428,2763760.9268,913351.32404,43409295.89368,365895.33744,825323.84017,3043554.70833,4155444.86066,344540.28947,2324343.44004,67117502.4201,3243390.51304,3824997.89321,2161098.5726500005,8236473.274309999,18436251.89719,661511.1157300001,1240767.48044,6855467.0761,448968.37951,209882613.83378,48854181.74502,3053360.32672,25111749.39341,487671.02587,2147312.72847,5488622.72835,18367057.10501,2479173.85653,96713328.49372,1384989.20027,1682082.74182,549894.1665899999,17308933.12092,77868.53252000001,1173841.8225,129892288.3351,107392921.50729,59014515.59882,602757.7847900001,31089254.538280003
07/2021,9096277.72752,5184.01925,602176.20059,943992.37721,813566.63381,2006902.00069,2459269.94278,2885355.71014,471852.20287,7353440.826760001,843137.3464400001,9346297.02975,43678.3383,3187122.95548,1388231.46693,68047.86905000001,54772.5061,807667.8906899999,14191914.315040002,105216.48407,4631742.55918,4203436.857720001,304872958.61147994,24518630.02841,2814668.6355700004,972407.78123,42215639.06941,651286.8639700001,937883.79483,3136498.11376,4233754.61565,346832.06440000003,2748438.31962,70166755.03076,5165443.212590001,3896965.24942,2239677.47586,8778320.15167,18730114.62883,900185.27063,1235952.24317,7135384.778790001,436162.73473,202665630.01735,48162382.78,2747380.89024,25886031.74906,521113.59441,2057776.96353,6205257.40983,18199026.54069,2561729.25091,98032103.67041,1510985.1499299998,1660052.7939600002,567325.04354,17037167.70051,64273.80291,1280743.65558,137136928.82419,108337079.69664,59686649.80968,667112.2041799999,32519933.49261
08/2021,9844010.74738,17642.82406,701786.6220999999,949975.93442,872485.62603,1908809.594,2339743.07946,2903313.07249,430185.0004,8540133.01908,926805.83298,10065288.33353,79410.9919,2811058.23821,1442207.69966,54640.03335,88443.81857999999,867406.86076,13699469.01955,118046.17698,4985411.1353,3866384.55014,299573742.2564,26794385.78276,2718951.1308,965711.06481,43683165.85397,410888.10699000006,779225.635,3416694.2878500004,4477148.73011,432935.42225,3042135.48461,82153331.07197,5047002.88277,4061357.82025,2648595.01544,9007788.4532,19089703.48703,945569.11745,1235213.2271599998,7239263.57199,378823.05132,198931672.90909,48724642.95152,2800352.35342,25065065.12811,519750.83769,2092188.591,5686801.2288,19035108.56529,2558047.2067400003,100173311.38898,1500416.87629,1753103.62162,899690.9291,17339754.964530002,71707.72284,1252601.10227,130876715.84038,100710120.76359,59238109.76307,675867.54003,33694685.32197
09/2021,10237797.82888,18577.00905,685479.3346700001,953676.68401,843478.71245,1990125.79511,2346118.38944,3030803.58575,437549.48647,9144468.46047,817690.0182299999,9718894.14878,34890.54733,2788364.75177,1419151.93971,54024.21845000001,87492.36524,854573.4380199999,14402619.2693,146081.73778,5436610.44007,3794000.51875,296549070.78828,31892787.74918,2924572.42732,1011813.70096,43228058.80818,374828.58604,790797.43197,3433308.33043,4118021.61242,518216.68926,2938921.7137200003,73899677.29263,5121726.695839999,4102495.22367,3044089.28931,10610538.982260002,19450443.06564,928765.07199,1180296.8943,7328392.0008,405552.03845,182973537.76317,49799787.00358,2806926.4632,26345837.498790003,520997.10367,2093827.88184,5949090.662950001,18615476.56255,2586852.33438,101087646.80058,1543496.61037,1707659.62621,730451.3006,17130659.46209,72213.61946,1268549.7159699998,134524377.22921,95146043.67263,59642162.45374001,768034.4693,34680686.760589994
