,a-bank,alpari bank,altbank,ap bank,asvio bank,b concord,b industrialbank,b lviv,bank 3/4,bank alliance,bank avangard,bank credit dnipro,bank familny,bank for investments and savings,bank grant,bank portal,bank trust-capital,bank ukrainian capital,bank vostok,bta bank,cb accordbank,cb globus,cb privatbank,citibank,clearing house,cominvestbank,credit agricole bank,credit europe bank,creditwest bank,crystalbank,deutsche bank dbu,eib,first investment bank,fuib,ibox bank,idea bank,iib,ing bank ukraine,kredobank,metabank,motor-bank,mtb bank,okci bank,oschadbank,otp bank,piraeus bank icb,pivdennyi bank,policombank,poltava-bank,pravex bank,procredit bank,radabank,raiffeisen bank,rws bank,seb corporate bank,sky bank,tascombank,ukrainian bank for reconstruction and development,ukrconstinvestbank,ukreximbank,ukrgasbank,ukrsibbank,unex bank,universal bank
10/2021,11061338.59111,28069.25785,759874.73645,1022996.52542,889660.0091299999,2144713.36642,2392681.20616,3226719.8056400004,358876.68467000005,8967562.09353,912718.71641,10425387.9798,38632.15334,2935054.3749400005,1440990.8836899998,50344.900010000005,127560.1974,987536.22353,14644202.289089998,142115.43546,5414662.89889,3880721.45532,298915569.49935,31384994.458060004,2713481.18605,1040120.33436,46820620.6456,428330.23413,784341.71891,3864517.7325,4030386.943010001,625076.2065300001,3192930.7183700004,84147765.52996,4283857.79674,4276117.231029999,3279162.52489,11391196.69372,20435731.7011,907901.26366,1375686.851,7790166.313449999,415480.6069,188188818.49049,51859869.19775,2942063.68555,28417713.35385,527983.54308,2176970.64281,6533596.07857,19230982.15883,2554067.25064,101926396.91312,1665468.61212,1996024.20578,799234.7161600001,17590196.01553,68524.15739,1183325.68637,126402948.35101,91105118.29533,64387949.65991,959551.85646,34638116.45301
11/2021,11460608.73504,12737.97514,740326.5784499999,986318.08338,924044.69127,2102231.4720300003,2668558.58273,3231452.67041,256271.248,8608807.218239998,1021967.05343,13665926.56813,65246.62259,2727465.73078,1404562.52276,47643.17558,154154.49910000002,971564.50555,15421724.23193,187120.41557,7723918.881969999,3790085.74052,297433731.72275,33873025.80732,3203874.24702,973896.51822,47639370.649,393233.58239000005,751346.29148,3674125.21039,4126484.9869,592338.1364900001,3075667.67113,81707930.59357,4055047.26027,4257645.25115,4086050.2039700006,10291777.25876,20746431.800630003,788148.6906999999,1335214.41641,8129492.72167,386238.61705,180008976.79290998,51334083.798980005,2978762.7730900003,27234103.91159,546968.26419,2226987.57192,6301969.90536,19149706.53573,2777538.82118,104655098.93314,1700307.9107,1719193.77937,801983.39353,18815271.03631,65466.59882,1276496.16149,124509956.33361,96988691.75295,62278273.43874999,1138555.07033,36378295.12135
12/2021,11258125.680379998,13890.4013,830333.1066099999,1129189.18454,1210970.87165,2048281.46194,2634810.62496,3330737.68795,384531.57878,10898178.01703,1004469.64589,14141334.50098,33870.70863,2879978.12506,1534449.98436,69098.33270999999,157363.2943,782799.80288,16753113.52738,172498.21906,8706620.21587,4219634.49531,299998902.64185,35540127.45667,3305059.82636,995661.24655,48593233.39689,329980.88761,827775.5121800001,3218093.0890200003,4176819.27425,622094.37068,2880359.80564,81056857.44473,2495589.44076,4188390.61171,3749839.08205,10347922.61656,21275512.4968,742038.2337999999,1323653.16643,8380983.00235,447662.27001,180383154.56876,54201391.8337,3209765.0539,30599824.69445,531759.7628,2290382.7646,6708454.41224,19208774.430680003,2957374.7594799995,105402058.917,1937889.74098,1991900.8022,850232.5074,19176339.76445,79123.88156,1461034.25268,119007403.45648,98499605.20947,63725420.45663,1367485.07268,37432338.95506
01/2022,11533922.165709998,8078.78964,1164335.08025,1185367.9036499998,1121842.28915,2322475.66916,2473268.64505,3589950.8135200003,504964.87141,7697310.588570001,820385.71683,14481740.281859998,88328.23127,3151046.50633,1767483.66695,37175.6954,182189.20627,990432.38947,17396859.41686,144072.13088,9228785.68056,7272872.03099,321705423.81938,30378898.92427,3020201.13447,978742.31717,45741242.17555999,701159.6391500001,1076850.23446,3159613.1018799995,4964040.3225,551516.2006000001,2754676.23984,80648383.51662,2708486.95215,4160256.52803,3792783.55191,9005542.12754,24296006.74148,710921.3800799999,1784124.88538,9332449.38907,573549.56641,188933316.83892,56867213.26148,3576017.83485,37014989.51506,527985.35555,2388231.28277,7281580.37314,20474625.60297,3586813.26742,107296761.72406,2242157.25879,2178082.08213,1090150.2492,22818511.0494,41472.93248,1826497.25828,121473149.95263,96716590.27499,66124984.70566,1330521.2446,42765180.07228
02/2022,11370047.18355,9419.3262,1045432.24755,1106144.13264,1238631.89314,3088077.8442800003,2386739.4679,3429793.79149,265498.95422,7426868.83235,1023406.41183,16003558.50349,49724.72079000001,3154168.97573,1656064.89975,34065.16205,191877.5407,1029407.08256,18459487.68046,163370.27219999998,8232273.68719,4775624.29715,302495373.53632,32000238.26536,3619806.71637,929477.49913,50839629.23852,449155.41488,880050.0316499999,3065883.93022,4008489.57663,339873.89251000003,2741661.5293300003,90961845.18418,2736510.74827,4057170.33806,3901974.05581,9256454.10393,23147565.14115,831221.94047,1563537.0240699998,8563031.12909,591290.00236,181516113.84348,54677105.31027,3301682.70019,36170002.6725,491875.31726,2300642.6268700003,6648593.580409999,20514676.64956,2872723.37368,109500888.44494,2071053.79202,2069680.29909,998013.47685,22355019.16883,39401.21192,1567919.25948,117319419.27059,99865118.83433,64993344.52869,1151743.35514,42277614.02256
03/2022,11465532.32979,9549.32072,1004810.5493900001,1207362.229,980514.70868,3504323.27526,2381092.99721,3646397.9958099998,214499.18980000002,6829354.897970001,1038780.0103300001,15082311.493149998,37471.604759999995,2596929.5867,1538151.63849,34091.62646,181784.43495,936849.4685000001,15458348.66788,146703.55889000001,8117580.108259999,4210397.937539999,295391610.7135,30893656.58363,3525035.7142000003,874415.45757,49159943.37563,367173.15374,679716.56796,2596196.3668099996,3236630.40216,251402.73192000002,3066649.8968,78603268.00134,2613666.53116,3860922.92098,3290921.90156,6940451.670759999,22512172.35993,724882.41981,1547557.7573,8506485.26124,559004.42692,187243085.03185,55790352.02623,3059110.7350800005,28453366.561479997,…,2240034.97454,6031212.50865,20130140.55393,2844845.43153,113465579.47953,1860964.6362400001,1528306.05171,924330.59126,20445872.018540002,56328.54019,1420482.9092899999,119162999.26474,89934350.78848,67779837.41539001,1106406.14393,42236373.43955
04/2022,11683489.43082,6478.18847,1126406.15237,1116601.0142,1164249.22342,4014965.49431,2276111.9421200003,3452312.37827,256894.19123,6353757.683610001,1483220.8230599998,13489358.78362,29751.72145,2136307.3759600003,1533388.40393,37391.29129000001,173517.16909,872490.07834,15029323.9118,145099.27719999998,7077902.88576,3718953.38366,343715311.23309,32329202.51672,3501818.34508,867184.0686400001,54510811.65874,280381.06013,643842.6344699999,1942738.40696,3069362.9937100005,251139.80757,1986347.36169,74714474.93729,1867673.17352,3688190.11184,3569826.2366,7583639.07915,23736666.56928,732976.7348300001,1450994.5210000002,6919548.75477,624939.9886,191649538.33469,60178211.6777,3138861.01143,24338265.70838,461420.77567,2147201.85799,6322503.7369800005,19719935.96738,2244977.18775,113254902.01366,1730112.39523,1198155.6566499998,850914.51949,20320404.78773,56046.8299,1302522.89346,112652383.35246,87698739.74183999,72401410.71398,1125908.0540099998,48938525.25211
05/2022,10991873.14373,9617.24334,1059055.10865,1061536.9374300002,1049850.4321400002,3958376.86093,2248205.31294,3353307.47388,238834.61377,5699059.30479,1340328.7601200002,13436047.86173,46265.4824,2445867.01025,1540538.51785,39749.16698,141870.47214,826660.7213600001,14897900.25735,143424.19610000003,7213168.14711,3415789.18535,355191559.52155995,34964807.11083,3004866.60651,864598.5926099999,55663806.35771,261982.40471,720958.85212,1895465.85804,3541281.34964,260382.92573,1617808.0871100002,75771699.24125,2078502.15145,3821082.95078,3641928.22954,8046301.50864,23591799.332920004,621217.50361,1521263.20954,6790191.005770001,411968.8654,205612109.20468,62196192.93082,3441073.54597,25021966.92689,381510.07063,2131527.44835,6440839.86996,20253999.38189,2173927.0240800004,116761687.55926,1709727.2184799998,1731976.1572500002,861504.6373800001,21392247.61056,58654.99217,1369548.4040800002,114648763.73333,91837539.09932,73693301.66129999,1078313.18239,48750200.92461
06/2022,11283730.29947,8347.996179999998,1009036.81335,952875.51802,970313.70115,3617091.03265,2183996.1282,3381063.17314,220540.10071,5702221.98071,1471415.67234,13620112.46582,32642.99983,2737653.58514,1651537.19982,33763.43524,140243.77836000003,812751.69151,15190119.6509,142554.83703999998,7182268.4682,3237740.29021,363851736.2475301,34367783.03681,3090872.24731,899753.5462599999,54426454.36833,255868.17164,814356.42966,1538167.44001,4072289.61334,246754.55411,540932.47168,74636949.47656,2324619.59761,3842456.88187,3848524.8436,6872671.824560001,24567503.03494,537577.42922,1372827.5252200002,6684382.759559999,508261.36649,198682057.20938,61403917.057500005,3741041.33261,23321101.26635,386748.99098,2230518.48442,6504310.31066,20929866.085860003,2259417.73811,118815855.49895,1627227.68954,1853885.61476,885628.80033,20986838.246270005,58395.45688,1267176.89384,117713067.89307,93090139.93107,74736771.30282001,1074744.63467,46834874.08437
07/2022,11322782.38221,5020.49085,870529.05907,1127425.85159,945686.48593,3113315.99704,2226981.16921,3635868.17299,236896.02823000005,4672872.24523,2071775.96999,17251339.89266,39529.35551,2134278.11572,1642513.10509,30318.41246,144881.42668,849388.97006,14232937.8604,147482.29917999997,7331875.46603,4375875.22925,382625515.63808,33009975.96869,3202562.18602,922770.33499,52062998.63882001,287115.20065,732482.81415,1870966.94044,4241816.29059,268842.8914,542707.1009300001,77484848.82149,2442229.28006,3770491.65806,4343031.2099,7721167.672610001,25758881.33753,526460.7943999999,1663713.95624,7404793.70523,665018.4379799999,196332413.9151,61132364.07867,3375495.0793000003,23936216.50867,383742.92989,2179733.75243,6722072.7659,21066788.616209995,2406036.41427,120778477.5459,1610022.0146200005,1949318.79721,777436.0415599999,22043113.21718,51769.55968,1485265.2616100002,142315761.68423998,99600849.27447,75915180.48717,1035052.64684,48480028.4783
08/2022,11818659.67923,3542.1412199999995,840603.53769,1083081.98216,1001121.29247,3149968.8272100003,2275127.67776,3590687.70254,219424.65967,4906713.77717,2388196.0923899994,17191772.334289998,47883.08091,2082829.00127,1804158.48946,22273.31187,142876.08989,966406.61369,14568448.75047,149630.10087,7214791.098780001,4252228.85795,403998014.56033,38887949.73878,3065010.36174,963580.73058,56886306.65162001,317347.30492,875695.64318,2186865.65964,4940398.115309999,309218.29767,508982.58052,82122292.28518,2767998.01336,3875427.64602,5789626.008049999,10016430.463,27670223.05331,633477.6313700001,2182293.47601,7495907.10133,536841.4106899999,199904867.20436004,65554179.26639,3558674.80755,25966093.00724,437727.18871,2309553.09821,7555900.53938,22647507.05515,2612037.30775,128491952.93077,1652523.5840599998,2150890.76805,802345.2197799999,23129054.86705,57093.57208,1277160.50814,163044915.50868,110320505.40216,84541439.54434,1058637.98257,52732184.780030005
09/2022,11934853.671999998,9542.74468,816736.4751,1002345.03695,892771.6233399999,2983786.45112,2153448.78737,3769359.75658,273253.65666000004,5240065.64573,5745556.66889,17495283.85751,33125.60618,2226807.19796,1803604.67612,25114.22613,120674.04119000002,1122568.49158,15068092.96203,61943.06601,7000293.30452,4638392.724359999,408737244.3993,40410126.32491,3356394.27026,959811.48204,57314617.82317,290782.42710000003,829811.19287,1821634.88465,5021400.93404,314745.29364,492284.94518,78980089.69875,3089782.44199,3747281.58322,5858929.0552900005,8914368.763729999,28839452.834950004,516567.78113,1707543.47983,8590160.404099999,554347.3184,204741905.28493,65656307.08921,3521048.00985,25647171.59007,437868.72331999993,2409807.62083,7491960.82185,22734384.4782,2605400.54502,126869759.32565,1620629.6938200002,2187809.4256200003,912830.14642,22773982.59978,57294.22272,1275498.49113,133743094.92939,108422475.41706,83615256.43669,1251410.48305,53959841.218150005
10/2022,12949773.33536,4790.95619,816787.52263,1308193.75194,946490.32551,3115889.47667,2108834.60703,3772041.68622,671930.4857099999,4869738.1516,5712381.07991,18688314.57849,50607.98788,2582761.3926,1748781.65865,18956.03558,114569.12847999998,1021724.38147,15199510.74267,57827.74145,8030803.101500001,4381369.734119999,416148362.37939,41736516.21676001,3384470.24709,945411.82886,57144594.96051,357239.15457,879288.08918,1609895.05404,4960596.34731,365856.3935,505604.87029,81753395.76257999,2823522.6317,3796840.51611,5825361.71976,9774972.69831,29639207.52779,519627.23894,1639090.27913,9559267.70853,560868.24598,206324820.9897,65429245.13057,3540764.4519,26387541.02853,419799.15167,2337852.12834,7638634.84188,22367083.31925,2743186.1558700004,128883828.97196,1636107.15774,2341207.42913,851866.4031000001,22564281.54997,56107.17443,1564597.3570200002,153722824.09552002,116490807.57333998,82690109.08755,1479051.0838,57839567.98535
11/2022,13091661.4653,4011.6321,990714.85996,1263902.06876,1026501.20243,2950402.18727,2115190.16905,4098967.65612,291008.86711,5037602.82021,6262836.67504,18453191.28115,35921.081190000004,2321302.31675,1729373.34285,22263.38083,124312.20529,1000639.94649,15820648.36549,58588.95729,8132718.85422,4962062.91275,425980370.21336,44644961.81611,3819562.83656,945806.69459,58623832.67044,347587.58075,943362.88342,2199742.41188,4945975.79501,356098.54954000004,272531.85591,86963001.57595001,2323046.5009,3742260.70282,5364382.8162,10589581.8798,30338858.60317,540021.41896,1409046.7320500002,9233848.55474,580484.84166,208845123.35176,70052509.81184,3947510.84377,28358083.35234,442961.29245,2354993.4924600003,7889799.159399999,23180946.00569,2698720.26094,133714228.39684,1599620.10577,2853308.76367,904468.5378,22862574.20006,56118.05515,1606886.87828,177286500.47954,120070228.2481,87024343.19103,2025967.15762,60675263.87728
12/2022,13814572.6157,2165.28567,1123299.72481,1636226.30877,951743.78495,3683469.64674,2081152.96252,4059926.87635,391935.55686,4778028.870650001,9012778.64602,17609435.73389,41296.99687,2425005.73772,1735477.67418,20575.19553,151905.294,933285.3411,15762552.026680002,57147.87038,9629161.69964,4642955.80857,432615948.53349,46891623.40208001,3407541.8681300003,962559.02726,59642640.38396999,356901.98538,998429.09268,2542294.00025,4696970.92845,378813.70248,271673.30048,87445586.90687999,1602613.85945,3624998.77776,4617769.37812,11554296.77246,31237452.05963,508637.08114,1061495.44874,10484732.85038,622408.1636099999,216997323.37347,73195618.47767001,4001397.77787,31795816.48662,455273.34627,2645391.2308,7977914.15467,23408801.98007,2816246.47426,138788659.30244002,1748543.38315,3121367.2024,963332.44856,23192197.58461,57013.14440999999,1263870.6925199998,158631670.35679,117708608.25468,86477564.27469,1642133.06991,63800064.041250005
01/2023,14579786.03424,4145.08801,1535467.4211000002,1806207.56508,1051190.86727,4580376.21504,2132674.03157,4402032.7959900005,430417.5348,5857144.61087,9099111.484759998,16306568.30343,74655.80583000001,2789922.02908,1850756.8925,35572.71733000001,153429.25782,1009845.04303,17038115.524150003,56165.031630000005,9996123.60529,6210026.511100001,464871500.50483,44768088.48149,4276289.65028,901416.18938,63492064.83314,617518.28281,1181585.0365799998,2439003.01264,4734289.25918,464132.64168,273525.92212,90165476.80015,1799512.26922,3535626.4036000003,5096678.664299999,10799372.37853,32820625.19606,629286.10887,975251.88081,9471758.38193,386791.71001,231297542.81984,77619525.34183002,4615016.02226,35824490.91743,485990.67147,3198107.9704400003,8210873.24646,24024955.735030003,3286598.9756,143520873.34755,2220320.21838,4387108.2948,1126101.0034599998,24872277.01589,56907.13232,1962264.83811,175616649.22774002,112755403.5041,92671303.26617,1925713.65325,69316352.52581
02/2023,15310955.00659,2784.8312800000003,1064269.55611,2673007.19981,1060668.8448299998,4170924.70989,2033410.50146,,361887.96067,5991873.60459,9422837.734039998,14812543.089800002,37101.17846,2915986.9288600003,1780948.12848,22431.51797,151540.09337,928949.68246,17452295.99891,58753.53304,9948159.06465,5423964.8111000005,454005375.92101,47409439.48368,4036930.34429,896872.9174700001,64730161.67549,621023.92781,1102785.61931,2481235.63594,5032216.99636,502848.51244,274843.72512,91704166.90539,3226297.9620700004,3776643.95742,5930505.31424,10855210.33932,33800237.19937,610878.07532,1051704.6289499998,9928732.50284,416472.66174,235204370.91564,77246622.00667,4546439.65561,,496927.60405,3056959.11694,8053050.48258,24865009.47877,3173630.87515,149754342.1561,2036734.34179,4551745.60153,1207990.35569,23966744.64539,56906.66928,2341359.20024,191388235.88353,111626194.40014,93097072.47172,1742947.4273300003,69644097.55996001
03/2023,16220123.67691,7360.21196,1236186.89883,2542220.93261,1070979.589,4413501.64148,2072686.53669,,384388.40415,6800905.29943,9564084.35947,14862168.64252,38940.46799999999,3147162.34751,1845754.92329,22886.83216,151403.46201,1473710.33466,16741992.3553,55959.65239,9731116.10961,5770114.185779999,462514845.18957,50306236.03317001,3988191.14547,855492.4495400001,69226292.40022,605151.7218500001,1061207.67307,2360695.23433,4960645.9162,442085.2845,263871.32026,92413170.86323,,3378171.35802,6745604.11932,11726178.51846,33507119.08702,549239.62361,1097699.7971400002,10049752.52869,389150.44332,245225290.7039,73342122.50723,4353152.9079,,519257.667,2916895.75996,8042428.49715,25143837.5368,3124202.9383300003,149992465.49686998,2072337.17221,4401604.10982,1239247.86641,24047497.45364,56880.74113,2067339.31485,193899088.63633,116525531.77376,94508379.49849,1767135.1603,72081543.46551001
04/2023,16091477.70507,5295.88087,992026.27868,2993786.74869,1256403.1435699998,3350103.13844,2100549.32316,,284158.75079,8090268.3892,958435.10706,17142647.63952,68263.18507,3435229.11358,1831344.54701,24713.84107,147529.21296,1927241.38851,16921773.052190002,53778.45163,10253155.77378,5275735.09293,464451555.63229,51286345.48675999,3587733.2616799995,836203.41594,75759088.97881,628439.6867,1124567.52836,2545467.37227,5031465.45756,460190.12379,261354.32086,93115382.13642,,3250723.2079600003,6486239.00417,14954937.27869,35207412.56874,702899.2456899999,1072933.52452,10747049.22465,377285.91663,239869458.1948,78903686.0984,5069720.96737,,501030.4522499999,2740633.50114,8648987.05972,25701619.31391,3495195.59306,144786380.9664,2126347.56446,4102114.90881,1211552.51509,25361106.04153,59413.85745,1816830.89906,196169547.16099,128097971.96912,97343388.72584,1840836.68257,73688875.69715999
05/2023,16064453.23424,5444.26921,959090.19354,3815711.71213,1183621.1833499998,3274341.14758,2117059.5019,,286112.98720000003,9089698.57719,987110.70722,16223026.01452,45679.07043,2743290.52934,1927842.81736,23731.15452,96663.57059,1988816.25052,18610591.2281,56326.87636999999,11538430.69996,5761998.07737,467764414.1435101,48378097.39641,3461817.2992,886800.5857099999,75860856.38804,608650.2109300001,964478.66831,2783290.10502,5400443.952179999,363617.3210300001,264791.75957999995,95227582.12211,,3245358.19097,7907769.61709,14991292.34755,36684837.73145001,691156.7010700001,1031086.21177,10928997.96628,456483.92849,247216026.60704,81499505.56583,5001115.91932,,532975.78845,2922184.47488,8682955.06876,26014947.42353,3576026.58181,147174549.60082,1991464.25153,4355733.426549999,1267237.52821,26161739.93282,65017.80625000001,1716666.8461,204985601.012,130782387.61097,107247233.73996,1781406.00372,74120967.89425
06/2023,16801160.18728,1972.05083,1069443.1550899998,4344286.65254,1201239.8202300002,3512879.05672,2164722.04036,,357640.76835,9048856.49565,949454.90772,16915189.427860003,47360.8652,2899488.44587,1965141.41757,21640.12053,89665.43398,1092082.79136,18908359.80417,51172.56092,13532760.70678,6144523.45821,469200137.26932,51985600.67218,3297205.81158,830730.99267,78734575.16141,702810.67504,1050035.5238500002,2863348.51093,5196539.86455,296289.59608000005,182580.86452,98406473.03624,,3265415.74085,7074729.9401,15457849.37934,37940237.05316,752061.85122,971104.24242,11691277.79792,404963.96358,250764348.28717,75168395.44111,5331919.45626,,505400.28724,2982797.36454,8735095.22684,27061121.52071,3682745.62817,144792245.02841,2171679.1314800004,4315045.21642,1286240.59813,27202632.07096,82075.6988,1542173.29882,214279194.37718,136855350.8552,109183186.21955,2207257.16454,74296473.20912999
07/2023,16803091.087599996,2235.73077,1145454.4745200002,4852431.09821,1232565.21647,3336582.22249,2185265.54075,,251264.21187,7794596.48332,808274.3381,16285647.19277,70027.48948,3472997.4227500004,2058846.39647,21900.91639,75274.43177,964236.68902,19138708.81806,53766.850340000005,13205344.14883,6811602.23065,481702465.27962005,51297810.22274,4083667.93042,867334.05885,82280888.92072,751574.8132,1205900.74506,2805141.56835,4408915.8060800005,326172.18152,175602.88562,104355305.24015,,3309395.99571,7396960.813989999,17099592.7874,39315330.241720006,753817.9556600001,892989.5390100001,12931840.8858,456280.6981,257097846.89892,75547803.57596,5475876.02209,,494167.09962,3004163.3141900003,9252834.90566,27251290.71225,3811203.70882,146291912.34444,2295495.58173,5559031.52899,1342757.14597,28752106.62271,97519.10679,2032597.52471,218812800.42575,133365716.10320002,114305636.36146,2540758.99996,77319654.71068999
08/2023,16992946.76753,2411.04242,1148324.53183,4630184.55318,1327956.20409,,2358917.90888,,248392.46424,7345132.87491,881971.3998,16908942.53754,43610.67346,3369072.36688,2160024.31377,24469.24394,79267.67996999998,1097489.5670800002,19478207.18079,58718.62644,12948077.88509,7772555.910279999,488394309.83516,51671634.90798,4312078.89707,929320.69727,82055774.54856001,924014.12675,1288314.37305,2828812.3905100003,4310121.37495,302660.72607000003,184415.8925,109735126.6208,,3506659.33064,8315687.67064,17454447.08219,40609696.80966,692186.50716,976734.26508,12513071.49326,465695.58072,266628936.63964,76085646.05527,5437643.01302,,500240.21363,3017377.7303,9157361.55678,28517554.09246,4064876.16173,152269127.0136,2442663.32593,5631119.580329999,1331983.79047,30201581.1572,114622.16928,1306477.56773,219564126.32018,136901986.02609,117293288.87222,2611453.9813399995,78493979.71174
09/2023,17580564.41377,1813.7486,941990.76584,4147044.97086,1363817.2631,,2325798.20217,,323277.22825,7784070.65871,951818.68068,16136717.33202,41506.49755,2974731.15116,2193359.1951200003,24968.32895,67158.31650999999,1169959.01847,19994100.56982,74046.22044,14901261.010620002,8074481.73092,489025585.04439,54661138.92829,4016301.81719,865026.3640000001,81352245.834,928923.93076,1195847.86216,1841690.44574,4361152.61224,274507.4107,180054.20363,110636692.01236,,3633708.85898,7243613.09566,17969598.85292,42190729.126,714742.86448,897736.42744,12451292.22228,392865.64896,266941934.36634,74735881.18619001,5871838.94021,,495596.12217,3074468.76711,8443029.397170002,28154956.45635,4232633.715799999,152182890.57261,2452450.38385,6274060.15316,1381241.94919,30617382.64552,115783.09518,912402.1674,208397412.70155,131874962.19202998,115730117.96882,2697309.86145,79193160.2441
10/2023,18325843.63399,1134.04357,1014190.03176,3971753.54866,1378685.40389,,2331206.49831,,333249.2479,8419823.49569,739186.33458,16632257.529709997,65460.42796,2923947.00392,2164325.90343,24827.24467,65361.91384999999,2548343.63244,18820749.36596,68665.01845999999,14814128.647969998,8975045.12346,501870296.80683,57466830.28848,3279040.65025,879344.69946,80390844.00036,880924.78526,1109837.3910299998,1853781.43404,4980305.5917,283043.10274,163900.36205999998,110875557.81891,,3781585.62501,7813551.12185,18632761.346940003,41371853.96201,705632.09121,892581.74634,13815631.18603,470886.53238,267426785.34224,74603554.13500999,5105462.15926,,488852.45704,3262761.3307000003,8362407.38669,29025644.660290003,4874534.42588,152412326.43881002,2535959.19294,6843208.99621,1404092.16482,28280060.04138,182766.94357000003,,200838098.61967003,129426873.28547,111461181.84548,2635780.5012400006,81160925.7907
11/2023,18890846.93433,1170.72774,952681.59438,3042408.93176,1892674.86857,,2343259.43627,,418059.41921,8829238.430239998,503191.88681,16997475.05082,41838.31936999999,3074921.62024,2044177.44514,25825.43572,60671.1265,2053535.22302,18976448.09387,63453.9146,17897701.24866,9220302.75182,502793018.93722,55203819.958550006,3389322.6700000004,917501.37978,85017328.00589001,759836.94612,1234177.82853,1634345.40476,5770977.897890001,334917.21803,172073.126,112529541.35471,,3822561.69403,8567574.49678,19074360.09015,41547378.02881,596287.2725999999,914509.66589,14490333.452490002,461214.01462,271689798.84675,77622677.90037,5460756.57971,,501090.59614,3274445.2395299994,8741082.744859999,29086823.1939,5052368.34894,149619951.43194002,2463445.68006,6811950.78072,1538032.79559,26457571.39672,131024.07714,,193874486.5142,134803134.57955,107500251.92865,2596538.33493,83029379.30612
12/2023,19957453.77788,1068.1086,1031004.86331,2715585.32621,1676374.06866,,2422719.63904,,549388.87237,9042235.61675,598110.9516,16725948.004820002,39925.76116,3082113.4207200003,1969491.02412,25500.92958,62918.00549,1618614.13596,20053799.11221,83871.64039999999,16965276.00682,9643778.29382,518230137.16243,59333816.42879,3335111.9798600003,935403.07102,82337014.93872999,728468.85418,1193801.8175100002,1615536.47468,5642923.025030001,367996.4339,155296.01674000002,115774741.28093,,3965819.61522,9036663.92501,19669063.79803,42470227.6864,599951.76338,948178.51225,14691230.07766,490813.9492100001,275998934.14806,77360459.67465,5466060.28012,,545230.47442,3367049.6291500004,9008825.67776,28967493.25786,5383267.254189999,150990249.15662,2545835.20102,7599775.666629999,1648298.34778,26856632.7453,139611.26234,,191322625.35087,142731594.90969,112485842.35408,2779503.63053,85243305.82519999
01/2024,20359332.64478,1079.79413,1183697.61947,3390185.04359,1995519.80462,,2604017.5011400003,,565296.94306,9377064.73618,871952.20237,18472941.90796,74905.72831,3213558.6954,2381680.76951,35749.20891,70877.7006,3038134.62343,24809852.44591,226228.73987,19472110.53704,12032033.00852,549686644.1132799,56125220.60227,4359807.202029999,959468.98784,90042076.51004,678912.98381,1667570.8498099998,1794999.52954,5690716.92044,745714.30555,196018.82092,126379135.65108,,4141428.16498,10172931.10834,20710731.30569,46441051.19245,577353.0992999999,787515.34157,16283980.64257,567168.2474100001,298969607.11719,81744544.29606001,6567183.297599999,,530722.20669,3751070.67049,9124257.21623,29784997.15275,6383773.117450001,158530647.88775998,3519136.36274,6817787.79814,1863795.1830400005,29317241.49411,187205.60808,,212986687.49501,154079931.70199,119186501.37085,3084994.64929,94133318.02046
02/2024,20134017.6473,804.9438,1142949.47134,3095354.894,2029420.8279,,2745653.4307700004,,535198.09518,9596934.0178,559400.07217,18032602.00709,57436.19492,3160038.53941,2189805.61346,48645.64861,68604.22176,2216381.46754,22235381.50185,125427.3488,19753878.18654,10134682.2207,523050418.3536601,56918148.26642,3964902.32167,867930.96397,91987218.81709,752779.41863,1654566.83156,1786127.99231,5709772.63705,464670.96119,131779.39093999998,121991978.47161,,4314332.53565,9317648.19621,20150353.89552,45261692.57314,548547.80406,955522.40061,15930099.19094,564984.3543199999,298048413.53241,80098585.35127,6468456.319619999,,509753.21836,3773963.73762,8949759.854629999,30538597.80098,5981339.467660001,160003750.21153,2845991.0245700004,6710140.649660001,1956491.23638,28412252.49718,253177.40786,,207655118.19053,153043307.65138003,119882863.37841,3065527.51731,90935306.82273
03/2024,21074129.887180004,442.00558,1162226.82556,3962246.43429,1929534.86126,,2690888.41866,,548136.23489,9111695.51308,819261.2234199999,18652379.99802,58663.48954,3080995.34994,2078448.48808,36340.54669,63380.00021,2540168.03162,22119006.21809,70478.81516,19243578.13592,9341723.6702,529403273.96868,56578558.75913,4044593.27183,870705.5767300001,95208553.99484,790986.18522,1421930.94711,1708014.83633,6005208.41063,503904.21766,152271.96731,125189067.18755,,4113522.83352,11861721.61107,22480683.61214,45331355.990030006,603686.33311,1034122.20958,15813291.10262,597516.34991,306764976.31131995,80728873.06660001,6271794.074240001,,519562.58449,3771785.73898,8806569.250209998,31091610.809180003,5917758.34174,163302729.96945998,2632689.0204800004,6963273.17597,1656287.82115,29931292.34267,292031.50581,,210528441.64354,147007626.65848,122239672.40046,3203825.32295,92990190.63338
