,Bank,Date,INF,PR,CR,OE,ROA,NIA,NIM,RA,SCTA,CDR,LAS,SIZE,is_Credit_Agricole,is_FUIB,is_Kredobank,is_OTP,is_Oschadbank,is_Pivdennyi,is_Privat_Bank,is_Raiffeisen,is_Sense,is_Ukrsibbank,is_Universal
0,Pivdennyi,01/2019,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0
1,FUIB,01/2019,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0
2,Ukrsibbank,01/2019,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0
3,Credit_Agricole,01/2019,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
4,Universal,01/2019,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1
5,OTP,01/2019,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0
6,Raiffeisen,01/2019,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0
7,Privat_Bank,01/2019,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0
8,Oschadbank,01/2019,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0
9,Kredobank,01/2019,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0
10,Sense,01/2019,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0
11,Pivdennyi,02/2019,-0.043478260869565,0.0,-0.0662189786715107,0.2070982901173004,-0.1471453465409136,0.94279577481459,-0.1452162057396167,0.0787222597865082,0.0635726225648722,0.0157837958961319,-0.0061856716674887,-7.792125275762896e-05,0,0,0,0,0,1,0,0,0,0,0
12,FUIB,02/2019,-0.043478260869565,0.0,-0.0472136039406957,-0.0192616299936383,-0.0793931045212246,-0.915124053374128,-0.0717879582457773,0.0233859047461655,-0.0245686901344738,-0.0103506704287187,-0.3843256456434956,0.0006476874549208,0,1,0,0,0,0,0,0,0,0,0
13,Ukrsibbank,02/2019,-0.043478260869565,0.0,0.0420478785382421,-0.0201020277264295,0.067594625665867,2.0409500749065748,0.1421375294078708,0.0453018412619046,-0.0936483387260053,-0.0193670209651557,0.0499812268980843,-0.0003745245622641,0,0,0,0,0,0,0,0,0,1,0
