,Bank,Date,INF,PR,CR,OE,ROA,NIA,NIM,RA,SCTA,CDR,LAS,SIZE,is_Credit_Agricole,is_FUIB,is_Kredobank,is_OTP,is_Oschadbank,is_Pivdennyi,is_Privat_Bank,is_Raiffeisen,is_Sense,is_Ukrsibbank,is_Universal
0,Pivdennyi,01/2019,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0
1,FUIB,01/2019,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0
2,Ukrsibbank,01/2019,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0
3,Credit_Agricole,01/2019,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
4,Universal,01/2019,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1
5,OTP,01/2019,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0
6,Raiffeisen,01/2019,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0
7,Privat_Bank,01/2019,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0
8,Oschadbank,01/2019,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0
9,Kredobank,01/2019,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0
10,Sense,01/2019,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0
11,Pivdennyi,02/2019,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0
12,FUIB,02/2019,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0
13,Ukrsibbank,02/2019,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0
14,Credit_Agricole,02/2019,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
15,Universal,02/2019,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1
16,OTP,02/2019,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0
17,Raiffeisen,02/2019,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0
18,Privat_Bank,02/2019,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0
19,Oschadbank,02/2019,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0
