,Bank,Date,INF,PR,CDR,CR,LAS,NIA,NIM,OE,RA,ROA,SCTA,SIZE,is_Credit_Agricole,is_FUIB,is_Kredobank,is_OTP,is_Oschadbank,is_Pivdennyi,is_Privat_Bank,is_Raiffeisen,is_Sense,is_Ukrsibbank,is_Universal
0,Privat_Bank,01/2019,9.2,18.0,0.2396577116956195,0.0954798439832257,0.3398922592841487,0.0017080275769406,0.0032408215043413,0.0014632119054004,0.0667173393828303,0.007402056709753,0.0245844001859158,19.99572131281689,0,0,0,0,0,0,1,0,0,0,0
1,Credit_Agricole,01/2019,9.2,18.0,0.8316717808028266,0.2991040419395234,0.0923281059819169,0.0116150211406773,0.005587058156477,0.0036662832028662,0.1160571866494894,0.008528883471871,0.0161993823882024,17.349504510097557,1,0,0,0,0,0,0,0,0,0,0
2,FUIB,01/2019,9.2,18.0,0.7004463424504345,0.0726877472891093,0.2042205763143601,0.0026350884666825,0.0064173220196206,0.0051986342345953,0.1147442447259055,0.0098285234055106,0.0266362555297248,17.783833966439666,0,1,0,0,0,0,0,0,0,0,0
3,Kredobank,01/2019,9.2,18.0,0.8191375580339627,0.1044362693537102,0.2203152327835197,0.0027372735970544,0.0071453151613874,0.0051793213185004,0.1200423594497605,0.0097394393774982,0.0385594618464769,16.57393424113111,0,0,1,0,0,0,0,0,0,0,0
4,Oschadbank,01/2019,9.2,18.0,0.419543080485994,0.0908201085930643,0.3921659670948509,0.0033834627673888,0.0026018020856567,0.0020155037163691,0.0645742190555587,0.0041919999869564,0.0189551343110033,19.39285813013068,0,0,0,0,1,0,0,0,0,0,0
5,OTP,01/2019,9.2,18.0,0.8094533815932698,0.149451943281254,0.1376510673089889,0.0072206531649391,0.0080642648847952,0.0037761097102296,0.1382601148514187,0.011842201626763,0.0247826370460288,17.411280594565103,0,0,0,1,0,0,0,0,0,0,0
6,Pivdennyi,01/2019,9.2,18.0,0.8732384393661493,0.0706400528854919,0.1344918005635612,0.0008746316515471,0.0046384049956241,0.0036851005591891,0.0964325106356036,0.0073198199400617,0.0423799730278563,17.014873701259884,0,0,0,0,0,1,0,0,0,0,0
7,Raiffeisen,01/2019,9.2,18.0,0.8237245376548178,0.9558589887833818,0.1221489679863444,0.0154214067035547,0.0077888829318315,0.0051087545247757,0.1571291733251119,0.0117004575322003,0.0601363369997136,18.07643448309622,0,0,0,0,0,0,0,1,0,0,0
8,Sense,01/2019,9.2,18.0,0.580792574208285,0.6373672976089314,0.1169826556221158,0.0211440338861942,0.0052607689117166,0.0047053506435387,0.0743526061984764,0.0100075762643784,0.0144542278994818,17.98837902135569,0,0,0,0,0,0,0,0,1,0,0
9,Ukrsibbank,01/2019,9.2,18.0,0.6049310545821333,0.0810058624962812,0.0994480802313162,0.0352395402408226,0.0072177231879994,0.0048648214874422,0.1264453855849071,0.0104519114086415,0.0488868491182955,17.733109175929332,0,0,0,0,0,0,0,0,0,1,0
10,Universal,01/2019,9.2,18.0,0.6905496882507745,0.1690592451572158,0.1206184605611469,0.0670000505641917,0.0057070144683182,0.0090577194334848,0.0797781678828398,0.0113996053275295,0.0234797459056725,16.11422168713762,0,0,0,0,0,0,0,0,0,0,1
11,Privat_Bank,02/2019,8.8,18.0,0.2434404201019572,0.0891572662309413,0.337789797365896,0.003318348759747,0.0027702017020015,0.0017662405890881,0.0719694791059901,0.0063128785100809,0.0261472949799188,19.99416322116241,0,0,0,0,0,0,1,0,0,0,0
12,Credit_Agricole,02/2019,8.8,18.0,0.8230634202948709,0.2849822621663295,0.0568440470393756,0.0009858359143945,0.0051859746588231,0.0035956646123607,0.1187712889615823,0.0078517489349394,0.0158013847819368,17.360741566517838,1,0,0,0,0,0,0,0,0,0,0
13,FUIB,02/2019,8.8,18.0,0.6868807834512303,0.0757441128583402,0.2144277712763857,0.0080131724701436,0.0073294643169042,0.0050941311450719,0.1199423702861956,0.0104928787659543,0.0241418144494847,17.777173483808006,0,1,0,0,0,0,0,0,0,0,0
14,Kredobank,02/2019,8.8,18.0,0.8667095159311003,0.1014563553944775,0.2095880205396977,0.0045171142747063,0.0065597811296076,0.0057484236470692,0.1243624308020041,0.0091338455971248,0.0362608682001394,16.546347780328617,0,0,1,0,0,0,0,0,0,0,0
15,Oschadbank,02/2019,8.8,18.0,0.4066394259089947,0.0872425324115254,0.3493629485803739,0.0100834750361675,0.0060542070682191,0.0073354052173964,0.0632287984517429,0.0068950695282554,0.0185235185173354,19.40815870232093,0,0,0,0,1,0,0,0,0,0,0
