Year,PR
01/2019,
02/2019,
04/2019,
05/2019,-0.009293981481481467
06/2019,-0.009293981481481467
07/2019,-0.011812500000000033
08/2019,-0.0095909003277424
10/2019,-0.023904625817938466
11/2019,-0.035680081667149664
12/2019,-0.056540794242633065
01/2020,-0.06208224277719753
02/2020,-0.10641607654547265
03/2020,-0.09844931212709533
04/2020,-0.10618477012030085
05/2020,-0.09959069561299283
06/2020,-0.134022513794811
07/2020,-0.14258839490215452
09/2020,-0.0890731797919762
10/2020,-0.03615651312530956
11/2020,0.0
01/2021,0.0
02/2021,0.0
03/2021,0.024444444444444467
04/2021,0.05342995169082123
05/2021,0.07723947550034503
07/2021,0.05946169772256723
08/2021,0.045726735138499834
09/2021,0.036500544662309335
10/2021,0.03582190194773847
11/2021,0.0205713572854291
01/2022,0.039321357285429064
02/2022,0.056506238859179964
05/2022,0.056506238859179964
06/2022,0.48983957219251334
07/2022,0.48055555555555557
08/2022,0.48055555555555557
09/2022,0.0138888888888889
10/2022,0.0
11/2022,0.0
12/2022,0.0
01/2023,0.0
02/2023,0.0
03/2023,0.0
04/2023,0.0
05/2023,0.0
06/2023,0.0
07/2023,-0.0052
08/2023,-0.04055148313693616
10/2023,-0.08070299828845127
01/2024,-0.15043839880524715
02/2024,-0.11508691566831097
