,CDR
01/2019,
02/2019,
04/2019,
05/2019,0.012012696218014533
06/2019,0.006259620520712834
07/2019,-0.007935356354514431
08/2019,-0.007931113675177764
10/2019,0.006643193928976436
11/2019,0.005962890658216136
12/2019,-0.0204383402470603
01/2020,-0.043632527891155494
02/2020,-0.04087476679511653
03/2020,-0.0016397106642779661
04/2020,0.0034455521655198016
05/2020,-0.0138086035876923
06/2020,-0.029605044582529567
07/2020,-0.01937506739800793
09/2020,-0.009249731333959333
10/2020,-0.006577315679693632
11/2020,0.00021701177290489997
01/2021,-0.006561639174126166
02/2021,-0.0066068972547355664
03/2021,-0.011549526789784333
04/2021,0.005087234871524367
05/2021,0.012701810829265801
07/2021,0.023225295434772402
08/2021,0.0385988097066899
09/2021,0.032274906894223694
10/2021,0.03561413369399436
11/2021,0.021720234149550034
01/2022,0.016990090369981902
02/2022,0.02838911411415253
05/2022,-0.025120322431695968
06/2022,-0.041979500354382894
07/2022,-0.07536609633703127
08/2022,-0.03990154659758074
09/2022,-0.030610100354467165
10/2022,-0.037858101619497965
11/2022,-0.04316334387855356
12/2022,-0.06676476044104697
01/2023,-0.05408617293410766
02/2023,-0.052153979922917794
03/2023,-0.02453521767173457
04/2023,-0.031345555529251105
05/2023,-0.022824635043815933
06/2023,-0.024489605787644197
07/2023,-0.015749218850906466
08/2023,-0.004419178537203
10/2023,0.010331878893515568
01/2024,-0.0030286920006642967
02/2024,-0.015510730860512065
