,SIZE
01/2019,
02/2019,
04/2019,
05/2019,-0.00013801322597510967
06/2019,0.00015809808057095701
07/2019,-1.383626979966662e-05
08/2019,0.0004565102991621334
10/2019,0.0008893159982411333
11/2019,0.0013031514189567998
12/2019,0.0018840977591572331
01/2020,0.0015679461100383668
02/2020,0.0014072827206149665
03/2020,0.0010303386078106666
04/2020,0.00048675575621933326
05/2020,0.0006972476432070999
06/2020,-0.0003529133203817667
07/2020,0.00013727729413126667
09/2020,0.00021139877185933338
10/2020,0.00047549879038863327
11/2020,-0.00025735831048730005
01/2021,-0.00035074031410630015
02/2021,-0.00027466850370160006
03/2021,-5.401723892560007e-05
04/2021,-9.71915097914334e-05
05/2021,-5.0468550761533404e-05
07/2021,6.175493916062812e-05
08/2021,-0.0003828396638027386
09/2021,-0.00011735371017720522
10/2021,-0.00010691765634713263
11/2021,0.0004484515821826674
01/2022,0.0008763296015423675
02/2022,0.0008197349387940089
05/2022,-5.10902802157912e-05
06/2022,-0.0006624132786659911
07/2022,0.0003378379245006667
08/2022,0.0008721845599031705
09/2022,0.0007471944209248705
10/2022,-0.00010054546445826283
11/2022,0.0002772468243229666
12/2022,0.0011789431179889
01/2023,0.0011193625543981665
02/2023,0.0011505602630281333
03/2023,0.0010328423872927666
04/2023,0.0017962256995658003
05/2023,0.0016451526817667667
06/2023,0.0018367218824614003
07/2023,0.0015783630422514666
08/2023,0.0018287766381084667
10/2023,0.0019080131155349335
01/2024,0.002563943959824434
02/2024,0.002202617162723067
