,NIM
01/2019,
02/2019,
04/2019,
05/2019,-0.012083600739462297
06/2019,-0.0712076843389208
07/2019,0.010621336546803972
08/2019,-0.017720103621752494
10/2019,0.011964187421104203
11/2019,-0.007763872831325163
12/2019,-0.0072581986601514955
01/2020,0.008676836551142939
02/2020,-0.00426153026397356
03/2020,0.012367441311072406
04/2020,-0.010514115826225629
05/2020,-4.048302250359593e-05
06/2020,0.0006040467138283039
07/2020,0.012324413453481503
09/2020,-0.005970928759531362
10/2020,0.02278950742620947
11/2020,0.015063118278227372
01/2021,0.06582409617134598
02/2021,0.012039110181729104
03/2021,0.042814181771960245
04/2021,0.013781515055025005
05/2021,0.05425671274334067
07/2021,0.03472360424899544
08/2021,0.036998694012610245
09/2021,0.02192893242808991
10/2021,0.015522582622449772
11/2021,0.01724468200029104
01/2022,0.037597372576809375
02/2022,-0.0069724254788942576
05/2022,-0.0021948205909575248
06/2022,0.0006711204748237424
07/2022,0.04254918618241397
08/2022,0.028606576385730876
09/2022,0.04978414609563875
10/2022,0.04106500495244325
11/2022,0.05520901448891611
12/2022,0.009206070989937884
01/2023,0.01837989132686592
02/2023,-0.041158421831626345
03/2023,-0.009187408786374173
04/2023,-0.038070146621980806
05/2023,0.030408417722006687
06/2023,-0.014564139173734046
07/2023,0.03705660261869922
08/2023,0.01707609070048995
10/2023,0.01763979065140838
01/2024,-0.014209089353946583
02/2024,-0.03761651426235709
