,NIA
01/2019,
02/2019,
04/2019,
05/2019,-0.006157959444232488
06/2019,-0.06260943842744453
07/2019,0.39306103207400667
08/2019,0.3386905718265661
10/2019,0.29227520766018295
11/2019,0.7188013606632898
12/2019,0.654905622165653
01/2020,0.4153625490139823
02/2020,-0.3725718181819484
03/2020,0.4399272616159003
04/2020,0.43068286465873623
05/2020,0.5410164747323214
06/2020,0.046758958163374574
07/2020,0.1691828714296768
09/2020,0.17949972586885088
10/2020,-0.05368225812734322
11/2020,0.004977633362043922
01/2021,0.057535820080958346
02/2021,0.6795582980964413
03/2021,0.883526913703974
04/2021,0.5035038606453519
05/2021,-0.17179994254451048
07/2021,-0.15745306399573394
08/2021,-0.07445752488960661
09/2021,0.1786243601712778
10/2021,-0.06039834380481984
11/2021,0.4561216991977606
01/2022,0.08265428488678965
02/2022,0.0916573409910969
05/2022,-0.4712818758096928
06/2022,0.8403197610768919
07/2022,0.6880113304279964
08/2022,0.8054839474164709
09/2022,3.847202477228968
10/2022,3.767147408538422
11/2022,4.847640475047174
12/2022,0.659014219019047
01/2023,0.7210116884665639
02/2023,-0.021057265044463258
03/2023,0.3227241928881552
04/2023,0.3899535450509632
05/2023,1.2143770411381
06/2023,0.6744398400153662
07/2023,0.7326214173336073
08/2023,-0.3596018049735143
10/2023,0.04187652484549705
01/2024,0.13747460664889277
02/2024,0.25344689047351204
