Year,INF
01/2019,
02/2019,
04/2019,
05/2019,
06/2019,
07/2019,
08/2019,3.0408854166666663
10/2019,2.1742187500000005
11/2019,-0.1403645833333329
12/2019,-1.5351562499999987
01/2020,-1.654600694444444
02/2020,-1.6740451388888884
03/2020,-1.4393229166666668
04/2020,-1.7698784722222225
05/2020,-1.6323784722222212
06/2020,-1.3865451388888896
07/2020,-1.2823784722222222
09/2020,-1.0546006944444457
10/2020,-0.8716145833333337
11/2020,0.5575520833333345
01/2021,0.6763020833333344
02/2021,0.3731770833333353
03/2021,0.8662326388888889
04/2021,0.3009548611111126
05/2021,0.5523437500000012
07/2021,0.1551215277777782
08/2021,-0.1615451388888891
09/2021,-0.7115451388888889
10/2021,-1.4990451388888881
11/2021,-2.512934027777776
01/2022,-3.6507812499999974
02/2022,-3.3966145833333314
05/2022,1.0513020833333353
06/2022,2.231510416666666
07/2022,1.857899305555558
08/2022,2.4426215277777783
09/2022,1.956510416666668
10/2022,2.6842881944444468
11/2022,2.863454861111113
12/2022,3.167621527777781
01/2023,3.8509548611111133
02/2023,4.637065972222224
03/2023,2.9075520833333344
04/2023,2.0908854166666657
05/2023,-0.16119791666666683
06/2023,
07/2023,
08/2023,
10/2023,
01/2024,
02/2024,
