Year,PR
01/2019,
02/2019,
04/2019,
05/2019,
06/2019,
07/2019,
08/2019,2.084557291666668
10/2019,2.0273697916666693
11/2019,2.154453125
12/2019,-1.2865885416666654
01/2020,-1.1970052083333327
02/2020,-1.8361718749999985
03/2020,-1.2625607638888876
04/2020,-0.7672829861111115
05/2020,-0.8270052083333332
06/2020,-0.768949652777777
07/2020,-0.3657552083333342
09/2020,0.39993923611111093
10/2020,0.01955729166666642
11/2020,0.2211197916666674
01/2021,0.4302864583333348
02/2021,-2.7103385416666654
03/2021,-2.430338541666666
04/2021,-1.2474218750000001
05/2021,-0.7363107638888884
07/2021,-0.4235329861111096
08/2021,0.23966145833333324
09/2021,0.260633680555556
10/2021,-0.6149218749999998
11/2021,-1.8300607638888868
01/2022,-3.1266927083333336
02/2022,-3.9259635416666674
05/2022,-5.226380208333335
06/2022,4.298411458333332
07/2022,3.928828125
08/2022,3.3850781249999993
09/2022,2.3003559027777767
10/2022,1.492300347222222
11/2022,0.888828125000001
12/2022,0.8098003472222224
01/2023,1.2821614583333347
02/2023,1.731605902777777
03/2023,1.4245572916666676
04/2023,2.079453124999998
05/2023,3.043619791666668
06/2023,
07/2023,
08/2023,
10/2023,
01/2024,
02/2024,
