,CDR
01/2019,
02/2019,
03/2019,
04/2019,
05/2019,
06/2019,-0.0659437260249395
07/2019,-0.0843446812977273
08/2019,0.1041622517011857
09/2019,0.2201674606829957
10/2019,0.2692680568631633
11/2019,0.4113169847150413
12/2019,0.0299549098123881
01/2020,-0.2751674290983876
02/2020,-0.2758265697331916
03/2020,0.0628828410412873
04/2020,-0.0138751801491192
05/2020,-0.1739627258792344
06/2020,-0.1404701967887272
07/2020,-0.1201141923500097
08/2020,-0.0003698359931068
09/2020,0.0027679755415608
10/2020,0.1108566438567066
11/2020,0.1809859898430899
01/2021,-0.2243234501550945
02/2021,-0.1587901735708392
03/2021,-0.2557102273878406
04/2021,-0.1209970186936963
05/2021,-0.0332563967660402
06/2021,-0.0124140947287676
07/2021,-0.0408443557428457
08/2021,0.1775065114156273
09/2021,0.0634463106613125
10/2021,0.1809476067642705
11/2021,0.2417732031315234
12/2021,-0.2243003712156248
01/2022,-0.0110906072120817
02/2022,0.6539482762850684
05/2022,0.2921600731467828
06/2022,0.0931318076757827
07/2022,0.0322581543842881
08/2022,0.0982206698927017
09/2022,0.1482209651066268
10/2022,0.096679525817958
11/2022,-0.0006590856793415
12/2022,-0.3233303216459422
01/2023,-0.2346759805349867
02/2023,-0.2406288780126213
03/2023,-0.1796158400427252
04/2023,-0.1742388663195901
05/2023,-0.142356585263069
06/2023,-0.1662992945303827
07/2023,-0.1285923523977095
08/2023,-0.0593074370632114
09/2023,
10/2023,
11/2023,
12/2023,
01/2024,
02/2024,
