,RA
01/2019,
02/2019,
03/2019,
04/2019,
05/2019,
06/2019,-0.0646653358397228
07/2019,-0.0100672482445938
08/2019,0.0121409742939309
09/2019,0.0364404371561961
10/2019,0.0202701737705863
11/2019,0.050665062585927
12/2019,0.0181637920604345
01/2020,0.0296892898217835
02/2020,0.0399654429000602
03/2020,-0.0191750013651963
04/2020,0.025073230752818
05/2020,0.003439683726812
06/2020,-0.0053085251293476
07/2020,-0.0227400635792329
08/2020,0.0174054764951814
09/2020,-0.0245493513464818
10/2020,-0.0016429250590452
11/2020,0.0144677798460006
01/2021,-0.017004850764424
02/2021,-0.0046330700210606
03/2021,0.0046910343763111
04/2021,-0.012246921646708
05/2021,-0.0233186567971934
06/2021,-0.0274384036038661
07/2021,-0.0226417956196771
08/2021,0.0031135256761773
09/2021,0.0108882668616019
10/2021,0.0390962307573581
11/2021,0.0463087891811213
12/2021,0.0268361623499655
01/2022,0.0480260895201094
02/2022,0.060752217566053
05/2022,-0.0067905774479239
06/2022,0.0383784401220448
07/2022,-0.0005898701691251
08/2022,0.0207241491806089
09/2022,-0.0032472629258091
10/2022,-0.0093606348259673
11/2022,-0.0215922566350756
12/2022,-0.0910976422864695
01/2023,-0.0389215224110932
02/2023,-0.0293312974317787
03/2023,-0.019705215528986
04/2023,-0.0619600593607494
05/2023,-0.0401062753562717
06/2023,-0.0277266375754803
07/2023,0.0238592544779361
08/2023,0.0524601034469831
09/2023,
10/2023,
11/2023,
12/2023,
01/2024,
02/2024,
