date,summary
2019-01-01,20.832028595425967
2019-02-01,20.830765874002207
2019-03-01,20.828852747406728
2019-04-01,20.81114667212576
2019-05-01,20.82504200353138
2019-06-01,20.82120507848318
2019-07-01,20.840556305356966
2019-08-01,20.840769996307777
2019-09-01,20.86650308720328
2019-10-01,20.867340060768974
2019-11-01,20.917112834006417
2019-12-01,20.925745923147144
2020-01-01,20.979621870556024
2020-02-01,21.001494726724374
2020-03-01,20.99879600835125
2020-04-01,21.033890906325656
2020-05-01,21.020453599391242
2020-06-01,21.03293497417576
2020-07-01,21.004746565348576
2020-08-01,21.032974063027773
2020-09-01,21.03534163523173
2020-10-01,21.038531009466954
2020-11-01,21.012551993168657
2020-12-01,20.99382174192018
2021-01-01,21.00997298542696
2021-02-01,21.008556193927998
2021-03-01,21.009992095549833
2021-04-01,21.003147968606505
2021-05-01,21.014688345915935
2021-06-01,21.008768171709352
2021-07-01,21.003466855666534
2021-08-01,21.008976311060866
2021-09-01,20.99431130474175
2021-10-01,21.014062491836793
2021-11-01,21.017611178751917
2021-12-01,21.031628922552887
2022-01-01,21.062937745373404
2022-02-01,21.029918206092834
2022-03-01,21.010947360249247
2022-04-01,21.00183853614349
2022-05-01,20.99470407345342
2022-06-01,20.99065042639679
2022-07-01,21.002401967125557
2022-08-01,21.06294329254743
2022-09-01,21.058256585079743
2022-10-01,21.05310194748289
2022-11-01,21.0760294386683
2022-12-01,21.102106341046678
2023-01-01,21.156341010673664
2023-02-01,21.184879286488894
2023-03-01,21.22871083905523
2023-04-01,21.25911731209022
2023-05-01,21.305233593056215
2023-06-01,21.310985899043377
2023-07-01,21.363388279918738
2023-08-01,21.40029643410972
2023-09-01,21.42347016292309
2023-10-01,21.4364164028844
2023-11-01,21.449637679423233
2023-12-01,21.477839184571092
2024-01-01,21.53936071610511
2024-02-01,21.540966968016768
