date,NPL_sel
2019-02-01,0.6052982531272094
2019-03-01,0.6041724684772252
2019-04-01,0.5976022822764205
2019-05-01,0.5941429442490109
2019-06-01,0.5939208282199425
2019-07-01,0.591414795791222
2019-08-01,0.5935188346826247
2019-09-01,0.5849267236355001
2019-10-01,0.580119212924827
2019-11-01,0.5826578390776619
2019-12-01,0.5789258240276866
2020-01-01,0.5788730238009636
2020-02-01,0.5913994883426718
2020-03-01,0.5905986664464384
2020-04-01,0.5755421780401424
2020-05-01,0.5824393093890461
2020-06-01,0.5953170211702395
2020-07-01,0.5745257157021931
2020-08-01,0.5737914346922479
2020-09-01,0.5709145032712697
2020-10-01,0.5536445278991133
2020-11-01,0.5203163091039945
2020-12-01,0.49349737881638056
2021-01-01,0.479654941885991
2021-02-01,0.469654941885991
2021-03-01,0.4664615742466602
2021-04-01,0.46162140069215674
2021-05-01,0.45173213407034385
2021-06-01,0.4407836119945738
2021-07-01,0.4348695048259516
2021-08-01,0.42946419252423934
2021-09-01,0.4164519342747123
2021-10-01,0.390871151046523
2021-11-01,0.38476428889802433
2021-12-01,0.374356719493434
2022-01-01,0.3755744261141936
2022-02-01,0.3697656367573748
2022-03-01,0.35766257622326525
2022-06-01,0.3738093022420704
2022-07-01,0.39721799583685735
2022-08-01,0.3926013259593247
2022-09-01,0.3987772774466033
2022-10-01,0.4115712011125027
2022-11-01,0.42937444326897595
2022-12-01,0.43494309796665054
2023-01-01,0.44908494928044707
2023-02-01,0.4541289427297113
2023-03-01,0.4565051543562512
2023-04-01,0.4650488581910307
2023-05-01,0.4726869930630403
2023-06-01,0.47635866945691996
2023-07-01,0.473911246756442
2023-08-01,0.48005768704188395
2023-09-01,0.47685251206913126
2023-10-01,0.4691948259115642
2023-11-01,0.46525806614635085
2023-12-01,0.45720537072883455
2024-01-01,0.46044845733938156
2024-02-01,0.46608710904929
