date,L_sel
2019-02-01,0.4906747965167448
2019-03-01,0.482747040864785
2019-04-01,0.5024885508353255
2019-05-01,0.5063702056881586
2019-06-01,0.5080210025877236
2019-07-01,0.49104493715649006
2019-08-01,0.4941630438927929
2019-09-01,0.49578033444699565
2019-10-01,0.4999082975992563
2019-11-01,0.5008902693353018
2019-12-01,0.5030486214916612
2020-01-01,0.4648516842139955
2020-02-01,0.4372972704885418
2020-03-01,0.4427994825831871
2020-04-01,0.4612971046324978
2020-05-01,0.44099084219528867
2020-06-01,0.4237127539424395
2020-07-01,0.42133358142013844
2020-08-01,0.4157172089215358
2020-09-01,0.4210044645015771
2020-10-01,0.41205717480719567
2020-11-01,0.4130470131939144
2020-12-01,0.4159602305511818
2021-01-01,0.3997247376745773
2021-02-01,0.40383910920719296
2021-03-01,0.40475437531472624
2021-04-01,0.40160745197220277
2021-05-01,0.409948914363602
2021-06-01,0.4202427892531099
2021-07-01,0.42600395793450047
2021-08-01,0.43024270066638803
2021-09-01,0.4590219494618083
2021-10-01,0.46183962457206446
2021-11-01,0.47745591762250145
2021-12-01,0.4894921193483719
2022-01-01,0.4644508229717446
2022-02-01,0.4855507292198287
2022-03-01,0.5185731843643149
2022-04-01,0.47440281076103014
2022-05-01,0.4518640261565063
2022-06-01,0.44840023589280986
2022-07-01,0.4221107395024157
2022-08-01,0.40854009918218254
2022-09-01,0.3967228202670881
2022-10-01,0.3845215328909864
2022-11-01,0.3637983283057343
2022-12-01,0.34748511841391483
2023-01-01,0.3121947230328129
2023-02-01,0.307244026469795
2023-03-01,0.29524775237045625
2023-04-01,0.28972568726799236
2023-05-01,0.27921190893820996
2023-06-01,0.2754475700042953
2023-07-01,0.2689199943871202
2023-08-01,0.26621262272496815
2023-09-01,0.2716721395954381
2023-10-01,0.27559483789936196
2023-11-01,0.27725638839042643
2023-12-01,0.27850388307824736
2024-01-01,0.2592540255735284
2024-02-01,0.26335217857461307
