,NIM
01/2019,0.06363330639852681
02/2019,0.06278517120291441
03/2019,0.055922327875743104
04/2019,0.060002685296401605
05/2019,0.0611494709835602
06/2019,0.059483171011731
07/2019,0.061533511093434405
08/2019,0.0606636826542604
09/2019,0.060748900952709295
10/2019,0.06350152164015291
11/2019,0.0603249021323994
12/2019,0.0623268856973443
01/2020,0.0634311891712945
02/2020,0.06064457159837399
03/2020,0.0598002877670452
04/2020,0.0556287935244961
05/2020,0.056502321734989
06/2020,0.055622602776956895
07/2020,0.0580455266742004
08/2020,0.0553395429356244
09/2020,0.0540066687047948
10/2020,0.0560767518206343
11/2020,0.0555683581236348
12/2020,0.0539759301597389
01/2021,0.0580021059916708
02/2021,0.05273111903234169
03/2021,0.0586396049402447
04/2021,0.059008600407550404
05/2021,0.060975478329186907
06/2021,0.0592039678704272
07/2021,0.0633726219049924
08/2021,0.06101489080185991
09/2021,0.06186120880305501
10/2021,0.06284907465871181
11/2021,0.0630738482545482
12/2021,0.0695825434817331
01/2022,0.0669582471002323
02/2022,0.0590284183849371
03/2022,0.0676923238244825
04/2022,0.062167620545334416
05/2022,0.06306037121234409
06/2022,0.0721609823191981
07/2022,0.07627215334620409
08/2022,0.0707700626928279
09/2022,0.0745946185535913
10/2022,0.07777533083425349
11/2022,0.07854459583714049
12/2022,0.0786829685809317
01/2023,0.0775802085785861
02/2023,0.0661272134421771
03/2023,0.07310055773807742
04/2023,0.06805078812926221
05/2023,0.07025590017524849
06/2023,0.0699485165692952
07/2023,0.0771667927360674
08/2023,0.07461320409318581
09/2023,0.0689021938088058
10/2023,0.0731814873396367
11/2023,0.0714317917829389
12/2023,0.074094878913196
01/2024,0.0703646063016577
02/2024,0.06672486489512419
