,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,,,,,,,,,,,
02/2019,,,,,,,,,,,
04/2019,,,,,,,,,,,
05/2019,0.18750838031773995,1.7939158450612311,0.5464367691231272,0.4212111853558726,0.4307344241019391,0.06407078539042127,0.07875936127962892,0.205390699546829,0.15581544078966542,-0.15054346179594696,0.04751247854389177
06/2019,-0.2895070358732051,2.102808009028665,-0.18545425714532573,0.4619095326323939,-0.048010841965453875,-0.2997325133529677,0.3738811102912169,-0.07997092451211422,0.5463487428510452,-0.0611985792759475,0.8678220286224927
07/2019,2.678126128465817,0.48878251754176,-0.04422266978275147,0.6794206723386601,4.656792643799714,-0.11186216724897353,1.1073530135168623,0.12666824718501044,0.6332266616820021,-0.010573750651549594,0.9203303225789106
08/2019,2.868759661847692,0.25668071541333504,0.4133781067442797,0.4289549852502253,4.600285339292558,-0.0163933374244473,0.9441465798565357,-0.09493815497976443,1.5040705774485084,-0.053341351584022804,0.4544464475637701
10/2019,2.8514140106455046,0.08253345398319807,0.20530577756080662,0.1028508026889257,5.3667246398594095,0.2600008014244139,1.361960198498214,0.057450941098446874,1.3115092040991363,-0.10808284579297167,-0.4272205162682454
11/2019,3.190153802855868,-0.4243922220550031,0.18754224469056854,-0.05825774435780281,1.897710691670219,0.6044427498351187,0.26751580150854176,-0.021310764618899764,1.294555541353782,0.013676542366191702,0.02645428666299295
12/2019,2.8600590037275126,-0.21094235842301598,0.40498484420200076,1.6438106055674708,1.9296599563033159,0.34087968037757704,0.4160625734236585,-0.0151737397665477,1.2402875096509873,0.3650878595146902,0.19920234399776846
01/2020,2.729638481996384,0.3371139869206994,1.8003688348836209,1.3873829672609175,0.7322830115504256,-0.009798101961152605,-0.2721513189576695,-0.08813480317602214,0.6532727524102523,0.27596115424811485,0.2603692794076215
02/2020,-0.32822264780675825,0.16475054807697465,1.3973850154929934,3.3541262311681503,-0.24344205259069576,-0.12619286063083823,0.6839912375064614,-0.059468105108220766,1.240217102435713,0.015136620422813904,-0.18964888863881957
03/2020,0.3885771356670791,0.7362271498144196,0.6572113335133348,1.674045765283953,-0.22815490221536286,-0.18507714650904136,0.5449306673686047,0.020479365015179368,-0.04038704044011262,2.735440815164116,2.658296745729086
