,SCTA
01/2019,
02/2019,
04/2019,
05/2019,
06/2019,
07/2019,
08/2019,-7.34224678274921e-05
10/2019,-0.0004606823380630398
11/2019,-0.003319404694030706
12/2019,0.0023585943605988063
01/2020,-0.0035410481924991258
02/2020,-0.0036322474719376954
03/2020,0.0036219609208226616
04/2020,0.002139263352215162
05/2020,0.0008297854065395863
06/2020,0.0013316453987280916
07/2020,-0.0003266776716554856
09/2020,-0.0005392288068690743
10/2020,-0.0020652334339429854
11/2020,0.00122739411936975
01/2021,-0.0008919901572820993
02/2021,-4.1891196363656735e-05
03/2021,0.0005634146607030391
04/2021,0.002084959287565788
05/2021,0.0002061689224605659
07/2021,-4.0999706816396975e-07
08/2021,0.003259569413272559
09/2021,0.001671952908350545
10/2021,-0.0011357897781215862
11/2021,0.0033768360583005183
01/2022,0.002169359439146361
02/2022,-0.002373536855829368
05/2022,-0.0007141520330935722
06/2022,-0.0032040177912894645
07/2022,-0.005078496235821798
08/2022,-0.003369882850725363
09/2022,0.007013958840299525
10/2022,-9.087821730542622e-05
11/2022,0.001132715814286686
12/2022,-0.0013020639550724196
01/2023,0.0024256498545185967
02/2023,0.0024058880051669035
03/2023,-0.0009137141381896259
04/2023,-0.0021870364083466758
05/2023,-0.0005408154981379303
06/2023,
07/2023,
08/2023,
10/2023,
01/2024,
02/2024,
