,CDR
01/2019,
02/2019,
04/2019,
05/2019,
06/2019,
07/2019,
08/2019,0.012197014169974485
10/2019,0.02027086116468657
11/2019,0.02761311542167988
12/2019,-0.003527785484598145
01/2020,-0.024331567984945957
02/2020,-0.012269622668611035
03/2020,0.013096298978144627
04/2020,-0.00022399012418111708
05/2020,-0.009829597082505692
06/2020,-0.005570985388817784
07/2020,-0.007196227578436687
09/2020,-0.00800041224544673
10/2020,-0.003931203708770703
11/2020,0.0011404493530088322
01/2021,-0.012004049240582959
02/2021,-0.01424775141102036
03/2021,-0.021654872747414344
04/2021,-0.01911231257443763
05/2021,-0.015065881875225173
07/2021,-0.012362498371907393
08/2021,0.01028449706939838
09/2021,0.0105222767266
10/2021,0.025126527635467466
11/2021,0.03742495631494358
01/2022,0.035523039122176914
02/2022,0.07280239546344547
05/2022,0.010045330467296498
06/2022,-0.005361593731966596
07/2022,-0.005604867690034876
08/2022,-0.0022364691830198957
09/2022,0.0018151354796180352
10/2022,-0.0007753058815531677
11/2022,9.123178140313382e-05
12/2022,-0.021609854807873363
01/2023,-0.014247292138703405
02/2023,-0.015102809691006192
03/2023,-0.010945048744627983
04/2023,-0.01280418981475695
05/2023,-0.008691872441414616
06/2023,
07/2023,
08/2023,
10/2023,
01/2024,
02/2024,
