,OE
01/2019,
02/2019,
04/2019,
05/2019,
06/2019,
07/2019,
08/2019,-0.00029262842979772916
10/2019,-0.00012930711274672857
11/2019,0.00010629365760533816
12/2019,0.001883463202093484
01/2020,-0.0005443277715696661
02/2020,-0.00013703086652583265
03/2020,9.572619981467433e-06
04/2020,-0.00022774334238862427
05/2020,-0.00042351782935850764
06/2020,0.00014823383203076265
07/2020,-0.0001059914378615536
09/2020,3.4561954650054114e-05
10/2020,0.0003202035760303001
11/2020,0.0002535375910767295
01/2021,-0.0005190346014604997
02/2021,-0.0001558697639057493
03/2021,9.831785177315863e-05
04/2021,1.689413714073794e-05
05/2021,-4.083087703025175e-06
07/2021,-4.11913956709707e-05
08/2021,-0.00011019191203671692
09/2021,0.0001736924881083914
10/2021,0.00027621208176834564
11/2021,0.0004142135421632506
01/2022,-0.0001839175133726118
02/2022,0.0002846643430827046
05/2022,-0.00040187648200111243
06/2022,7.347135330735416e-05
07/2022,-0.000622048470183721
08/2022,-0.0005009535493664835
09/2022,0.00029369585927449147
10/2022,6.554698143974597e-05
11/2022,-0.00010580408110017056
12/2022,0.0016251605295604004
01/2023,-0.0006261561757242998
02/2023,-0.00031289601478646676
03/2023,0.00017946510121414575
04/2023,6.018444616858083e-06
05/2023,-3.4476164508516916e-05
06/2023,
07/2023,
08/2023,
10/2023,
01/2024,
02/2024,
