,SIZE
01/2019,
02/2019,
04/2019,
05/2019,
06/2019,
07/2019,
08/2019,-0.043398696840636575
10/2019,-0.010769241862472967
11/2019,-0.014563679353933878
12/2019,0.02434018458731657
01/2020,0.03798715200031566
02/2020,0.02359826703083101
03/2020,0.0383435730009829
04/2020,0.020724470696553254
05/2020,0.026929608626033996
06/2020,-0.014583563463325788
07/2020,0.008575828274356212
09/2020,0.02764487948980232
10/2020,0.009563034171506501
11/2020,-0.009538310092072066
01/2021,0.007578571576470239
02/2021,-0.003469016229228572
03/2021,-0.00862097467894074
04/2021,0.00578799986992351
05/2021,-0.0039873240134120636
07/2021,-0.005949272092767188
08/2021,-0.02318720063471602
09/2021,-0.01599121352121813
10/2021,-0.017302123237474376
11/2021,-0.003105554491853013
01/2022,0.0264514887084637
02/2022,0.019901513769408297
05/2022,-0.022184795913354094
06/2022,-0.03634576076829532
07/2022,0.013538391524100746
08/2022,0.00012017337177283594
09/2022,-0.0242457264429099
10/2022,-0.03083709336768692
11/2022,-0.02746684012732814
12/2022,-0.00588841041031074
01/2023,-0.026168032387914764
02/2023,-0.026640820955915245
03/2023,-0.018099265711583712
04/2023,-5.773760782190607e-05
05/2023,-0.02233409233141259
06/2023,
07/2023,
08/2023,
10/2023,
01/2024,
02/2024,
