,NIM
01/2019,
02/2019,
04/2019,
05/2019,
06/2019,
07/2019,
08/2019,-0.00016807387578314991
10/2019,-1.0838046920361687e-05
11/2019,2.165343165024588e-05
12/2019,-0.0001481695839038416
01/2020,0.00012168984679944601
02/2020,-3.5549681450341205e-05
03/2020,-2.8003202130453403e-05
04/2020,-2.5441786202653506e-05
05/2020,-9.668438486559478e-05
06/2020,-0.00012618360781774121
07/2020,-1.7964745493108305e-05
09/2020,-0.00033041471847335005
10/2020,-7.833791272350826e-05
11/2020,-0.00010140044862782908
01/2021,0.000145652462981225
02/2021,-0.00027884942106927435
03/2021,6.124226166132497e-05
04/2021,-6.22964316471927e-05
05/2021,2.654001385315064e-05
07/2021,0.0001606130793728091
08/2021,0.00011949951636101679
09/2021,4.682656616332957e-05
10/2021,9.858846651419634e-05
11/2021,6.639254398378876e-05
01/2022,0.0003018513462832882
02/2022,-0.00040414905724558275
05/2022,-0.0003924455292216413
06/2022,-0.00012969417602405782
07/2022,-0.00012038969907173652
08/2022,-0.0002915066470513539
09/2022,0.000452288298906295
10/2022,0.00037909474140795756
11/2022,0.00047891543053796715
12/2022,0.00042083695163693327
01/2023,0.0005430964028219076
02/2023,-0.0005667072996014917
03/2023,-3.6555775205825494e-05
04/2023,-0.0004123506955023455
05/2023,-4.620173290005754e-05
06/2023,
07/2023,
08/2023,
10/2023,
01/2024,
02/2024,
