,ROA
01/2019,
02/2019,
03/2019,
04/2019,
05/2019,
06/2019,
07/2019,0.0012145219710790883
08/2019,0.006300888684262915
09/2019,-0.0032488082242865812
10/2019,-0.0009172878681482505
11/2019,-0.0060297438877567056
12/2019,0.009424174096724636
01/2020,0.0018828728935489647
02/2020,0.0006182445013022397
03/2020,0.018953466919755524
04/2020,-0.005166429072069129
05/2020,-0.010797699945024011
06/2020,-0.005718546142471137
07/2020,0.005251282028907706
08/2020,-0.005328639171451016
09/2020,0.0023755904839888736
10/2020,-0.0019810452095388453
11/2020,0.0008578610781573986
12/2020,0.00031063171455862626
01/2021,-0.011032842845635354
02/2021,-0.014043634476617037
03/2021,0.008880218295648792
04/2021,0.005818840155127805
05/2021,-0.0025973006721976832
06/2021,0.0007507931869135814
07/2021,0.008333224617804433
08/2021,-0.004387277669236064
09/2021,-0.005293982566998451
10/2021,-0.0022599735356313155
11/2021,0.007370984772795644
12/2021,0.013509730626345723
01/2022,6.707755487062039e-05
02/2022,-0.02071692838241551
03/2022,-0.01772605264533675
04/2022,-0.03336939819574665
05/2022,0.0017320551839301312
06/2022,0.020683546943353157
07/2022,0.05247827127794065
08/2022,0.007608191561504246
09/2022,0.0008111559048670919
10/2022,-0.0016321076916790134
11/2022,-0.000320160169999556
12/2022,0.007562523288402595
01/2023,0.004387548790042703
02/2023,-0.022758580564521347
03/2023,0.0025405202250869674
04/2023,-0.01868958455432322
05/2023,-0.012916261053316891
06/2023,0.003273580952815852
07/2023,0.031967760607223186
08/2023,0.0018773285462987122
09/2023,
10/2023,
11/2023,
12/2023,
01/2024,
02/2024,
