,SIZE
12/2018,
01/2019,
02/2019,
03/2019,
04/2019,
05/2019,
06/2019,8.083412445596082
07/2019,-0.27939940460098
08/2019,-0.3472618284400255
09/2019,-0.44786293971316127
10/2019,-0.02913793546230181
11/2019,-0.157908603160962
12/2019,0.1757649194272517
01/2020,0.24178436572631767
02/2020,0.1964743445675481
03/2020,0.4669053098420193
04/2020,0.001569036996130535
05/2020,-0.02318446879874614
06/2020,-0.1686036465599159
07/2020,0.1122300249433863
08/2020,0.054765994474507806
09/2020,0.2353568371460426
10/2020,0.13346947213162252
11/2020,0.0045837278545661775
12/2020,0.32052796258460603
01/2021,0.2346683524459081
02/2021,-0.02103162743517828
03/2021,-0.1064365463611523
04/2021,-0.05073277504399698
05/2021,-0.1222069771172869
06/2021,-0.15942590733985185
07/2021,-0.09411374308055542
08/2021,-0.24587337227637818
09/2021,-0.08077307971100822
10/2021,-0.12650773187098707
11/2021,0.11163417819830102
12/2021,0.5651838393287107
01/2022,0.5889084789554602
02/2022,0.40830809132475565
03/2022,0.04181617524497483
04/2022,-0.08413857471924757
05/2022,-0.3595020410097618
06/2022,-0.7475584047001291
07/2022,-0.023120968500677463
08/2022,-0.17212859920840629
09/2022,-0.2911821878914225
10/2022,-0.3649184284149385
11/2022,-0.27957346970202934
12/2022,-0.04036364236924328
01/2023,-0.3146748322616588
02/2023,-0.34476762091341584
03/2023,-0.17721887092517363
04/2023,0.08973914577174469
05/2023,0.012467743708498347
06/2023,0.2071613075740686
07/2023,0.2082569216297543
08/2023,0.16911213425629512
09/2023,
10/2023,
11/2023,
12/2023,
01/2024,
02/2024,
