,TA
01/2019,1209251119.5805001
02/2019,1209162606.0330198
04/2019,1206777836.74618
05/2019,1203259288.14715
06/2019,1223397246.15169
07/2019,1209037781.00409
08/2019,1229013788.0247703
10/2019,1263680868.87721
11/2019,1263617644.1671498
12/2019,1323225822.42009
01/2020,1351166612.57938
02/2020,1344890652.6278102
03/2020,1387470335.2996302
04/2020,1378373649.1455305
05/2020,1395685460.1116698
06/2020,1358217720.95165
07/2020,1394376989.56008
09/2020,1422706377.3940299
10/2020,1402247519.4014297
11/2020,1390645133.93872
01/2021,1443210786.00879
02/2021,1443952523.72144
03/2021,1448656383.723
04/2021,1465471263.39363
05/2021,1466134060.1440897
07/2021,1477084909.0992398
08/2021,1454270174.01195
09/2021,1475254319.8431199
10/2021,1476472093.5396204
11/2021,1497314642.54152
01/2022,1545033486.0209801
02/2022,1551999147.72107
05/2022,1596595341.0804498
06/2022,1636620269.9572704
07/2022,1750000154.0540102
08/2022,1769776153.8828897
09/2022,1759286330.38552
10/2022,1801511303.0749702
11/2022,1840343474.3890202
12/2022,1925948174.9161794
01/2023,1924584460.0036602
02/2023,1954455471.9412901
03/2023,1970364825.9282796
04/2023,2018619595.3781598
05/2023,2003266572.38353
06/2023,2059830431.24552
07/2023,2107754975.99951
08/2023,2120914914.70767
10/2023,2173011371.55028
01/2024,2337775411.00443
02/2024,2346810234.49286
