,TI
01/2019,9149585.709540002
02/2019,9166965.123809999
04/2019,7981813.958009999
05/2019,10060366.46428
06/2019,11024061.029170003
07/2019,8107483.008
08/2019,11677966.230789995
10/2019,7627163.012879995
11/2019,9557220.247340001
12/2019,9490306.67495
01/2020,11254955.76649
02/2020,12953135.47873
03/2020,10317958.700710004
04/2020,14302940.466509998
05/2020,9032800.685919998
06/2020,9138577.674320001
07/2020,10497068.103289999
09/2020,10469195.571749998
10/2020,9715203.684270006
11/2020,9798659.65214
01/2021,8641136.52947
02/2021,6606121.34653
03/2021,9616943.605670001
04/2021,12355098.494250001
05/2021,10805564.4315
07/2021,14153070.735340001
08/2021,10857119.909870002
09/2021,10901502.58161
10/2021,11488734.573899996
11/2021,13077876.514660006
01/2022,13101625.918539999
02/2022,12748042.834290002
05/2022,16151518.364459999
06/2022,17014973.151949998
07/2022,26677982.02528001
08/2022,25806230.396299988
09/2022,13769202.188050002
10/2022,17539925.643110003
11/2022,19216671.86816
12/2022,20013812.864020005
01/2023,22170984.37543
02/2023,13239789.123150002
03/2023,22455857.892909996
04/2023,16377854.512260001
05/2023,17895686.593760002
06/2023,21152934.801470004
07/2023,22539590.945699994
08/2023,20161166.58816001
10/2023,19435877.119029988
01/2024,22605858.55356
02/2024,17516565.23052
