,TE
01/2019,100200777.81235
02/2019,103794926.55204001
04/2019,96240814.27130999
05/2019,96762736.30255999
06/2019,102614038.07505001
07/2019,107890574.48163
08/2019,114415522.01848002
10/2019,121506181.4035
11/2019,127794888.23313998
12/2019,131519011.59120001
01/2020,137528019.01013997
02/2020,145171326.52486998
03/2020,141751909.38581997
04/2020,149960011.35904
05/2020,132356373.46655
06/2020,127794693.74594
07/2020,131089702.65544
09/2020,135984496.32822
10/2020,139169688.37686
11/2020,141619990.05783
01/2021,143468346.22134
02/2021,143046309.54376
03/2021,144523565.13559
04/2021,130660550.25284001
05/2021,132418083.00528999
07/2021,141985467.08001
08/2021,146229355.13068
09/2021,152160673.84392
10/2021,156494976.26503003
11/2021,161817681.22349998
01/2022,174947676.28636995
02/2022,177534565.18574002
05/2022,143695600.10694
06/2022,169983582.69378
07/2022,179273775.9867
08/2022,185006300.30581
09/2022,159958523.41342998
10/2022,164518714.04401004
11/2022,165238484.83524
12/2022,163070023.65668
01/2023,174533384.43758002
02/2023,179312653.09267002
03/2023,192039421.12870997
04/2023,175936935.62903
05/2023,186736803.5428
06/2023,202358415.52021
07/2023,216272215.16798
08/2023,227282833.20355996
10/2023,251122573.11385
01/2024,238136967.22974998
02/2024,244278130.47498003
