,CL
01/2019,520919174.8873
02/2019,514078498.09869
04/2019,525743105.72817993
05/2019,524237696.25043
06/2019,522541609.89474994
07/2019,514739079.43411005
08/2019,518823177.60179996
10/2019,522973202.32912
11/2019,517721584.85645
12/2019,507708406.76240003
01/2020,505806243.00991
02/2020,503315599.85757
03/2020,543668140.42535
04/2020,527724800.9423599
05/2020,517654314.64869
06/2020,493076357.86963004
07/2020,501406899.5394799
09/2020,496337785.85523003
10/2020,476237938.03091
11/2020,457083868.86772
01/2021,448744101.5594401
02/2021,446521597.52709
03/2021,444271087.95357996
04/2021,454872958.97777003
05/2021,462272586.76334
07/2021,469061335.53011
08/2021,478717971.75167
09/2021,478964913.51153004
10/2021,486031304.189
11/2021,500733959.80402
01/2022,506181210.7237599
02/2022,525259901.17438996
05/2022,523345121.52965
06/2022,516737106.92728
07/2022,548314601.0048699
08/2022,545461456.44012
09/2022,542960644.54013
10/2022,537764139.13232
11/2022,534969205.24319
12/2022,528249174.59398997
01/2023,523469761.40830994
02/2023,518222458.5415801
03/2023,512059654.43201
04/2023,505242509.41302997
05/2023,499349261.37059
06/2023,500518964.5721899
07/2023,504022733.07943
08/2023,509650288.9105199
10/2023,517531137.72944
01/2024,520482340.6607999
02/2024,518530066.53957
