,NI
01/2019,77492.70192
02/2019,103710.33028
04/2019,58503.39739999999
05/2019,73581.76482999999
06/2019,94049.71279
07/2019,139363.75893
08/2019,167569.68537
10/2019,112419.16769
11/2019,464079.30823
12/2019,296349.7925900001
01/2020,108443.44087
02/2020,116150.36743
03/2020,285017.35818
04/2020,110952.33996000001
05/2020,88404.13799999999
06/2020,142906.49557
07/2020,106384.97073999999
09/2020,137148.18149999995
10/2020,114321.84344000008
11/2020,95019.06023999998
01/2021,121524.94796000002
02/2021,256820.75738000002
03/2021,536870.1994899999
04/2021,213958.30652999997
05/2021,138175.07023
07/2021,267674.74743999995
08/2021,114824.10657000006
09/2021,172670.29258000007
10/2021,138653.82800999994
11/2021,332830.13253000006
01/2022,125790.30156
02/2022,96565.47261
05/2022,51377.653609999994
06/2022,233387.23620000004
07/2022,121502.61853
08/2022,90776.46115999999
09/2022,650828.8271400001
10/2022,76167.41302
11/2022,334949.14897999994
12/2022,303960.55848999997
01/2023,93563.26963000001
02/2023,99879.89131
03/2023,322324.233
04/2023,112734.41023999998
05/2023,524866.4371099999
06/2023,175492.7847999999
07/2023,122314.23194000006
08/2023,107681.64081000004
10/2023,154394.0055400001
01/2024,168961.14418
02/2024,174407.73451000004
