,D
01/2019,650093216.8140501
02/2019,656984612.52535
04/2019,658057179.1845499
05/2019,656210907.1708599
06/2019,680462840.22186
07/2019,676624676.7349501
08/2019,686604019.61648
10/2019,706616966.3889798
11/2019,704466977.2041199
12/2019,754131236.8129001
01/2020,790190175.0738101
02/2020,781259610.42303
03/2020,806784843.69037
04/2020,805501468.61459
05/2020,811602748.21382
06/2020,816826216.23205
07/2020,841915064.1978601
09/2020,875947240.36422
10/2020,890185735.6477
11/2020,896325810.0527099
01/2021,940266177.2857999
02/2021,942979211.6784401
03/2021,961189623.7811799
04/2021,969469696.8743501
05/2021,976593102.0272298
07/2021,992545548.87353
08/2021,968803123.94924
09/2021,1000384980.72542
10/2021,991786483.55884
11/2021,1007765587.5520699
01/2022,1046436299.4466499
02/2022,1021428507.7194202
05/2022,1107482710.17206
06/2022,1129934560.46318
07/2022,1197386870.2633202
08/2022,1203522555.2305598
09/2022,1217639601.9967997
10/2022,1248280892.03969
11/2022,1280322922.09261
12/2022,1362767452.78114
01/2023,1363769759.1708999
02/2023,1391301804.6256404
03/2023,1402248231.5473402
04/2023,1432928422.31744
05/2023,1441855314.2689798
06/2023,1487804098.71343
07/2023,1520209283.2162802
08/2023,1523759201.1988604
10/2023,1551276732.5658898
01/2024,1669486072.8924801
02/2024,1697582714.86824
