,L
01/2019,318984356.87715006
02/2019,317157377.59031004
04/2019,333220549.17824996
05/2019,333368922.96993995
06/2019,334137832.61407
07/2019,334362909.82831997
08/2019,340404770.47811
10/2019,353937562.61147
11/2019,354381141.76893
12/2019,350559175.55086005
01/2020,345548006.7266401
02/2020,345941351.25846
03/2020,372167512.45575
04/2020,355218771.03388995
05/2020,343886435.55293
06/2020,344156315.08291
07/2020,349998580.63733006
09/2020,360940345.14464
10/2020,367688559.29710996
11/2020,372835890.5985
01/2021,379716255.45275
02/2021,381674961.75768
03/2021,386020915.6688799
04/2021,397433049.74205005
05/2021,410406209.16127
07/2021,427035477.48175
08/2021,444701898.59986997
09/2021,462017423.9257599
10/2021,473534325.59317994
11/2021,493293313.25722003
01/2022,508097908.27842
02/2022,529685433.84854996
05/2022,496595508.48836005
06/2022,476957512.90645003
07/2022,489180550.73682004
08/2022,477464862.36612
09/2022,468208646.26857996
10/2022,454122501.78003
11/2022,444893162.1914
12/2022,425448807.47914004
01/2023,419010111.98541
02/2023,410778730.68468
03/2023,406267332.60538
04/2023,400090680.16707
05/2023,397155542.61317
06/2023,400100269.87514997
07/2023,404698900.37584996
08/2023,413962922.41793007
10/2023,430101384.26532006
01/2024,439662794.39620996
02/2024,439489763.89625007
