,C
01/2019,31989411.279990003
02/2019,31946852.0686
04/2019,44340387.04618999
05/2019,33617959.27589
06/2019,38043285.65597999
07/2019,36827795.75993001
08/2019,37424335.29891
10/2019,39026696.5335
11/2019,35816223.90962
12/2019,45372264.93807
01/2020,39026183.14659999
02/2020,39214812.77246
03/2020,51042643.17341
04/2020,49296107.13846
05/2020,48945439.49193999
06/2020,48922050.703549996
07/2020,48619473.31323
09/2020,50475309.842870004
10/2020,48306911.16936
11/2020,52685529.45588
01/2021,52089355.44234
02/2021,53860399.48926
03/2021,55115788.91075
04/2021,58237788.54105002
05/2021,55919760.26715001
07/2021,55912461.84297
08/2021,59353621.34741999
09/2021,57334764.83974001
10/2021,52248204.36033
11/2021,58536402.49431001
01/2022,58013536.83523999
02/2022,50967223.86676001
05/2022,54190528.28733999
06/2022,50372788.48706999
07/2022,49880127.22839
08/2022,53004206.282299995
09/2022,70037497.07281001
10/2022,58018212.08887
11/2022,60867473.85919001
12/2022,58653237.8487
01/2023,65763043.482149996
02/2023,66503244.61607
03/2023,59221628.52289999
04/2023,57189585.60906
05/2023,59961636.44177999
06/2023,62512496.06988999
07/2023,60380309.10808
08/2023,56916466.57811
10/2023,59338617.96379999
01/2024,79168333.40034
02/2024,71170819.50052
