date,NI_sel
2019-01-01,77492.70192
2019-02-01,103710.33028
2019-03-01,171290.89044000002
2019-04-01,58503.39739999999
2019-05-01,73581.76482999999
2019-06-01,94049.71279
2019-07-01,139363.75893
2019-08-01,167569.68537
2019-09-01,100355.43496999996
2019-10-01,112419.16769
2019-11-01,464079.30823
2019-12-01,296349.7925900001
2020-01-01,108443.44087
2020-02-01,116150.36743
2020-03-01,285017.35818
2020-04-01,110952.33996000001
2020-05-01,88404.13799999999
2020-06-01,142906.49557
2020-07-01,106384.97073999999
2020-08-01,90819.52503000002
2020-09-01,137148.18149999995
2020-10-01,114321.84344000008
2020-11-01,95019.06023999998
2020-12-01,227710.73104000004
2021-01-01,121524.94796000002
2021-02-01,256820.75738000002
2021-03-01,536870.1994899999
2021-04-01,213958.30652999997
2021-05-01,138175.07023
2021-06-01,206816.38043000002
2021-07-01,267674.74743999995
2021-08-01,114824.10657000006
2021-09-01,172670.29258000007
2021-10-01,138653.82800999994
2021-11-01,332830.13253000006
2021-12-01,121073.70209999991
2022-01-01,125790.30156
2022-02-01,96565.47261
2022-03-01,219017.99992
2022-04-01,62574.617130000006
2022-05-01,51377.653609999994
2022-06-01,233387.23620000004
2022-07-01,121502.61853
2022-08-01,90776.46115999999
2022-09-01,650828.8271400001
2022-10-01,76167.41302
2022-11-01,334949.14897999994
2022-12-01,303960.55848999997
2023-01-01,93563.26963000001
2023-02-01,99879.89131
2023-03-01,322324.233
2023-04-01,112734.41023999998
2023-05-01,524866.4371099999
2023-06-01,175492.7847999999
2023-07-01,122314.23194000006
2023-08-01,107681.64081000004
2023-09-01,160658.57199999993
2023-10-01,154394.0055400001
2023-11-01,130036.25202
2023-12-01,713453.30577
2024-01-01,168961.14418
2024-02-01,174407.73451000004
