date,AE_sel
2019-01-01,3223872.38059
2019-02-01,5165542.647340001
2019-03-01,2733450.3630500007
2019-04-01,4193973.561269999
2019-05-01,4104757.0685099997
2019-06-01,4067641.5033600004
2019-07-01,4033738.79725
2019-08-01,4127421.406310002
2019-09-01,4342099.5562499985
2019-10-01,4466631.58192
2019-11-01,4716635.1916499995
2019-12-01,7302651.159680001
2020-01-01,4205837.51343
2020-02-01,4760147.96973
2020-03-01,5166610.196520002
2020-04-01,4859780.025820001
2020-05-01,4633368.65672
2020-06-01,5138397.105190001
2020-07-01,4844245.9228300005
2020-08-01,4830855.55829
2020-09-01,5196296.684499999
2020-10-01,5535665.0171300005
2020-11-01,5407033.137019999
2020-12-01,8464994.144550001
2021-01-01,4524159.27645
2021-02-01,5077668.51657
2021-03-01,5503427.61751
2021-04-01,5507931.021510001
2021-05-01,5478461.79275
2021-06-01,5987543.294120001
2021-07-01,5440592.79052
2021-08-01,5269232.86589
2021-09-01,5790353.353049996
2021-10-01,5922684.272170005
2021-11-01,6134383.952149998
2021-12-01,10956905.199409999
2022-01-01,5382068.61371
2022-02-01,6150285.424179999
2022-03-01,8196992.2805200005
2022-04-01,5704075.308680001
2022-05-01,5228826.65316
2022-06-01,6225638.602180001
2022-07-01,5467706.12744
2022-08-01,5617577.38165
2022-09-01,6954601.098809999
2022-10-01,6711312.27772
2022-11-01,6533788.780080001
2022-12-01,10178650.891660001
2023-01-01,5840073.683870001
2023-02-01,6570995.42449
2023-03-01,7567201.737140001
2023-04-01,7300334.684270002
2023-05-01,7075655.737419997
2023-06-01,7490561.660820001
2023-07-01,6977332.86143
2023-08-01,7067769.284210004
2023-09-01,6352286.813319995
2023-10-01,7520655.515480002
2023-11-01,7641956.309299996
2023-12-01,11030646.115000002
2024-01-01,7022713.75502
2024-02-01,7549679.580020001
