date,TA_sel
2019-01-01,1213008826.9741602
2019-02-01,1209251119.5805001
2019-03-01,1209162606.0330198
2019-04-01,1196676371.5208201
2019-05-01,1206777836.74618
2019-06-01,1203259288.14715
2019-07-01,1223397246.15169
2019-08-01,1209037781.00409
2019-09-01,1229013788.0247703
2019-10-01,1213873293.0319602
2019-11-01,1263680868.87721
2019-12-01,1263617644.1671498
2020-01-01,1323225822.42009
2020-02-01,1351166612.57938
2020-03-01,1344890652.6278102
2020-04-01,1387470335.2996302
2020-05-01,1378373649.1455305
2020-06-01,1395685460.1116698
2020-07-01,1358217720.95165
2020-08-01,1394376989.56008
2020-09-01,1401780963.6149
2020-10-01,1422706377.3940299
2020-11-01,1402247519.4014297
2020-12-01,1390645133.93872
2021-01-01,1431936623.26159
2021-02-01,1443210786.00879
2021-03-01,1443952523.72144
2021-04-01,1448656383.723
2021-05-01,1465471263.39363
2021-06-01,1466134060.1440897
2021-07-01,1458382185.85274
2021-08-01,1477084909.0992398
2021-09-01,1454270174.01195
2021-10-01,1475254319.8431199
2021-11-01,1476472093.5396204
2021-12-01,1497314642.54152
2022-01-01,1554766793.18119
2022-02-01,1545033486.0209801
2022-03-01,1551999147.72107
2022-04-01,1559066333.1180103
2022-05-01,1593897561.58455
2022-06-01,1596595341.0804498
2022-07-01,1636620269.9572704
2022-08-01,1750000154.0540102
2022-09-01,1769776153.8828897
2022-10-01,1759286330.38552
2022-11-01,1801511303.0749702
2022-12-01,1840343474.3890202
2023-01-01,1925948174.9161794
2023-02-01,1924584460.0036602
2023-03-01,1954455471.9412901
2023-04-01,1970364825.9282796
2023-05-01,2018619595.3781598
2023-06-01,2003266572.38353
2023-07-01,2059830431.24552
2023-08-01,2107754975.99951
2023-09-01,2120914914.70767
2023-10-01,2144470476.5672202
2023-11-01,2173011371.55028
2023-12-01,2226659052.8883495
2024-01-01,2358901525.0149302
2024-02-01,2337775411.00443
2024-03-01,2346810234.49286
