date,LA_sel
2019-01-01,340112871.85368997
2019-02-01,345162500.45036995
2019-03-01,332641289.72089
2019-04-01,325026568.12049997
2019-05-01,310970306.77813005
2019-06-01,314852108.06878006
2019-07-01,301421010.17175
2019-08-01,309405543.08029
2019-09-01,295988070.36265
2019-10-01,317386671.28865993
2019-11-01,321966640.6604599
2019-12-01,319227315.12586
2020-01-01,371291380.46771
2020-02-01,378830191.60464007
2020-03-01,388686339.66507995
2020-04-01,361223598.36126006
2020-05-01,388051438.55916995
2020-06-01,412334445.9643801
2020-07-01,404083478.22867
2020-08-01,409749300.35687
2020-09-01,396862928.51592004
2020-10-01,419089336.64125997
2020-11-01,426912332.01004994
2020-12-01,426309038.4953601
2021-01-01,510116596.3323699
2021-02-01,494353574.97167003
2021-03-01,484191879.14702
2021-04-01,494730415.17332995
2021-05-01,497987272.37899
2021-06-01,485331112.26874006
2021-07-01,470671356.9412199
2021-08-01,471691146.66254
2021-09-01,434790390.6577
2021-10-01,459824227.23344004
2021-11-01,457070931.3399401
2021-12-01,452053326.16611
2022-01-01,538922041.8683001
2022-02-01,486565840.58176005
2022-03-01,437097586.05939
2022-04-01,502797518.13865
2022-05-01,527119525.91056013
2022-06-01,532683394.992
2022-07-01,546219696.7909299
2022-08-01,579750765.5193
2022-09-01,577792401.9211199
2022-10-01,603497000.89259
2022-11-01,642662307.6872399
2022-12-01,662051753.1742299
2023-01-01,732870397.7060001
2023-02-01,674670437.28381
2023-03-01,675297536.1988201
2023-04-01,665459810.6899999
2023-05-01,722261829.6561301
2023-06-01,712209069.35241
2023-07-01,759134921.50475
2023-08-01,787415260.7486701
2023-09-01,795638216.8543301
2023-10-01,803542941.35447
2023-11-01,807698794.9332598
2023-12-01,852328282.30899
2024-01-01,947597380.4540201
2024-02-01,927318259.34086
2024-03-01,910128927.0605401
