date,TI_sel
2019-01-01,9149585.709540002
2019-02-01,9166965.123809999
2019-03-01,7742031.282260002
2019-04-01,7981813.958009999
2019-05-01,10060366.46428
2019-06-01,11024061.029170003
2019-07-01,8107483.008
2019-08-01,11677966.230789995
2019-09-01,7538920.929180007
2019-10-01,7627163.012879995
2019-11-01,9557220.247340001
2019-12-01,9490306.67495
2020-01-01,11254955.76649
2020-02-01,12953135.47873
2020-03-01,10317958.700710004
2020-04-01,14302940.466509998
2020-05-01,9032800.685919998
2020-06-01,9138577.674320001
2020-07-01,10497068.103289999
2020-08-01,9426238.303049998
2020-09-01,10469195.571749998
2020-10-01,9715203.684270006
2020-11-01,9798659.65214
2020-12-01,9984142.336029993
2021-01-01,8641136.52947
2021-02-01,6606121.34653
2021-03-01,9616943.605670001
2021-04-01,12355098.494250001
2021-05-01,10805564.4315
2021-06-01,11415278.81616
2021-07-01,14153070.735340001
2021-08-01,10857119.909870002
2021-09-01,10901502.58161
2021-10-01,11488734.573899996
2021-11-01,13077876.514660006
2021-12-01,17051145.48105999
2022-01-01,13101625.918539999
2022-02-01,12748042.834290002
2022-03-01,11196086.312429998
2022-04-01,7705255.907460004
2022-05-01,16151518.364459999
2022-06-01,17014973.151949998
2022-07-01,26677982.02528001
2022-08-01,25806230.396299988
2022-09-01,13769202.188050002
2022-10-01,17539925.643110003
2022-11-01,19216671.86816
2022-12-01,20013812.864020005
2023-01-01,22170984.37543
2023-02-01,13239789.123150002
2023-03-01,22455857.892909996
2023-04-01,16377854.512260001
2023-05-01,17895686.593760002
2023-06-01,21152934.801470004
2023-07-01,22539590.945699994
2023-08-01,20161166.58816001
2023-09-01,19807086.136110008
2023-10-01,19435877.119029988
2023-11-01,20284041.05658
2023-12-01,20850470.66549
2024-01-01,22605858.55356
2024-02-01,17516565.23052
