date,NII_sel
2019-01-01,5042720.3893599985
2019-02-01,5626386.791190001
2019-03-01,3290815.721060001
2019-04-01,4558486.880710001
2019-05-01,4709387.38068
2019-06-01,4493508.60417
2019-07-01,4695160.62775
2019-08-01,4539347.76001
2019-09-01,4614234.31179
2019-10-01,4795774.473939998
2019-11-01,4786431.993939999
2019-12-01,4774725.982080003
2020-01-01,5242733.52166
2020-02-01,5005924.665039999
2020-03-01,5177344.540899999
2020-04-01,5177691.74105
2020-05-01,5194004.341659999
2020-06-01,5076998.277629999
2020-07-01,5430176.333880001
2020-08-01,5450429.060359997
2020-09-01,5184920.346650002
2020-10-01,5573965.138560002
2020-11-01,5630934.27534
2020-12-01,5667463.433149999
2021-01-01,6358644.44018
2021-02-01,5912530.742680001
2021-03-01,6590067.5743
2021-04-01,6673270.37415
2021-05-01,7015372.753930001
2021-06-01,6922026.683090001
2021-07-01,7437945.86649
2021-08-01,7380414.046969999
2021-09-01,7528685.774830001
2021-10-01,7784726.5300900005
2021-11-01,7997234.65921
2021-12-01,9221467.448239993
2022-01-01,8802008.09893
2022-02-01,7952627.918579999
2022-03-01,7581422.8376400005
2022-04-01,8065413.02561
2022-05-01,8404742.624920001
2022-06-01,9263631.2548
2022-07-01,10153819.99167
2022-08-01,10119701.910479996
2022-09-01,11455694.189130008
2022-10-01,11718013.386689994
2022-11-01,12304999.617540002
2022-12-01,12887158.66324
2023-01-01,13218589.28338
2023-02-01,11401063.839119997
2023-03-01,12605014.171310002
2023-04-01,12136263.365610002
2023-05-01,12703436.473729998
2023-06-01,12562569.67281
2023-07-01,14071677.493190002
2023-08-01,14086109.128409997
2023-09-01,13562699.555659998
2023-10-01,13904561.87491001
2023-11-01,14153499.147929996
2023-12-01,15102505.158040006
2024-01-01,14945563.74535
2024-02-01,13871954.877999999
